#Energy      Si-K-shell   Si-L1-shell   Si-L2-shell   Si-L3-shell   N-K-shell   Valence  Total
        680.0000          1.00000000E+30          8.59030928E+02          4.36924312E+02          2.18462156E+02          1.76689656E+04          1.50907068E+01          1.34493881E+01
        690.0000          1.00000000E+30          8.58591518E+02          4.39052302E+02          2.19526151E+02          1.68588128E+04          1.52598234E+01          1.35890851E+01
        700.0000          1.00000000E+30          8.58399536E+02          4.41225100E+02          2.20612550E+02          1.61199950E+04          1.54311674E+01          1.37305763E+01
        710.0000          1.00000000E+30          8.58438401E+02          4.43439884E+02          2.21719942E+02          1.54442630E+04          1.55995678E+01          1.38697628E+01
        720.0000          1.00000000E+30          8.58692954E+02          4.45694026E+02          2.22847013E+02          1.48245553E+04          1.57701647E+01          1.40107101E+01
        730.0000          1.00000000E+30          8.59149260E+02          4.47985090E+02          2.23992545E+02          1.42547840E+04          1.59378760E+01          1.41494023E+01
        740.0000          1.00000000E+30          8.59794506E+02          4.50310827E+02          2.25155414E+02          1.37296837E+04          1.61077544E+01          1.42898239E+01
        750.0000          1.00000000E+30          8.60616881E+02          4.52669159E+02          2.26334579E+02          1.32446997E+04          1.62772774E+01          1.44299829E+01
        760.0000          1.00000000E+30          8.61605452E+02          4.55058133E+02          2.27529067E+02          1.27958165E+04          1.64439883E+01          1.45679503E+01
        770.0000          1.00000000E+30          8.62750273E+02          4.57475958E+02          2.28737979E+02          1.23795741E+04          1.66128280E+01          1.47076059E+01
        780.0000          1.00000000E+30          8.64041968E+02          4.59920946E+02          2.29960473E+02          1.19928738E+04          1.67813353E+01          1.48470146E+01
        790.0000          1.00000000E+30          8.65471919E+02          4.62391534E+02          2.31195767E+02          1.16330226E+04          1.69495172E+01          1.49861813E+01
        800.0000          1.00000000E+30          8.67032189E+02          4.64886266E+02          2.32443133E+02          1.12976139E+04          1.71149533E+01          1.51232155E+01
        810.0000          1.00000000E+30          8.68715335E+02          4.67403770E+02          2.33701885E+02          1.09844911E+04          1.72824932E+01          1.52619055E+01
        820.0000          1.00000000E+30          8.70514472E+02          4.69942773E+02          2.34971387E+02          1.06918279E+04          1.74497235E+01          1.54003641E+01
        830.0000          1.00000000E+30          8.72423237E+02          4.72502087E+02          2.36251043E+02          1.04178071E+04          1.76166443E+01          1.55385908E+01
        840.0000          1.00000000E+30          8.74435605E+02          4.75080586E+02          2.37540293E+02          1.01609919E+04          1.77808967E+01          1.56747522E+01
        850.0000          1.00000000E+30          8.76546029E+02          4.77677230E+02          2.38838615E+02          9.91998584E+03          1.79472180E+01          1.58125313E+01
        860.0000          1.00000000E+30          8.78749295E+02          4.80291030E+02          2.40145515E+02          9.69356515E+03          1.81132473E+01          1.59500910E+01
        870.0000          1.00000000E+30          8.81040571E+02          4.82921067E+02          2.41460533E+02          9.48060704E+03          1.82789860E+01          1.60874320E+01
        880.0000          1.00000000E+30          8.83415285E+02          4.85566472E+02          2.42783236E+02          9.28010823E+03          1.84444357E+01          1.62245551E+01
        890.0000          1.00000000E+30          8.85869200E+02          4.88226426E+02          2.44113213E+02          9.09115392E+03          1.86095994E+01          1.63614627E+01
