#Energy      Fe   C   Cr   Ni   Mn  Total
        876.9990          1.00000000E+20          1.14088260E+02          4.51758962E+01          4.57487286E+01          4.51852949E+01          1.33528344E+01
        877.0010          1.00000000E+20          1.14088505E+02          4.51759583E+01          4.57487834E+01          4.51853550E+01          1.33528531E+01
        880.0000          1.00000000E+20          1.14455823E+02          4.52689572E+01          4.58310256E+01          4.52754059E+01          1.33808773E+01
        890.0000          1.00000000E+20          1.15680432E+02          4.55789214E+01          4.61052463E+01          4.55755658E+01          1.34742637E+01
        900.0000          1.00000000E+20          1.16904747E+02          4.58886732E+01          4.63794409E+01          4.58755521E+01          1.35675595E+01
        910.0000          1.00000000E+20          1.18128771E+02          4.61982085E+01          4.66535980E+01          4.61753589E+01          1.36607644E+01
        920.0000          1.00000000E+20          1.19352508E+02          4.65075236E+01          4.69277070E+01          4.64749811E+01          1.37538782E+01
        930.0000          1.00000000E+20          1.20575960E+02          4.68166149E+01          4.72017579E+01          4.67744138E+01          1.38469007E+01
        940.0000          1.00000000E+20          1.21799132E+02          4.71254793E+01          4.74757413E+01          4.70736525E+01          1.39398318E+01
        950.0000          1.00000000E+20          1.23022026E+02          4.74341139E+01          4.77496483E+01          4.73726930E+01          1.40326713E+01
        960.0000          1.00000000E+20          1.24244644E+02          4.77425161E+01          4.80234707E+01          4.76715314E+01          1.41254192E+01
        970.0000          1.00000000E+20          1.25466991E+02          4.80506835E+01          4.82972005E+01          4.79701643E+01          1.42180754E+01
        980.0000          1.00000000E+20          1.26689069E+02          4.83586139E+01          4.85708304E+01          4.82685883E+01          1.43106401E+01
        990.0000          1.00000000E+20          1.27910880E+02          4.86663054E+01          4.88443535E+01          4.85668005E+01          1.44031133E+01
       1000.0000          1.00000000E+20          1.29132428E+02          4.89737562E+01          4.91177632E+01          4.88647980E+01          1.44954950E+01
       1014.9990          1.00000000E+20          1.30964138E+02          4.94344472E+01          4.95276246E+01          4.93113567E+01          1.46338871E+01
       1015.0010          1.00000000E+20          1.30964383E+02          4.94345086E+01          4.95276793E+01          4.93114162E+01          1.46339056E+01
       1100.0000          1.00000000E+20          1.41333963E+02          5.20347667E+01          5.18444431E+01          5.18325109E+01          1.54143196E+01
       1200.0000          1.00000000E+20          1.53511735E+02          5.50708889E+01          5.45549308E+01          5.47770806E+01          1.63242563E+01
       1300.0000          1.00000000E+20          1.65667674E+02          5.80822894E+01          5.72468785E+01          5.76981421E+01          1.72256639E+01
       1400.0000          1.00000000E+20          1.77803371E+02          6.10696389E+01          5.99192160E+01          6.05960004E+01          1.81189568E+01
       1500.0000          1.00000000E+20          1.89920158E+02          6.40338548E+01          6.25716264E+01          6.34713159E+01          1.90045628E+01
       1600.0000          1.00000000E+20          2.02019159E+02          6.69759592E+01          6.52042399E+01          6.63249263E+01          1.98829017E+01
       1700.0000          1.00000000E+20          2.14101335E+02          6.98969997E+01          6.78174494E+01          6.91577457E+01          2.07543737E+01
       1800.0000          1.00000000E+20          2.26167516E+02          7.27980065E+01          7.04117979E+01          7.19707056E+01          2.16193551E+01
       1900.0000          1.00000000E+20          2.38218424E+02          7.56799689E+01          7.29879086E+01          7.47647227E+01          2.24781961E+01
       2000.0000          1.00000000E+20          2.50254690E+02          7.85438241E+01          7.55464409E+01          7.75406795E+01          2.33312214E+01
       2100.0000          1.00000000E+20          2.62276873E+02          8.13904527E+01          7.80880630E+01          8.02994158E+01          2.41787311E+01
       2200.0000          1.00000000E+20          2.74285468E+02          8.42206775E+01          8.06134354E+01          8.30417240E+01          2.50210023E+01
       2300.0000          1.00000000E+20          2.86280917E+02          8.70352658E+01          8.31231997E+01          8.57683482E+01          2.58582906E+01
       2400.0000          1.00000000E+20          2.98263619E+02          8.98349313E+01          8.56179734E+01          8.84799852E+01          2.66908323E+01
       2500.0000          1.00000000E+20          3.10233930E+02          9.26203381E+01          8.80983463E+01          9.11772863E+01          2.75188457E+01
       2600.0000          1.00000000E+20          3.22192174E+02          9.53921036E+01          9.05648792E+01          9.38608601E+01          2.83425328E+01
       2700.0000          1.00000000E+20          3.34138647E+02          9.81508025E+01          9.30181034E+01          9.65312746E+01          2.91620809E+01
       2800.0000          1.00000000E+20          3.46073616E+02          1.00896970E+02          9.54585217E+01          9.91890608E+01          2.99776636E+01
       2900.0000          1.00000000E+20          3.57997329E+02          1.03631105E+02          9.78866090E+01          1.01834715E+02          3.07894425E+01
       3000.0000          1.00000000E+20          3.69910011E+02          1.06353673E+02          1.00302814E+02          1.04468700E+02          3.15975679E+01
       3100.0000          1.00000000E+20          3.81811870E+02          1.09065109E+02          1.02707559E+02          1.07091453E+02          3.24021799E+01
       3200.0000          1.00000000E+20          3.93703100E+02          1.11765820E+02          1.05101244E+02          1.09703378E+02          3.32034094E+01
       3300.0000          1.00000000E+20          4.05583878E+02          1.14456187E+02          1.07484245E+02          1.12304860E+02          3.40013787E+01
       3400.0000          1.00000000E+20          4.17454370E+02          1.17136567E+02          1.09856920E+02          1.14896256E+02          3.47962025E+01
       3500.0000          1.00000000E+20          4.29314730E+02          1.19807297E+02          1.12219604E+02          1.17477903E+02          3.55879883E+01
       3600.0000          1.00000000E+20          4.41165102E+02          1.22468691E+02          1.14572616E+02          1.20050120E+02          3.63768369E+01
       3700.0000          1.00000000E+20          4.53005621E+02          1.25121046E+02          1.16916256E+02          1.22613206E+02          3.71628435E+01
       3800.0000          1.00000000E+20          4.64836412E+02          1.27764643E+02          1.19250810E+02          1.25167443E+02          3.79460973E+01
       3900.0000          1.00000000E+20          4.76657594E+02          1.30399746E+02          1.21576548E+02          1.27713098E+02          3.87266827E+01
       4000.0000          1.00000000E+20          4.88469278E+02          1.33026604E+02          1.23893727E+02          1.30250422E+02          3.95046793E+01
       4100.0000          1.00000000E+20          5.00271568E+02          1.35645453E+02          1.26202589E+02          1.32779656E+02          4.02801624E+01
       4200.0000          1.00000000E+20          5.12064564E+02          1.38256517E+02          1.28503366E+02          1.35301024E+02          4.10532031E+01
       4300.0000          1.00000000E+20          5.23848359E+02          1.40860008E+02          1.30796277E+02          1.37814742E+02          4.18238690E+01
       4400.0000          1.00000000E+20          5.35623041E+02          1.43456127E+02          1.33081531E+02          1.40321012E+02          4.25922239E+01
       4500.0000          1.00000000E+20          5.47388694E+02          1.46045064E+02          1.35359328E+02          1.42820029E+02          4.33583287E+01
       4600.0000          1.00000000E+20          5.59145398E+02          1.48627002E+02          1.37629857E+02          1.45311977E+02          4.41222411E+01
       4700.0000          1.00000000E+20          5.70893228E+02          1.51202112E+02          1.39893299E+02          1.47797031E+02          4.48840160E+01
       4800.0000          1.00000000E+20          5.82632255E+02          1.53770560E+02          1.42149828E+02          1.50275357E+02          4.56437058E+01
       4900.0000          1.00000000E+20          5.94362550E+02          1.56332501E+02          1.44399607E+02          1.52747116E+02          4.64013602E+01
       5000.0000          1.00000000E+20          6.06084175E+02          1.58888087E+02          1.46642794E+02          1.55212459E+02          4.71570268E+01
       5100.0000          1.00000000E+20          6.17797195E+02          1.61437458E+02          1.48879541E+02          1.57671531E+02          4.79107510E+01
       5200.0000          1.00000000E+20          6.29501669E+02          1.63980754E+02          1.51109992E+02          1.60124472E+02          4.86625761E+01
       5300.0000          1.00000000E+20          6.41197654E+02          1.66518102E+02          1.53334285E+02          1.62571414E+02          4.94125438E+01
       5400.0000          1.00000000E+20          6.52885203E+02          1.69049630E+02          1.55552553E+02          1.65012484E+02          5.01606935E+01
       5500.0000          1.00000000E+20          6.64564371E+02          1.71575456E+02          1.57764923E+02          1.67447804E+02          5.09070635E+01
       5600.0000          1.00000000E+20          6.76235207E+02          1.74095695E+02          1.59971517E+02          1.69877492E+02          5.16516901E+01
       5700.0000          1.00000000E+20          6.87897759E+02          1.76610457E+02          1.62172452E+02          1.72301658E+02          5.23946082E+01
       5800.0000          1.00000000E+20          6.99552075E+02          1.79119849E+02          1.64367841E+02          1.74720412E+02          5.31358514E+01
       5900.0000          1.00000000E+20          7.11198197E+02          1.81623970E+02          1.66557792E+02          1.77133855E+02          5.38754520E+01
       5994.9990          1.00000000E+20          7.22254349E+02          1.83998069E+02          1.68633282E+02          1.79421775E+02          5.45765718E+01
       5995.0010          1.00000000E+20          7.22254581E+02          1.83998119E+02          1.68633326E+02          1.79421823E+02          5.45765866E+01
       6000.0000          1.00000000E+20          7.22836171E+02          1.84122920E+02          1.68742410E+02          1.79542089E+02          5.46134408E+01
       6100.0000          1.00000000E+20          7.34466036E+02          1.86616792E+02          1.70921795E+02          1.81945207E+02          5.53498477E+01
       6200.0000          1.00000000E+20          7.46087834E+02          1.89105676E+02          1.73096043E+02          1.84343303E+02          5.60847013E+01
       6300.0000          1.00000000E+20          7.57701602E+02          1.91589658E+02          1.75265248E+02          1.86736465E+02          5.68180291E+01
       6400.0000          1.00000000E+20          7.69307379E+02          1.94068824E+02          1.77429499E+02          1.89124778E+02          5.75498578E+01
       6500.0000          1.00000000E+20          7.80905200E+02          1.96543253E+02          1.79588883E+02          1.91508325E+02          5.82802129E+01
       6543.9990          1.00000000E+20          7.86005614E+02          1.97630496E+02          1.80537470E+02          1.92555573E+02          5.86011015E+01
       6544.0010          1.00000000E+20          7.86005846E+02          1.97630546E+02          1.80537513E+02          1.92555620E+02          5.86011160E+01
       6600.0000          1.00000000E+20          7.92495100E+02          1.99013023E+02          1.81743484E+02          1.93887185E+02          5.90091192E+01
       6700.0000          1.00000000E+20          8.04077113E+02          2.01478209E+02          1.83893382E+02          1.96261435E+02          5.97366004E+01
       6800.0000          1.00000000E+20          8.15651271E+02          2.03938885E+02          1.86038655E+02          1.98631149E+02          6.04626796E+01
       6900.0000          1.00000000E+20          8.27217607E+02          2.06395119E+02          1.88179379E+02          2.00996397E+02          6.11873791E+01
       7000.0000          1.00000000E+20          8.38776151E+02          2.08846980E+02          1.90315627E+02          2.03357250E+02          6.19107201E+01
       7100.0000          1.00000000E+20          8.50326933E+02          2.11294533E+02          1.92447469E+02          2.05713775E+02          6.26327236E+01
       7116.9990          1.00000000E+20          8.52289681E+02          2.11710169E+02          1.92809427E+02          2.06113935E+02          6.27553254E+01
       7117.0010          1.00000000E+20          8.52289912E+02          2.11710217E+02          1.92809470E+02          2.06113982E+02          6.27553399E+01
       7200.0000          1.00000000E+20          8.61869982E+02          2.13737841E+02          1.94574973E+02          2.08066035E+02          6.33534096E+01
       7300.0000          1.00000000E+20          8.73405327E+02          2.16176966E+02          1.96698205E+02          2.10414094E+02          6.40727975E+01
       7400.0000          1.00000000E+20          8.84932994E+02          2.18611967E+02          1.98817230E+02          2.12758011E+02          6.47909062E+01
       7500.0000          1.00000000E+20          8.96453010E+02          2.21042901E+02          2.00932109E+02          2.15097846E+02          6.55077538E+01
       7600.0000          1.00000000E+20          9.07965402E+02          2.23469825E+02          2.03042903E+02          2.17433656E+02          6.62233580E+01
       7700.0000          1.00000000E+20          9.19470194E+02          2.25892791E+02          2.05149670E+02          2.19765495E+02          6.69377360E+01
       7800.0000          1.00000000E+20          9.30967412E+02          2.28311853E+02          2.07252466E+02          2.22093417E+02          6.76509042E+01
       7900.0000          1.00000000E+20          9.42457078E+02          2.30727061E+02          2.09351346E+02          2.24417474E+02          6.83628789E+01
       8000.0000          1.00000000E+20          9.53939217E+02          2.33138464E+02          2.11446364E+02          2.26737717E+02          6.90736756E+01
       8100.0000          1.00000000E+20          9.65413852E+02          2.35546110E+02          2.13537571E+02          2.29054193E+02          6.97833095E+01
       8200.0000          1.00000000E+20          9.76881004E+02          2.37950045E+02          2.15625018E+02          2.31366951E+02          7.04917953E+01
       8300.0000          1.00000000E+20          9.88340696E+02          2.40350316E+02          2.17708754E+02          2.33676037E+02          7.11991473E+01
       8337.9990          1.00000000E+20          9.92693312E+02          2.41261443E+02          2.18499589E+02          2.34552513E+02          7.14676396E+01
       8338.0010          1.00000000E+20          9.92693541E+02          2.41261491E+02          2.18499631E+02          2.34552559E+02          7.14676537E+01
       8400.0000          1.00000000E+20          9.99792948E+02          2.42746965E+02          2.19788825E+02          2.35981496E+02          7.19053794E+01
       8500.0000          1.00000000E+20          1.01123778E+03          2.45140035E+02          2.21865278E+02          2.38283370E+02          7.26105052E+01
       8600.0000          1.00000000E+20          1.02267522E+03          2.47529568E+02          2.23938159E+02          2.40581703E+02          7.33145378E+01
       8700.0000          1.00000000E+20          1.03410527E+03          2.49915604E+02          2.26007510E+02          2.42876536E+02          7.40174900E+01
       8800.0000          1.00000000E+20          1.04552797E+03          2.52298182E+02          2.28073375E+02          2.45167908E+02          7.47193742E+01
       8900.0000          1.00000000E+20          1.05694333E+03          2.54677340E+02          2.30135795E+02          2.47455860E+02          7.54202025E+01
       9000.0000          1.00000000E+20          1.06835137E+03          2.57053116E+02          2.32194810E+02          2.49740428E+02          7.61199868E+01
       9100.0000          1.00000000E+20          1.07975210E+03          2.59425547E+02          2.34250459E+02          2.52021651E+02          7.68187386E+01
       9200.0000          1.00000000E+20          1.09114555E+03          2.61794666E+02          2.36302781E+02          2.54299563E+02          7.75164689E+01
       9300.0000          1.00000000E+20          1.10253174E+03          2.64160509E+02          2.38351814E+02          2.56574201E+02          7.82131888E+01
       9400.0000          1.00000000E+20          1.11391067E+03          2.66523109E+02          2.40397593E+02          2.58845599E+02          7.89089089E+01
       9500.0000          1.00000000E+20          1.12528237E+03          2.68882499E+02          2.42440154E+02          2.61113790E+02          7.96036395E+01
       9600.0000          1.00000000E+20          1.13664685E+03          2.71238711E+02          2.44479532E+02          2.63378806E+02          8.02973908E+01
       9700.0000          1.00000000E+20          1.14800413E+03          2.73591776E+02          2.46515761E+02          2.65640680E+02          8.09901726E+01
       9800.0000          1.00000000E+20          1.15935422E+03          2.75941725E+02          2.48548874E+02          2.67899443E+02          8.16819946E+01
       9900.0000          1.00000000E+20          1.17069715E+03          2.78288586E+02          2.50578902E+02          2.70155125E+02          8.23728662E+01
      10000.0000          1.00000000E+20          1.18203293E+03          2.80632390E+02          2.52605878E+02          2.72407755E+02          8.30627965E+01
      11000.0000          1.00000000E+20          1.29500045E+03          3.03908153E+02          2.72714169E+02          2.94772286E+02          8.99122068E+01
      12000.0000          1.00000000E+20          1.40726790E+03          3.26905584E+02          2.92547044E+02          3.16859768E+02          9.66761964E+01
      13000.0000          1.00000000E+20          1.51884736E+03          3.49645028E+02          3.12126609E+02          3.38691003E+02          1.03361210E+02
      14000.0000          1.00000000E+20          1.62974950E+03          3.72143241E+02          3.31471061E+02          3.60283119E+02          1.09972552E+02
      15000.0000          1.00000000E+20          1.73998395E+03          3.94414247E+02          3.50595614E+02          3.81650445E+02          1.16514660E+02
      16000.0000          1.00000000E+20          1.84955949E+03          4.16469952E+02          3.69513165E+02          4.02805141E+02          1.22991300E+02
      17000.0000          1.00000000E+20          1.95848426E+03          4.38320591E+02          3.88234776E+02          4.23757652E+02          1.29405706E+02
      18000.0000          1.00000000E+20          2.06676585E+03          4.59975057E+02          4.06770039E+02          4.44517048E+02          1.35760686E+02
      19000.0000          1.00000000E+20          2.17441139E+03          4.81441152E+02          4.25127350E+02          4.65091282E+02          1.42058702E+02
      20000.0000          1.00000000E+20          2.28142768E+03          5.02725784E+02          4.43314119E+02          4.85487385E+02          1.48301929E+02
      21000.0000          1.00000000E+20          2.38782117E+03          5.23835113E+02          4.61336935E+02          5.05711626E+02          1.54492309E+02
      22000.0000          1.00000000E+20          2.49359807E+03          5.44774677E+02          4.79201703E+02          5.25769631E+02          1.60631582E+02
      23000.0000          1.00000000E+20          2.59876434E+03          5.65549480E+02          4.96913743E+02          5.45666485E+02          1.66721321E+02
      24000.0000          1.00000000E+20          2.70332574E+03          5.86164077E+02          5.14477877E+02          5.65406806E+02          1.72762955E+02
      25000.0000          1.00000000E+20          2.80728785E+03          6.06622633E+02          5.31898500E+02          5.84994815E+02          1.78757790E+02
      26000.0000          1.00000000E+20          2.91065609E+03          6.26928977E+02          5.49179639E+02          6.04434387E+02          1.84707024E+02
      27000.0000          1.00000000E+20          3.01343574E+03          6.47086644E+02          5.66324996E+02          6.23729097E+02          1.90611764E+02
      28000.0000          1.00000000E+20          3.11563195E+03          6.67098912E+02          5.83337991E+02          6.42882256E+02          1.96473031E+02
      29000.0000          1.00000000E+20          3.21724974E+03          6.86968834E+02          6.00221796E+02          6.61896943E+02          2.02291779E+02
      30000.0000          1.00000000E+20          3.31829404E+03          7.06699261E+02          6.16979364E+02          6.80776033E+02          2.08068896E+02
      31000.0000          1.00000000E+20          3.41876966E+03          7.26292867E+02          6.33613452E+02          6.99522216E+02          2.13805214E+02
      32000.0000          1.00000000E+20          3.51868134E+03          7.45752167E+02          6.50126641E+02          7.18138021E+02          2.19501513E+02
      33000.0000          1.00000000E+20          3.61803371E+03          7.65079533E+02          6.66521359E+02          7.36625831E+02          2.25158529E+02
      34000.0000          1.00000000E+20          3.71683133E+03          7.84277207E+02          6.82799890E+02          7.54987895E+02          2.30776958E+02
      35000.0000          1.00000000E+20          3.81507868E+03          8.03347318E+02          6.98964393E+02          7.73226346E+02          2.36357459E+02
      36000.0000          1.00000000E+20          3.91278018E+03          8.22291886E+02          7.15016912E+02          7.91343207E+02          2.41900655E+02
      37000.0000          1.00000000E+20          4.00994016E+03          8.41112838E+02          7.30959386E+02          8.09340404E+02          2.47407141E+02
      38000.0000          1.00000000E+20          4.10656291E+03          8.59812013E+02          7.46793660E+02          8.27219774E+02          2.52877485E+02
      39000.0000          1.00000000E+20          4.20265264E+03          8.78391169E+02          7.62521489E+02          8.44983072E+02          2.58312227E+02
      40000.0000          1.00000000E+20          4.29821351E+03          8.96851990E+02          7.78144551E+02          8.62631976E+02          2.63711887E+02
      41000.0000          1.00000000E+20          4.39324962E+03          9.15196095E+02          7.93664450E+02          8.80168098E+02          2.69076960E+02
      42000.0000          1.00000000E+20          4.48776502E+03          9.33425037E+02          8.09082722E+02          8.97592984E+02          2.74407923E+02
      43000.0000          1.00000000E+20          4.58176370E+03          9.51540315E+02          8.24400841E+02          9.14908122E+02          2.79705237E+02
      44000.0000          1.00000000E+20          4.67524961E+03          9.69543372E+02          8.39620223E+02          9.32114946E+02          2.84969341E+02
      45000.0000          1.00000000E+20          4.76822664E+03          9.87435601E+02          8.54742231E+02          9.49214837E+02          2.90200664E+02
      46000.0000          1.00000000E+20          4.86069864E+03          1.00521835E+03          8.69768176E+02          9.66209131E+02          2.95399616E+02
      47000.0000          1.00000000E+20          4.95266941E+03          1.02289292E+03          8.84699326E+02          9.83099120E+02          3.00566595E+02
      48000.0000          1.00000000E+20          5.04414271E+03          1.04046058E+03          8.99536904E+02          9.99886053E+02          3.05701986E+02
      49000.0000          1.00000000E+20          5.13512226E+03          1.05792256E+03          9.14282091E+02          1.01657114E+03          3.10806163E+02
      50000.0000          1.00000000E+20          5.22561174E+03          1.07528004E+03          9.28936033E+02          1.03315556E+03          3.15879487E+02
