#Energy      C   F  Total
        880.0000          8.55704203E+01          2.87380484E+01          2.15130769E+01
        890.0000          8.64859726E+01          2.90300343E+01          2.17345701E+01
        900.0000          8.74013051E+01          2.93218959E+01          2.19559775E+01
        910.0000          8.83164202E+01          2.96136349E+01          2.21773001E+01
        920.0000          8.92313205E+01          2.99052528E+01          2.23985391E+01
        930.0000          9.01460084E+01          3.01967509E+01          2.26196954E+01
        940.0000          9.10604862E+01          3.04881308E+01          2.28407701E+01
        950.0000          9.19747562E+01          3.07793937E+01          2.30617640E+01
        960.0000          9.28888207E+01          3.10705412E+01          2.32826782E+01
        970.0000          9.38026818E+01          3.13615745E+01          2.35035135E+01
        980.0000          9.47163416E+01          3.16524949E+01          2.37242710E+01
        990.0000          9.56298024E+01          3.19433036E+01          2.39449513E+01
       1000.0000          9.65430660E+01          3.22340021E+01          2.41655555E+01
       1100.0000          1.05665280E+02          3.51351745E+01          2.63675857E+01
       1200.0000          1.14769728E+02          3.80265142E+01          2.85628274E+01
       1300.0000          1.23857852E+02          4.09089264E+01          3.07519016E+01
       1400.0000          1.32930844E+02          4.37831646E+01          3.29353234E+01
       1500.0000          1.41989698E+02          4.66498636E+01          3.51135254E+01
       1600.0000          1.51035254E+02          4.95095638E+01          3.72868749E+01
       1700.0000          1.60068232E+02          5.23627295E+01          3.94556870E+01
       1800.0000          1.69089251E+02          5.52097631E+01          4.16202341E+01
       1900.0000          1.78098851E+02          5.80510159E+01          4.37807540E+01
       2000.0000          1.87097505E+02          6.08867967E+01          4.59374552E+01
       2100.0000          1.96085630E+02          6.37173790E+01          4.80905223E+01
       2200.0000          2.05063596E+02          6.65430056E+01          5.02401191E+01
       2300.0000          2.14031735E+02          6.93638941E+01          5.23863923E+01
       2400.0000          2.22990342E+02          7.21802399E+01          5.45294734E+01
       2500.0000          2.31939686E+02          7.49922194E+01          5.66694811E+01
       2600.0000          2.40880009E+02          7.77999923E+01          5.88065231E+01
       2700.0000          2.49811531E+02          8.06037042E+01          6.09406970E+01
       2800.0000          2.58734453E+02          8.34034878E+01          6.30720923E+01
       2900.0000          2.67648958E+02          8.61994647E+01          6.52007906E+01
       3000.0000          2.76555217E+02          8.89917466E+01          6.73268670E+01
       3100.0000          2.85453385E+02          9.17804365E+01          6.94503907E+01
       3200.0000          2.94343606E+02          9.45656296E+01          7.15714256E+01
       3300.0000          3.03226012E+02          9.73474138E+01          7.36900308E+01
       3400.0000          3.12100729E+02          1.00125871E+02          7.58062612E+01
       3500.0000          3.20967871E+02          1.02901077E+02          7.79201681E+01
       3600.0000          3.29827545E+02          1.05673104E+02          8.00317989E+01
       3700.0000          3.38679853E+02          1.08442016E+02          8.21411982E+01
       3800.0000          3.47524888E+02          1.11207877E+02          8.42484078E+01
       3900.0000          3.56362739E+02          1.13970745E+02          8.63534665E+01
       4000.0000          3.65193488E+02          1.16730674E+02          8.84564113E+01
       4100.0000          3.74017216E+02          1.19487715E+02          9.05572766E+01
       4200.0000          3.82833994E+02          1.22241918E+02          9.26560949E+01
       4300.0000          3.91643893E+02          1.24993327E+02          9.47528970E+01
       4400.0000          4.00446980E+02          1.27741987E+02          9.68477120E+01
       4500.0000          4.09243316E+02          1.30487938E+02          9.89405673E+01
       4600.0000          4.18032961E+02          1.33231219E+02          1.01031489E+02
       4700.0000          4.26815972E+02          1.35971867E+02          1.03120502E+02
       4800.0000          4.35592402E+02          1.38709916E+02          1.05207629E+02
       4900.0000          4.44362302E+02          1.41445400E+02          1.07292894E+02
       5000.0000          4.53125722E+02          1.44178351E+02          1.09376316E+02
       5100.0000          4.61882708E+02          1.46908798E+02          1.11457918E+02
       5200.0000          4.70633305E+02          1.49636772E+02          1.13537717E+02
       5300.0000          4.79377555E+02          1.52362298E+02          1.15615732E+02
       5400.0000          4.88115499E+02          1.55085403E+02          1.17691982E+02
       5500.0000          4.96847176E+02          1.57806114E+02          1.19766483E+02
       5600.0000          5.05572624E+02          1.60524453E+02          1.21839251E+02
       5700.0000          5.14291879E+02          1.63240443E+02          1.23910301E+02
