#Energy      Zn  Total
       3100.0000          2.66448194E+01          2.66448194E+01
       3200.0000          2.72473520E+01          2.72473520E+01
       3300.0000          2.78470343E+01          2.78470343E+01
       3400.0000          2.84439585E+01          2.84439585E+01
       3500.0000          2.90382118E+01          2.90382118E+01
       3600.0000          2.96298772E+01          2.96298772E+01
       3700.0000          3.02190334E+01          3.02190334E+01
       3800.0000          3.08057552E+01          3.08057552E+01
       3900.0000          3.13901136E+01          3.13901136E+01
       4000.0000          3.19721764E+01          3.19721764E+01
       4100.0000          3.25520078E+01          3.25520078E+01
       4200.0000          3.31296690E+01          3.31296690E+01
       4300.0000          3.37052185E+01          3.37052185E+01
       4400.0000          3.42787118E+01          3.42787118E+01
       4500.0000          3.48502019E+01          3.48502019E+01
       4600.0000          3.54197396E+01          3.54197396E+01
       4700.0000          3.59873732E+01          3.59873732E+01
       4800.0000          3.65531490E+01          3.65531490E+01
       4900.0000          3.71171111E+01          3.71171111E+01
       5000.0000          3.76793019E+01          3.76793019E+01
       5100.0000          3.82397619E+01          3.82397619E+01
       5200.0000          3.87985300E+01          3.87985300E+01
       5300.0000          3.93556434E+01          3.93556434E+01
       5400.0000          3.99111378E+01          3.99111378E+01
       5500.0000          4.04650476E+01          4.04650476E+01
       5600.0000          4.10174057E+01          4.10174057E+01
       5700.0000          4.15682437E+01          4.15682437E+01
       5800.0000          4.21175922E+01          4.21175922E+01
       5900.0000          4.26654805E+01          4.26654805E+01
       6000.0000          4.32119367E+01          4.32119367E+01
       6100.0000          4.37569880E+01          4.37569880E+01
       6200.0000          4.43006607E+01          4.43006607E+01
       6300.0000          4.48429799E+01          4.48429799E+01
       6400.0000          4.53839701E+01          4.53839701E+01
       6500.0000          4.59236547E+01          4.59236547E+01
       6600.0000          4.64620566E+01          4.64620566E+01
       6700.0000          4.69991975E+01          4.69991975E+01
       6800.0000          4.75350987E+01          4.75350987E+01
       6900.0000          4.80697808E+01          4.80697808E+01
       7000.0000          4.86032635E+01          4.86032635E+01
       7100.0000          4.91355660E+01          4.91355660E+01
       7200.0000          4.96667069E+01          4.96667069E+01
       7300.0000          5.01967043E+01          5.01967043E+01
       7400.0000          5.07255755E+01          5.07255755E+01
       7500.0000          5.12533375E+01          5.12533375E+01
       7600.0000          5.17800066E+01          5.17800066E+01
       7700.0000          5.23055987E+01          5.23055987E+01
       7800.0000          5.28301293E+01          5.28301293E+01
       7900.0000          5.33536134E+01          5.33536134E+01
       8000.0000          5.38760655E+01          5.38760655E+01
       8100.0000          5.43974997E+01          5.43974997E+01
       8200.0000          5.49179297E+01          5.49179297E+01
       8300.0000          5.54373690E+01          5.54373690E+01
       8400.0000          5.59558304E+01          5.59558304E+01
       8500.0000          5.64733266E+01          5.64733266E+01
       8600.0000          5.69898700E+01          5.69898700E+01
       8700.0000          5.75054723E+01          5.75054723E+01
       8800.0000          5.80201453E+01          5.80201453E+01
       8900.0000          5.85339003E+01          5.85339003E+01
       9000.0000          5.90467484E+01          5.90467484E+01
       9100.0000          5.95587003E+01          5.95587003E+01
       9200.0000          6.00697664E+01          6.00697664E+01
       9300.0000          6.05799571E+01          6.05799571E+01
       9400.0000          6.10892822E+01          6.10892822E+01
       9500.0000          6.15977515E+01          6.15977515E+01
       9600.0000          6.21053745E+01          6.21053745E+01
       9662.9990          6.24247415E+01          6.24247415E+01
       9663.0010          6.24247517E+01          6.24247517E+01
       9700.0000          6.26121604E+01          6.26121604E+01
       9800.0000          6.31181183E+01          6.31181183E+01
       9900.0000          6.36232570E+01          6.36232570E+01
      10000.0000          6.41275851E+01          6.41275851E+01
      11000.0000          6.91280451E+01          6.91280451E+01
      12000.0000          7.40556229E+01          7.40556229E+01
      13000.0000          7.89163775E+01          7.89163775E+01
      14000.0000          8.37152968E+01          8.37152968E+01
      15000.0000          8.84565506E+01          8.84565506E+01
      16000.0000          9.31436723E+01          9.31436723E+01
      17000.0000          9.77796916E+01          9.77796916E+01
      18000.0000          1.02367233E+02          1.02367233E+02
      19000.0000          1.06908594E+02          1.06908594E+02
      20000.0000          1.11405796E+02          1.11405796E+02
      21000.0000          1.15860641E+02          1.15860641E+02
      22000.0000          1.20274736E+02          1.20274736E+02
      23000.0000          1.24649531E+02          1.24649531E+02
      24000.0000          1.28986338E+02          1.28986338E+02
      25000.0000          1.33286349E+02          1.33286349E+02
      26000.0000          1.37550658E+02          1.37550658E+02
      27000.0000          1.41780266E+02          1.41780266E+02
      28000.0000          1.45976100E+02          1.45976100E+02
      29000.0000          1.50139016E+02          1.50139016E+02
      30000.0000          1.54269809E+02          1.54269809E+02
      31000.0000          1.58369223E+02          1.58369223E+02
      32000.0000          1.62437951E+02          1.62437951E+02
      33000.0000          1.66476645E+02          1.66476645E+02
      34000.0000          1.70485917E+02          1.70485917E+02
      35000.0000          1.74466345E+02          1.74466345E+02
      36000.0000          1.78418474E+02          1.78418474E+02
      37000.0000          1.82342822E+02          1.82342822E+02
