#Energy      Zn   O  Total
       4900.0000          6.95294052E+01          2.13314737E+02          5.24375250E+01
       5000.0000          7.05825258E+01          2.17467584E+02          5.32872956E+01
       5100.0000          7.16324041E+01          2.21616907E+02          5.41346603E+01
       5200.0000          7.26791131E+01          2.25762743E+02          5.49796739E+01
       5300.0000          7.37227224E+01          2.29905125E+02          5.58223886E+01
       5400.0000          7.47632990E+01          2.34044085E+02          5.66628546E+01
       5500.0000          7.58009072E+01          2.38179654E+02          5.75011197E+01
       5600.0000          7.68356086E+01          2.42311862E+02          5.83372300E+01
       5700.0000          7.78674627E+01          2.46440737E+02          5.91712295E+01
       5800.0000          7.88965265E+01          2.50566307E+02          6.00031605E+01
       5900.0000          7.99228549E+01          2.54688598E+02          6.08330638E+01
       6000.0000          8.09465006E+01          2.58807634E+02          6.16609783E+01
       6100.0000          8.19675148E+01          2.62923441E+02          6.24869417E+01
       6200.0000          8.29859463E+01          2.67036042E+02          6.33109901E+01
       6300.0000          8.40018426E+01          2.71145459E+02          6.41331584E+01
       6400.0000          8.50152492E+01          2.75251713E+02          6.49534801E+01
       6500.0000          8.60262102E+01          2.79354826E+02          6.57719876E+01
       6600.0000          8.70347682E+01          2.83454818E+02          6.65887121E+01
       6700.0000          8.80409642E+01          2.87551708E+02          6.74036836E+01
       6800.0000          8.90448380E+01          2.91645516E+02          6.82169313E+01
       6900.0000          9.00464279E+01          2.95736259E+02          6.90284832E+01
       7000.0000          9.10457712E+01          2.99823955E+02          6.98383665E+01
       7100.0000          9.20429037E+01          3.03908622E+02          7.06466075E+01
       7200.0000          9.30378602E+01          3.07990275E+02          7.14532314E+01
       7300.0000          9.40306746E+01          3.12068931E+02          7.22582630E+01
       7400.0000          9.50213794E+01          3.16144606E+02          7.30617260E+01
       7500.0000          9.60100063E+01          3.20217314E+02          7.38636434E+01
       7600.0000          9.69965861E+01          3.24287071E+02          7.46640376E+01
       7700.0000          9.79811484E+01          3.28353890E+02          7.54629302E+01
       7800.0000          9.89637222E+01          3.32417786E+02          7.62603422E+01
       7900.0000          9.99443356E+01          3.36478772E+02          7.70562941E+01
       8000.0000          1.00923016E+02          3.40536860E+02          7.78508055E+01
       8100.0000          1.01899789E+02          3.44592065E+02          7.86438957E+01
       8200.0000          1.02874682E+02          3.48644398E+02          7.94355833E+01
       8300.0000          1.03847718E+02          3.52693871E+02          8.02258865E+01
       8400.0000          1.04818923E+02          3.56740496E+02          8.10148229E+01
       8500.0000          1.05788320E+02          3.60784285E+02          8.18024095E+01
       8600.0000          1.06755931E+02          3.64825249E+02          8.25886631E+01
       8700.0000          1.07721780E+02          3.68863398E+02          8.33735998E+01
       8800.0000          1.08685888E+02          3.72898744E+02          8.41572355E+01
       8900.0000          1.09648277E+02          3.76931298E+02          8.49395854E+01
       9000.0000          1.10608967E+02          3.80961068E+02          8.57206645E+01
       9100.0000          1.11567977E+02          3.84988066E+02          8.65004875E+01
       9200.0000          1.12525329E+02          3.89012300E+02          8.72790684E+01
       9300.0000          1.13481040E+02          3.93033781E+02          8.80564211E+01
       9400.0000          1.14435131E+02          3.97052517E+02          8.88325591E+01
       9500.0000          1.15387618E+02          4.01068519E+02          8.96074955E+01
       9600.0000          1.16338519E+02          4.05081794E+02          9.03812432E+01
       9662.9990          1.16936772E+02          4.07608721E+02          9.08680919E+01
       9663.0010          1.16936791E+02          4.07608802E+02          9.08681073E+01
       9700.0000          1.17287853E+02          4.09092352E+02          9.11538147E+01
       9800.0000          1.18235636E+02          4.13100200E+02          9.19252222E+01
       9900.0000          1.19181884E+02          4.17105349E+02          9.26954777E+01
      10000.0000          1.20126613E+02          4.21107805E+02          9.34645927E+01
      11000.0000          1.29493695E+02          4.60985988E+02          1.01095399E+02
      12000.0000          1.38724250E+02          5.00602935E+02          1.08623203E+02
      13000.0000          1.47829630E+02          5.39964817E+02          1.16056184E+02
      14000.0000          1.56819177E+02          5.79076953E+02          1.23401072E+02
      15000.0000          1.65700702E+02          6.17944014E+02          1.30663494E+02
      16000.0000          1.74480824E+02          6.56570171E+02          1.37848225E+02
      17000.0000          1.83165220E+02          6.94959195E+02          1.44959360E+02
      18000.0000          1.91758805E+02          7.33114537E+02          1.52000454E+02
      19000.0000          2.00265880E+02          7.71039386E+02          1.58974616E+02
      20000.0000          2.08690238E+02          8.08736714E+02          1.65884595E+02
      21000.0000          2.17035249E+02          8.46209307E+02          1.72732836E+02
      22000.0000          2.25303927E+02          8.83459801E+02          1.79521531E+02
      23000.0000          2.33498985E+02          9.20490695E+02          1.86252656E+02
      24000.0000          2.41622882E+02          9.57304375E+02          1.92928003E+02
      25000.0000          2.49677852E+02          9.93903126E+02          1.99549207E+02
      26000.0000          2.57665943E+02          1.03028914E+03          2.06117765E+02
      27000.0000          2.65589032E+02          1.06646455E+03          2.12635055E+02
      28000.0000          2.73448852E+02          1.10243139E+03          2.19102353E+02
      29000.0000          2.81247009E+02          1.13819164E+03          2.25520839E+02
      30000.0000          2.88984993E+02          1.17374725E+03          2.31891614E+02
      31000.0000          2.96664195E+02          1.20910008E+03          2.38215707E+02
      32000.0000          3.04285916E+02          1.24425195E+03          2.44494082E+02
      33000.0000          3.11851375E+02          1.27920467E+03          2.50727645E+02
      34000.0000          3.19361719E+02          1.31395997E+03          2.56917249E+02
      35000.0000          3.26818032E+02          1.34851956E+03          2.63063701E+02
      36000.0000          3.34221334E+02          1.38288510E+03          2.69167766E+02
      37000.0000          3.41572596E+02          1.41705825E+03          2.75230169E+02
      38000.0000          3.48872737E+02          1.45104061E+03          2.81251600E+02
      39000.0000          3.56122632E+02          1.48483377E+03          2.87232717E+02
      40000.0000          3.63323115E+02          1.51843927E+03          2.93174149E+02
      41000.0000          3.70474983E+02          1.55185864E+03          2.99076495E+02
      42000.0000          3.77578997E+02          1.58509339E+03          3.04940333E+02
      43000.0000          3.84635887E+02          1.61814499E+03          3.10766215E+02
      44000.0000          3.91646352E+02          1.65101491E+03          3.16554672E+02
      45000.0000          3.98611065E+02          1.68370458E+03          3.22306216E+02
      46000.0000          4.05530674E+02          1.71621542E+03          3.28021340E+02
      47000.0000          4.12405801E+02          1.74854882E+03          3.33700518E+02
      48000.0000          4.19237047E+02          1.78070616E+03          3.39344211E+02
      49000.0000          4.26024993E+02          1.81268880E+03          3.44952863E+02
      50000.0000          4.32770199E+02          1.84449808E+03          3.50526905E+02
