#Energy      C-K-shell   N-K-shell   Valence  Total
        380.0000          1.34297195E+04          1.00000000E+30          7.97250328E+00          7.96777325E+00
        390.0000          1.14966206E+04          1.00000000E+30          8.11288529E+00          8.10716426E+00
        400.0000          9.99899175E+03          1.00000000E+30          8.24808716E+00          8.24128899E+00
        402.9990          9.61474031E+03          1.00000000E+30          8.29272285E+00          8.28557654E+00
        403.0010          9.61449490E+03          2.66676611E+11          8.29275261E+00          8.28560605E+00
        410.0000          8.81208874E+03          2.22912174E+06          8.38750112E+00          8.37949385E+00
        420.0000          7.85342418E+03          5.80065719E+05          8.52195751E+00          8.51259520E+00
        430.0000          7.06672824E+03          2.85269653E+05          8.66045452E+00          8.64959163E+00
        440.0000          6.41212147E+03          1.75359991E+05          8.79847975E+00          8.78598312E+00
        450.0000          5.86094277E+03          1.21011787E+05          8.93183499E+00          8.91758675E+00
        460.0000          5.39193710E+03          8.96727473E+04          9.06901616E+00          9.05287404E+00
        470.0000          4.98922454E+03          6.97537825E+04          9.20576192E+00          9.18759709E+00
        480.0000          4.64059039E+03          5.62045015E+04          9.34208387E+00          9.32176856E+00
        490.0000          4.33659196E+03          4.65203766E+04          9.47799317E+00          9.45540115E+00
        500.0000          4.06978458E+03          3.93283956E+04          9.61350061E+00          9.58850715E+00
        510.0000          3.83425484E+03          3.38205893E+04          9.74861660E+00          9.72109859E+00
        520.0000          3.62523374E+03          2.94993019E+04          9.88335120E+00          9.85318761E+00
        530.0000          3.43885825E+03          2.60382222E+04          1.00177141E+01          9.98478603E+00
        540.0000          3.27195334E+03          2.32173014E+04          1.01517146E+01          1.01159054E+01
        550.0000          3.12189186E+03          2.08843395E+04          1.02853618E+01          1.02465572E+01
        560.0000          2.98648563E+03          1.89301707E+04          1.04186643E+01          1.03767528E+01
        570.0000          2.86390270E+03          1.72748558E+04          1.05551488E+01          1.05099916E+01
        580.0000          2.75258819E+03          1.58589019E+04          1.06877336E+01          1.06392535E+01
        590.0000          2.65121866E+03          1.46369617E+04          1.08199986E+01          1.07680925E+01
        600.0000          2.55867205E+03          1.35742785E+04          1.09553541E+01          1.08998876E+01
        610.0000          2.47397479E+03          1.26436811E+04          1.10869499E+01          1.10278592E+01
        620.0000          2.39628861E+03          1.18236084E+04          1.12182483E+01          1.11554398E+01
        630.0000          2.32488612E+03          1.10967783E+04          1.13525454E+01          1.12858898E+01
        640.0000          2.25913302E+03          1.04490771E+04          1.14832182E+01          1.14126652E+01
        650.0000          2.19847202E+03          9.86940854E+03          1.16136138E+01          1.15390793E+01
        660.0000          2.14241619E+03          9.34814917E+03          1.17469165E+01          1.16682766E+01
        670.0000          2.09053432E+03          8.87766405E+03          1.18767259E+01          1.17939440E+01
        680.0000          2.04244532E+03          8.45140227E+03          1.20093949E+01          1.19223510E+01
        690.0000          1.99780931E+03          8.06389080E+03          1.21386425E+01          1.20473084E+01
        700.0000          1.95632701E+03          7.71050019E+03          1.22707019E+01          1.21749611E+01
        710.0000          1.91772730E+03          7.38728470E+03          1.24024587E+01          1.23022427E+01
        720.0000          1.88177079E+03          7.09086675E+03          1.25308830E+01          1.24261766E+01
        730.0000          1.84824072E+03          6.81833427E+03          1.26620634E+01          1.25527549E+01
        740.0000          1.81694148E+03          6.56716884E+03          1.27899811E+01          1.26760631E+01
        750.0000          1.78769955E+03          6.33519177E+03          1.29206061E+01          1.28019702E+01
        760.0000          1.76035472E+03          6.12048239E+03          1.30509539E+01          1.29275455E+01
        770.0000          1.73476418E+03          5.92138575E+03          1.31781259E+01          1.30499492E+01
        780.0000          1.71079764E+03          5.73641962E+03          1.33079471E+01          1.31748978E+01
        790.0000          1.68833653E+03          5.56429597E+03          1.34375058E+01          1.32995368E+01
        800.0000          1.66727318E+03          5.40386360E+03          1.35668075E+01          1.34238741E+01
        810.0000          1.64750901E+03          5.25409101E+03          1.36930311E+01          1.35451516E+01
        820.0000          1.62895454E+03          5.11410461E+03          1.38218397E+01          1.36689148E+01
        830.0000          1.61152791E+03          4.98303527E+03          1.39504036E+01          1.37923950E+01
        840.0000          1.59515282E+03          4.86019568E+03          1.40787261E+01          1.39155980E+01
        850.0000          1.57976086E+03          4.74491789E+03          1.42068096E+01          1.40385280E+01
        860.0000          1.56528840E+03          4.63661657E+03          1.43319275E+01          1.41585262E+01
        870.0000          1.55167723E+03          4.53475465E+03          1.44595583E+01          1.42809427E+01
        880.0000          1.53887292E+03          4.43885226E+03          1.45869622E+01          1.44031038E+01
        890.0000          1.52682620E+03          4.34847182E+03          1.47141417E+01          1.45250140E+01
        900.0000          1.51549110E+03          4.26321512E+03          1.48410996E+01          1.46466777E+01
        910.0000          1.50482504E+03          4.18272062E+03          1.49678393E+01          1.47680999E+01
        920.0000          1.49478850E+03          4.10665623E+03          1.50943644E+01          1.48892857E+01
        930.0000          1.48534587E+03          4.03472138E+03          1.52180719E+01          1.50077052E+01
        940.0000          1.47646233E+03          3.96664065E+03          1.53441928E+01          1.51284483E+01
        950.0000          1.46810673E+03          3.90215661E+03          1.54701084E+01          1.52489685E+01
        960.0000          1.46025026E+03          3.84103951E+03          1.55958213E+01          1.53692698E+01
        970.0000          1.45286504E+03          3.78307380E+03          1.57213344E+01          1.54893562E+01
        980.0000          1.44592594E+03          3.72806212E+03          1.58466505E+01          1.56092316E+01
        990.0000          1.43940961E+03          3.67582161E+03          1.59717723E+01          1.57289000E+01
       1000.0000          1.43329347E+03          3.62618433E+03          1.60967026E+01          1.58483652E+01
       1100.0000          1.39019434E+03          3.24369547E+03          1.73384063E+01          1.70348923E+01
       1200.0000          1.37083149E+03          3.00378585E+03          1.85632402E+01          1.82042249E+01
       1300.0000          1.36676910E+03          2.84995534E+03          1.97752568E+01          1.93607924E+01
       1400.0000          1.37304505E+03          2.75121758E+03          2.09736231E+01          2.05041065E+01
       1500.0000          1.38657547E+03          2.68944199E+03          2.21616596E+01          2.16375281E+01
