#Energy      C   N  Total
       3100.0000          4.45933930E+01          8.05061034E+03          4.43477450E+01
       3200.0000          4.59822190E+01          8.29940509E+03          4.57288618E+01
       3300.0000          4.73698244E+01          8.54795575E+03          4.71087639E+01
       3400.0000          4.87562284E+01          8.79626691E+03          4.84874705E+01
       3500.0000          5.01414491E+01          9.04434288E+03          4.98649997E+01
       3600.0000          5.15255033E+01          9.29218765E+03          5.12413681E+01
       3700.0000          5.29084066E+01          9.53980496E+03          5.26165914E+01
       3800.0000          5.42901738E+01          9.78719832E+03          5.39906842E+01
       3900.0000          5.56708187E+01          1.00343710E+04          5.53636604E+01
       4000.0000          5.70503542E+01          1.02813261E+04          5.67355328E+01
       4100.0000          5.84287927E+01          1.05280665E+04          5.81063136E+01
       4200.0000          5.98061457E+01          1.07745950E+04          5.94760144E+01
       4300.0000          6.11824240E+01          1.10209141E+04          6.08446459E+01
       4400.0000          6.25576380E+01          1.12670263E+04          6.22122186E+01
       4500.0000          6.39317974E+01          1.15129339E+04          6.35787421E+01
       4600.0000          6.53049117E+01          1.17586391E+04          6.49442256E+01
       4700.0000          6.66769894E+01          1.20041440E+04          6.63086781E+01
       4800.0000          6.80480392E+01          1.22494506E+04          6.76721077E+01
       4900.0000          6.94180689E+01          1.24945608E+04          6.90345226E+01
       5000.0000          7.07870863E+01          1.27394763E+04          7.03959303E+01
       5100.0000          7.21550985E+01          1.29841990E+04          7.17563380E+01
       5200.0000          7.35221126E+01          1.32287303E+04          7.31157527E+01
       5300.0000          7.48881351E+01          1.34730719E+04          7.44741811E+01
       5400.0000          7.62531726E+01          1.37172254E+04          7.58316294E+01
       5500.0000          7.76172311E+01          1.39611920E+04          7.71881039E+01
       5600.0000          7.89803164E+01          1.42049733E+04          7.85436103E+01
       5700.0000          8.03424343E+01          1.44485705E+04          7.98981542E+01
       5800.0000          8.17035901E+01          1.46919849E+04          8.12517411E+01
       5900.0000          8.30637892E+01          1.49352177E+04          8.26043762E+01
       6000.0000          8.44230364E+01          1.51782702E+04          8.39560645E+01
       6100.0000          8.57813366E+01          1.54211433E+04          8.53068107E+01
       6200.0000          8.71386946E+01          1.56638383E+04          8.66566196E+01
       6300.0000          8.84951148E+01          1.59063561E+04          8.80054957E+01
       6400.0000          8.98506017E+01          1.61486978E+04          8.93534433E+01
       6500.0000          9.12051593E+01          1.63908644E+04          9.07004665E+01
       6600.0000          9.25587918E+01          1.66328568E+04          9.20465695E+01
       6700.0000          9.39115031E+01          1.68746759E+04          9.33917563E+01
       6800.0000          9.52632971E+01          1.71163226E+04          9.47360305E+01
       6900.0000          9.66141775E+01          1.73577978E+04          9.60793959E+01
       7000.0000          9.79641478E+01          1.75991022E+04          9.74218560E+01
       7100.0000          9.93132116E+01          1.78402368E+04          9.87634144E+01
       7200.0000          1.00661372E+02          1.80812022E+04          1.00104074E+02
       7300.0000          1.02008633E+02          1.83219993E+04          1.01443839E+02
       7400.0000          1.03354997E+02          1.85626288E+04          1.02782712E+02
       7500.0000          1.04700468E+02          1.88030913E+04          1.04120697E+02
       7600.0000          1.06045048E+02          1.90433876E+04          1.05457795E+02
       7700.0000          1.07388740E+02          1.92835183E+04          1.06794011E+02
       7800.0000          1.08731548E+02          1.95234842E+04          1.08129346E+02
       7900.0000          1.10073474E+02          1.97632858E+04          1.09463805E+02
       8000.0000          1.11414520E+02          2.00029238E+04          1.10797389E+02
       8100.0000          1.12754691E+02          2.02423987E+04          1.12130101E+02
       8200.0000          1.14093987E+02          2.04817113E+04          1.13461944E+02
       8300.0000          1.15432412E+02          2.07208619E+04          1.14792920E+02
       8400.0000          1.16769968E+02          2.09598513E+04          1.16123032E+02
       8500.0000          1.18106657E+02          2.11986799E+04          1.17452282E+02
       8600.0000          1.19442483E+02          2.14373483E+04          1.18780673E+02
       8700.0000          1.20777447E+02          2.16758571E+04          1.20108206E+02
       8800.0000          1.22111551E+02          2.19142066E+04          1.21434885E+02
       8900.0000          1.23444798E+02          2.21523975E+04          1.22760711E+02
       9000.0000          1.24777190E+02          2.23904302E+04          1.24085687E+02
       9100.0000          1.26108729E+02          2.26283052E+04          1.25409814E+02
       9200.0000          1.27439418E+02          2.28660229E+04          1.26733095E+02
       9300.0000          1.28769257E+02          2.31035839E+04          1.28055532E+02
       9400.0000          1.30098250E+02          2.33409885E+04          1.29377126E+02
       9500.0000          1.31426398E+02          2.35782372E+04          1.30697880E+02
       9600.0000          1.32753703E+02          2.38153305E+04          1.32017796E+02
       9700.0000          1.34080167E+02          2.40522687E+04          1.33336876E+02
       9800.0000          1.35405792E+02          2.42890523E+04          1.34655121E+02
       9900.0000          1.36730579E+02          2.45256817E+04          1.35972533E+02
      10000.0000          1.38054531E+02          2.47621573E+04          1.37289114E+02
      11000.0000          1.51248478E+02          2.71185353E+04          1.50409597E+02
      12000.0000          1.64360659E+02          2.94599213E+04          1.63448758E+02
      13000.0000          1.77392487E+02          3.17866200E+04          1.76408002E+02
      14000.0000          1.90345208E+02          3.40988970E+04          1.89288571E+02
      15000.0000          2.03219947E+02          3.63969879E+04          2.02091583E+02
      16000.0000          2.16017729E+02          3.86811058E+04          2.14818061E+02
      17000.0000          2.28739505E+02          4.09514450E+04          2.27468949E+02
      18000.0000          2.41386161E+02          4.32081850E+04          2.40045129E+02
      19000.0000          2.53958531E+02          4.54514935E+04          2.52547432E+02
      20000.0000          2.66457407E+02          4.76815276E+04          2.64976645E+02
      21000.0000          2.78883545E+02          4.98984363E+04          2.77333522E+02
      22000.0000          2.91237668E+02          5.21023611E+04          2.89618780E+02
      23000.0000          3.03520473E+02          5.42934373E+04          3.01833114E+02
      24000.0000          3.15732632E+02          5.64717948E+04          3.13977192E+02
      25000.0000          3.27874799E+02          5.86375587E+04          3.26051665E+02
      26000.0000          3.39947604E+02          6.07908499E+04          3.38057160E+02
      27000.0000          3.51951666E+02          6.29317855E+04          3.49994292E+02
      28000.0000          3.63887586E+02          6.50604792E+04          3.61863658E+02
      29000.0000          3.75755950E+02          6.71770417E+04          3.73665843E+02
      30000.0000          3.87557333E+02          6.92815810E+04          3.85401418E+02
      31000.0000          3.99292298E+02          7.13742023E+04          3.97070944E+02
      32000.0000          4.10961397E+02          7.34550086E+04          4.08674969E+02
      33000.0000          4.22565173E+02          7.55241009E+04          4.20214032E+02
      34000.0000          4.34104157E+02          7.75815779E+04          4.31688663E+02
      35000.0000          4.45578873E+02          7.96275367E+04          4.43099382E+02
      36000.0000          4.56989836E+02          8.16620723E+04          4.54446703E+02
      37000.0000          4.68337554E+02          8.36852784E+04          4.65731129E+02
      38000.0000          4.79622526E+02          8.56972468E+04          4.76953158E+02
      39000.0000          4.90845244E+02          8.76980682E+04          4.88113279E+02
      40000.0000          5.02006195E+02          8.96878315E+04          4.99211975E+02
      41000.0000          5.13105857E+02          9.16666246E+04          5.10249723E+02
      42000.0000          5.24144703E+02          9.36345339E+04          5.21226993E+02
      43000.0000          5.35123199E+02          9.55916446E+04          5.32144249E+02
      44000.0000          5.46041806E+02          9.75380409E+04          5.43001948E+02
      45000.0000          5.56900979E+02          9.94738057E+04          5.53800544E+02
      46000.0000          5.67701167E+02          1.01399021E+05          5.64540483E+02
      47000.0000          5.78442815E+02          1.03313767E+05          5.75222207E+02
      48000.0000          5.89126362E+02          1.05218124E+05          5.85846153E+02
      49000.0000          5.99752242E+02          1.07112171E+05          5.96412753E+02
      50000.0000          6.10320883E+02          1.08995986E+05          6.06922432E+02
