#Energy      Ga  Total
      40000.0000          2.88597881E+02          2.88597881E+02
      41000.0000          2.94241105E+02          2.94241105E+02
      42000.0000          2.99846157E+02          2.99846157E+02
      43000.0000          3.05413634E+02          3.05413634E+02
      44000.0000          3.10944107E+02          3.10944107E+02
      45000.0000          3.16438124E+02          3.16438124E+02
      46000.0000          3.21896212E+02          3.21896212E+02
      47000.0000          3.27318881E+02          3.27318881E+02
      48000.0000          3.32706618E+02          3.32706618E+02
      49000.0000          3.38059896E+02          3.38059896E+02
      50000.0000          3.43379171E+02          3.43379171E+02
