#Energy      Si   Al  Total
       5900.0000          1.94839826E+02          2.09758871E+02          1.01012144E+02
       6000.0000          1.97837569E+02          2.13017286E+02          1.02573504E+02
       6100.0000          2.00831819E+02          2.16272146E+02          1.04133099E+02
       6200.0000          2.03822624E+02          2.19523495E+02          1.05690953E+02
       6300.0000          2.06810025E+02          2.22771376E+02          1.07247087E+02
       6400.0000          2.09794067E+02          2.26015828E+02          1.08801522E+02
       6500.0000          2.12774789E+02          2.29256890E+02          1.10354277E+02
       6600.0000          2.15752232E+02          2.32494600E+02          1.11905373E+02
       6700.0000          2.18726432E+02          2.35728995E+02          1.13454827E+02
       6800.0000          2.21697427E+02          2.38960109E+02          1.15002658E+02
       6900.0000          2.24665252E+02          2.42187975E+02          1.16548884E+02
       7000.0000          2.27629941E+02          2.45412628E+02          1.18093520E+02
       7100.0000          2.30591526E+02          2.48634097E+02          1.19636583E+02
       7200.0000          2.33550041E+02          2.51852414E+02          1.21178088E+02
       7300.0000          2.36505515E+02          2.55067608E+02          1.22718052E+02
       7400.0000          2.39457979E+02          2.58279708E+02          1.24256488E+02
       7500.0000          2.42407462E+02          2.61488742E+02          1.25793411E+02
       7600.0000          2.45353991E+02          2.64694735E+02          1.27328834E+02
       7700.0000          2.48297593E+02          2.67897715E+02          1.28862771E+02
       7800.0000          2.51238296E+02          2.71097707E+02          1.30395235E+02
       7900.0000          2.54176125E+02          2.74294734E+02          1.31926238E+02
       8000.0000          2.57111103E+02          2.77488821E+02          1.33455793E+02
       8100.0000          2.60043257E+02          2.80679990E+02          1.34983911E+02
       8200.0000          2.62972608E+02          2.83868265E+02          1.36510604E+02
       8300.0000          2.65899180E+02          2.87053667E+02          1.38035883E+02
       8400.0000          2.68822995E+02          2.90236217E+02          1.39559759E+02
       8500.0000          2.71744075E+02          2.93415935E+02          1.41082243E+02
       8600.0000          2.74662439E+02          2.96592843E+02          1.42603344E+02
       8700.0000          2.77578109E+02          2.99766959E+02          1.44123073E+02
       8800.0000          2.80491105E+02          3.02938302E+02          1.45641440E+02
       8900.0000          2.83401445E+02          3.06106891E+02          1.47158454E+02
       9000.0000          2.86309149E+02          3.09272744E+02          1.48674124E+02
       9100.0000          2.89214235E+02          3.12435878E+02          1.50188459E+02
       9200.0000          2.92116720E+02          3.15596311E+02          1.51701469E+02
       9300.0000          2.95016623E+02          3.18754059E+02          1.53213161E+02
       9400.0000          2.97913960E+02          3.21909139E+02          1.54723544E+02
       9500.0000          3.00808748E+02          3.25061567E+02          1.56232626E+02
       9600.0000          3.03701003E+02          3.28211358E+02          1.57740416E+02
       9700.0000          3.06590740E+02          3.31358527E+02          1.59246920E+02
       9800.0000          3.09477976E+02          3.34503090E+02          1.60752147E+02
       9900.0000          3.12362725E+02          3.37645060E+02          1.62256104E+02
      10000.0000          3.15245002E+02          3.40784452E+02          1.63758799E+02
      11000.0000          3.43934836E+02          3.72039481E+02          1.78717776E+02
      12000.0000          3.72391532E+02          4.03050233E+02          1.93557402E+02
      13000.0000          4.00625606E+02          4.33826865E+02          2.08282864E+02
      14000.0000          4.28645825E+02          4.64377868E+02          2.22898492E+02
      15000.0000          4.56459631E+02          4.94710474E+02          2.37407966E+02
      16000.0000          4.84073437E+02          5.24830938E+02          2.51814465E+02
      17000.0000          5.11492846E+02          5.54744743E+02          2.66120769E+02
      18000.0000          5.38722812E+02          5.84456757E+02          2.80329340E+02
      19000.0000          5.65767762E+02          6.13971342E+02          2.94442382E+02
      20000.0000          5.92631688E+02          6.43292450E+02          3.08461886E+02
      21000.0000          6.19318218E+02          6.72423685E+02          3.22389664E+02
      22000.0000          6.45830680E+02          7.01368363E+02          3.36227382E+02
      23000.0000          6.72172139E+02          7.30129552E+02          3.49976575E+02
      24000.0000          6.98345442E+02          7.58710110E+02          3.63638673E+02
      25000.0000          7.24353244E+02          7.87112712E+02          3.77215011E+02
      26000.0000          7.50198035E+02          8.15339875E+02          3.90706841E+02
      27000.0000          7.75882157E+02          8.43393974E+02          4.04115347E+02
      28000.0000          8.01407829E+02          8.71277265E+02          4.17441647E+02
      29000.0000          8.26777152E+02          8.98991894E+02          4.30686806E+02
      30000.0000          8.51992129E+02          9.26539910E+02          4.43851836E+02
      31000.0000          8.77054671E+02          9.53923274E+02          4.56937707E+02
      32000.0000          9.01966611E+02          9.81143870E+02          4.69945349E+02
      33000.0000          9.26729706E+02          1.00820351E+03          4.82875654E+02
      34000.0000          9.51345646E+02          1.03510395E+03          4.95729485E+02
      35000.0000          9.75816063E+02          1.06184686E+03          5.08507670E+02
      36000.0000          1.00014253E+03          1.08843390E+03          5.21211013E+02
      37000.0000          1.02432658E+03          1.11486665E+03          5.33840292E+02
      38000.0000          1.04836968E+03          1.14114664E+03          5.46396262E+02
      39000.0000          1.07227326E+03          1.16727537E+03          5.58879657E+02
      40000.0000          1.09603873E+03          1.19325431E+03          5.71291188E+02
      41000.0000          1.11966744E+03          1.21908488E+03          5.83631552E+02
      42000.0000          1.14316071E+03          1.24476847E+03          5.95901427E+02
      43000.0000          1.16651983E+03          1.27030642E+03          6.08101472E+02
      44000.0000          1.18974606E+03          1.29570008E+03          6.20232336E+02
      45000.0000          1.21284063E+03          1.32095073E+03          6.32294649E+02
      46000.0000          1.23580475E+03          1.34605965E+03          6.44289030E+02
      47000.0000          1.25863959E+03          1.37102809E+03          6.56216085E+02
      48000.0000          1.28134631E+03          1.39585726E+03          6.68076409E+02
      49000.0000          1.30392603E+03          1.42054837E+03          6.79870582E+02
      50000.0000          1.32637988E+03          1.44510259E+03          6.91599178E+02
