#Energy      O-K-shell   Valence  Total
        750.0000          6.27527108E+03          1.09406761E+05          5.93486362E+03
        760.0000          6.46618208E+03          1.13011302E+05          6.11622902E+03
        770.0000          6.68687356E+03          1.17109585E+05          6.32568166E+03
        780.0000          6.88083833E+03          1.21137154E+05          6.51100019E+03
        790.0000          7.10911770E+03          1.25291031E+05          6.72739944E+03
        800.0000          7.33603152E+03          1.29756261E+05          6.94346854E+03
        810.0000          7.58698524E+03          1.33815618E+05          7.17990401E+03
        820.0000          7.80063881E+03          1.38526716E+05          7.38479062E+03
        830.0000          8.06164827E+03          1.42748758E+05          7.63070869E+03
        840.0000          8.34072916E+03          1.47333313E+05          7.89384822E+03
        850.0000          8.54645072E+03          1.52240020E+05          8.09217232E+03
        860.0000          8.83001065E+03          1.56763939E+05          8.35916562E+03
        870.0000          9.07382163E+03          1.61939932E+05          8.59237357E+03
        880.0000          9.37212069E+03          1.66614817E+05          8.87301179E+03
        890.0000          9.61941664E+03          1.71887606E+05          9.10961170E+03
        900.0000          9.88625284E+03          1.77031291E+05          9.36335920E+03
        910.0000          1.01893784E+04          1.82631842E+05          9.65093440E+03
        920.0000          1.04665734E+04          1.87732763E+05          9.91385127E+03
        930.0000          1.07856605E+04          1.93186906E+05          1.02153364E+04
        940.0000          1.10508587E+04          1.99067860E+05          1.04696564E+04
        950.0000          1.13789035E+04          2.05212486E+05          1.07810984E+04
        960.0000          1.16626332E+04          2.10378029E+05          1.10500562E+04
        970.0000          1.19963721E+04          2.16855213E+05          1.13675237E+04
        980.0000          1.23011740E+04          2.22224044E+05          1.16559603E+04
        990.0000          1.26482187E+04          2.28276299E+05          1.19842039E+04
       1000.0000          1.29501586E+04          2.34650781E+05          1.22728324E+04
       1100.0000          1.66455959E+04          3.03028315E+05          1.57788506E+04
       1200.0000          2.10039884E+04          3.84351958E+05          1.99156424E+04
       1300.0000          2.60401385E+04          4.76023817E+05          2.46895360E+04
       1400.0000          3.17920858E+04          5.83387572E+05          3.01490914E+04
