#Energy      H   O  Total
        830.0000          1.88071539E+02          4.85737045E+01          3.86034861E+01
        840.0000          1.90316033E+02          4.91050553E+01          3.90336515E+01
        850.0000          1.92560381E+02          4.96362026E+01          3.94636701E+01
        860.0000          1.94804583E+02          5.01671492E+01          3.98935440E+01
        870.0000          1.97048641E+02          5.06978975E+01          4.03232750E+01
        880.0000          1.99292553E+02          5.12284501E+01          4.07528650E+01
        890.0000          2.01536322E+02          5.17588095E+01          4.11823158E+01
        900.0000          2.03779945E+02          5.22889779E+01          4.16116291E+01
        910.0000          2.06023425E+02          5.28189578E+01          4.20408067E+01
        920.0000          2.08266761E+02          5.33487514E+01          4.24698503E+01
        930.0000          2.10509952E+02          5.38783610E+01          4.28987615E+01
        940.0000          2.12753001E+02          5.44077887E+01          4.33275419E+01
        950.0000          2.14995906E+02          5.49370367E+01          4.37561931E+01
        960.0000          2.17238668E+02          5.54661069E+01          4.41847166E+01
        970.0000          2.19481287E+02          5.59950016E+01          4.46131138E+01
        980.0000          2.21723763E+02          5.65237226E+01          4.50413863E+01
        990.0000          2.23966097E+02          5.70522719E+01          4.54695354E+01
       1000.0000          2.26208288E+02          5.75806515E+01          4.58975625E+01
       1100.0000          2.48622404E+02          6.28554988E+01          5.01714089E+01
       1200.0000          2.71022450E+02          6.81151889E+01          5.44343749E+01
       1300.0000          2.93408550E+02          7.33610862E+01          5.86874370E+01
       1400.0000          3.15780808E+02          7.85943226E+01          6.29313990E+01
       1500.0000          3.38139312E+02          8.38158484E+01          6.71669314E+01
       1600.0000          3.60484137E+02          8.90264707E+01          7.13946010E+01
       1700.0000          3.82815349E+02          9.42268814E+01          7.56148915E+01
       1800.0000          4.05133005E+02          9.94176792E+01          7.98282202E+01
       1900.0000          4.27437156E+02          1.04599386E+02          8.40349497E+01
       2000.0000          4.49727848E+02          1.09772460E+02          8.82353977E+01
       2100.0000          4.72005122E+02          1.14937306E+02          9.24298443E+01
       2200.0000          4.94269015E+02          1.20094285E+02          9.66185381E+01
       2300.0000          5.16519563E+02          1.25243718E+02          1.00801701E+02
       2400.0000          5.38756798E+02          1.30385893E+02          1.04979532E+02
       2500.0000          5.60980749E+02          1.35521073E+02          1.09152210E+02
       2600.0000          5.83191444E+02          1.40649492E+02          1.13319897E+02
       2700.0000          6.05388909E+02          1.45771367E+02          1.17482742E+02
       2800.0000          6.27573169E+02          1.50886892E+02          1.21640877E+02
       2900.0000          6.49744247E+02          1.55996247E+02          1.25794427E+02
       3000.0000          6.71902165E+02          1.61099597E+02          1.29943504E+02
       3100.0000          6.94046946E+02          1.66197094E+02          1.34088213E+02
       3200.0000          7.16178609E+02          1.71288879E+02          1.38228648E+02
       3300.0000          7.38297173E+02          1.76375081E+02          1.42364899E+02
       3400.0000          7.60402658E+02          1.81455820E+02          1.46497049E+02
       3500.0000          7.82495081E+02          1.86531210E+02          1.50625175E+02
       3600.0000          8.04574461E+02          1.91601354E+02          1.54749346E+02
       3700.0000          8.26640814E+02          1.96666351E+02          1.58869632E+02
       3800.0000          8.48694157E+02          2.01726292E+02          1.62986094E+02
       3900.0000          8.70734506E+02          2.06781264E+02          1.67098790E+02
       4000.0000          8.92761876E+02          2.11831345E+02          1.71207776E+02
       4100.0000          9.14776284E+02          2.16876613E+02          1.75313104E+02
       4200.0000          9.36777744E+02          2.21917140E+02          1.79414823E+02
       4300.0000          9.58766271E+02          2.26952992E+02          1.83512978E+02
       4400.0000          9.80741879E+02          2.31984233E+02          1.87607614E+02
       4500.0000          1.00270458E+03          2.37010925E+02          1.91698772E+02
       4600.0000          1.02465440E+03          2.42033123E+02          1.95786490E+02
       4700.0000          1.04659133E+03          2.47050884E+02          1.99870807E+02
       4800.0000          1.06851541E+03          2.52064258E+02          2.03951757E+02
       4900.0000          1.09042663E+03          2.57073294E+02          2.08029374E+02
       5000.0000          1.11232502E+03          2.62078040E+02          2.12103690E+02
