#Energy      Ga   As  Total
       3400.0000          9.64520475E+01          9.52790007E+01          4.79309678E+01
       3500.0000          9.84382729E+01          9.71855985E+01          4.89039625E+01
       3600.0000          1.00415612E+02          9.90832620E+01          4.98724940E+01
       3700.0000          1.02384332E+02          1.00972249E+02          5.08366940E+01
       3800.0000          1.04344685E+02          1.02852808E+02          5.17966877E+01
       3900.0000          1.06296914E+02          1.04725173E+02          5.27525949E+01
       4000.0000          1.08241248E+02          1.06589570E+02          5.37045297E+01
       4100.0000          1.10177906E+02          1.08446215E+02          5.46526011E+01
       4200.0000          1.12107097E+02          1.10295315E+02          5.55969129E+01
       4300.0000          1.14029020E+02          1.12137066E+02          5.65375647E+01
       4400.0000          1.15943866E+02          1.13971656E+02          5.74746511E+01
       4500.0000          1.17851815E+02          1.15799268E+02          5.84082630E+01
       4600.0000          1.19753042E+02          1.17620073E+02          5.93384871E+01
       4700.0000          1.21647712E+02          1.19434236E+02          6.02654064E+01
       4800.0000          1.23535984E+02          1.21241918E+02          6.11891004E+01
       4900.0000          1.25418009E+02          1.23043269E+02          6.21096452E+01
       5000.0000          1.27293933E+02          1.24838436E+02          6.30271139E+01
       5100.0000          1.29163895E+02          1.26627559E+02          6.39415763E+01
       5200.0000          1.31028029E+02          1.28410772E+02          6.48530996E+01
       5300.0000          1.32886463E+02          1.30188205E+02          6.57617482E+01
       5400.0000          1.34739320E+02          1.31959981E+02          6.66675842E+01
       5500.0000          1.36586718E+02          1.33726220E+02          6.75706669E+01
       5600.0000          1.38428770E+02          1.35487037E+02          6.84710536E+01
       5700.0000          1.40265587E+02          1.37242542E+02          6.93687993E+01
       5800.0000          1.42097272E+02          1.38992842E+02          7.02639570E+01
       5900.0000          1.43923928E+02          1.40738039E+02          7.11565777E+01
       6000.0000          1.45745651E+02          1.42478232E+02          7.20467106E+01
       6100.0000          1.47562535E+02          1.44213517E+02          7.29344030E+01
       6200.0000          1.49374671E+02          1.45943986E+02          7.38197006E+01
       6300.0000          1.51182146E+02          1.47669726E+02          7.47026476E+01
       6400.0000          1.52985044E+02          1.49390825E+02          7.55832864E+01
       6500.0000          1.54783446E+02          1.51107364E+02          7.64616582E+01
       6600.0000          1.56577432E+02          1.52819425E+02          7.73378027E+01
       6700.0000          1.58367077E+02          1.54527083E+02          7.82117583E+01
       6800.0000          1.60152454E+02          1.56230415E+02          7.90835622E+01
       6900.0000          1.61933634E+02          1.57929492E+02          7.99532501E+01
       7000.0000          1.63710686E+02          1.59624384E+02          8.08208569E+01
       7100.0000          1.65483676E+02          1.61315161E+02          8.16864162E+01
       7200.0000          1.67252669E+02          1.63001886E+02          8.25499606E+01
       7300.0000          1.69017727E+02          1.64684625E+02          8.34115218E+01
       7400.0000          1.70778911E+02          1.66363438E+02          8.42711302E+01
       7500.0000          1.72536278E+02          1.68038387E+02          8.51288156E+01
       7600.0000          1.74289887E+02          1.69709528E+02          8.59846069E+01
       7700.0000          1.76039791E+02          1.71376920E+02          8.68385318E+01
       7800.0000          1.77786044E+02          1.73040615E+02          8.76906176E+01
       7900.0000          1.79528699E+02          1.74700668E+02          8.85408907E+01
       8000.0000          1.81267806E+02          1.76357130E+02          8.93893765E+01
       8100.0000          1.83003413E+02          1.78010052E+02          9.02360999E+01
       8200.0000          1.84735569E+02          1.79659483E+02          9.10810852E+01
       8300.0000          1.86464320E+02          1.81305469E+02          9.19243558E+01
       8400.0000          1.88189710E+02          1.82948057E+02          9.27659346E+01
       8500.0000          1.89911783E+02          1.84587293E+02          9.36058437E+01
       8600.0000          1.91630583E+02          1.86223220E+02          9.44441049E+01
       8700.0000          1.93346151E+02          1.87855880E+02          9.52807392E+01
       8800.0000          1.95058526E+02          1.89485315E+02          9.61157671E+01
       8900.0000          1.96767749E+02          1.91111566E+02          9.69492086E+01
       9000.0000          1.98473857E+02          1.92734672E+02          9.77810832E+01
       9100.0000          2.00176888E+02          1.94354671E+02          9.86114099E+01
       9200.0000          2.01876879E+02          1.95971601E+02          9.94402070E+01
       9300.0000          2.03573865E+02          1.97585499E+02          1.00267493E+02
       9400.0000          2.05267880E+02          1.99196399E+02          1.01093285E+02
       9500.0000          2.06958959E+02          2.00804337E+02          1.01917600E+02
       9600.0000          2.08647133E+02          2.02409346E+02          1.02740455E+02
       9700.0000          2.10332436E+02          2.04011461E+02          1.03561867E+02
       9800.0000          2.12014899E+02          2.05610712E+02          1.04381851E+02
       9900.0000          2.13694552E+02          2.07207132E+02          1.05200423E+02
      10000.0000          2.15371426E+02          2.08800751E+02          1.06017598E+02
      10370.9990          2.21568803E+02          2.14689088E+02          1.09037350E+02
      10371.0010          2.21568837E+02          2.14689119E+02          1.09037366E+02
      11000.0000          2.31993401E+02          2.24589219E+02          1.14115638E+02
      11870.9990          2.46267008E+02          2.38135827E+02          1.21066586E+02
      11871.0010          2.46267041E+02          2.38135858E+02          1.21066602E+02
      12000.0000          2.48365827E+02          2.40126922E+02          1.22088448E+02
      13000.0000          2.64509768E+02          2.55435589E+02          1.29946748E+02
      14000.0000          2.80442566E+02          2.70533120E+02          1.37699365E+02
      15000.0000          2.96178719E+02          2.85434486E+02          1.45353681E+02
      16000.0000          3.11730514E+02          3.00152370E+02          1.52915950E+02
      17000.0000          3.27108482E+02          3.14697643E+02          1.60391533E+02
      18000.0000          3.42321746E+02          3.29079722E+02          1.67785074E+02
      19000.0000          3.57378283E+02          3.43306833E+02          1.75100632E+02
      20000.0000          3.72285123E+02          3.57386224E+02          1.82341783E+02
      21000.0000          3.87048512E+02          3.71324330E+02          1.89511704E+02
      22000.0000          4.01674034E+02          3.85126900E+02          1.96613233E+02
      23000.0000          4.16166715E+02          3.98799103E+02          2.03648925E+02
