#Energy      Os  Total
       8100.0000          5.63671419E+01          5.63671419E+01
       8200.0000          5.67238640E+01          5.67238640E+01
       8300.0000          5.70795233E+01          5.70795233E+01
       8400.0000          5.74341263E+01          5.74341263E+01
       8500.0000          5.77876792E+01          5.77876792E+01
       8600.0000          5.81401890E+01          5.81401890E+01
       8700.0000          5.84916623E+01          5.84916623E+01
       8800.0000          5.88421061E+01          5.88421061E+01
       8900.0000          5.91915275E+01          5.91915275E+01
       9000.0000          5.95399336E+01          5.95399336E+01
       9100.0000          5.98873318E+01          5.98873318E+01
       9200.0000          6.02337293E+01          6.02337293E+01
       9300.0000          6.05791335E+01          6.05791335E+01
       9400.0000          6.09235517E+01          6.09235517E+01
       9500.0000          6.12669915E+01          6.12669915E+01
       9600.0000          6.16094601E+01          6.16094601E+01
       9700.0000          6.19509652E+01          6.19509652E+01
       9800.0000          6.22915141E+01          6.22915141E+01
       9900.0000          6.26311143E+01          6.26311143E+01
      10000.0000          6.29697732E+01          6.29697732E+01
      10875.9990          6.58973096E+01          6.58973096E+01
      10876.0010          6.58973162E+01          6.58973162E+01
      11000.0000          6.63062052E+01          6.63062052E+01
      12000.0000          6.95563999E+01          6.95563999E+01
      12389.9990          7.08020505E+01          7.08020505E+01
      12390.0010          7.08020568E+01          7.08020568E+01
      12971.9990          7.26392352E+01          7.26392352E+01
      12972.0010          7.26392414E+01          7.26392414E+01
      13000.0000          7.27269864E+01          7.27269864E+01
      14000.0000          7.58239497E+01          7.58239497E+01
      15000.0000          7.88526379E+01          7.88526379E+01
      16000.0000          8.18178132E+01          8.18178132E+01
      17000.0000          8.47237155E+01          8.47237155E+01
      18000.0000          8.75741259E+01          8.75741259E+01
      19000.0000          9.03724252E+01          9.03724252E+01
      20000.0000          9.31216460E+01          9.31216460E+01
      21000.0000          9.58245178E+01          9.58245178E+01
      22000.0000          9.84835058E+01          9.84835058E+01
      23000.0000          1.01100844E+02          1.01100844E+02
      24000.0000          1.03678565E+02          1.03678565E+02
      25000.0000          1.06218521E+02          1.06218521E+02
      26000.0000          1.08722408E+02          1.08722408E+02
      27000.0000          1.11191785E+02          1.11191785E+02
      28000.0000          1.13628083E+02          1.13628083E+02
      29000.0000          1.16032626E+02          1.16032626E+02
      30000.0000          1.18406638E+02          1.18406638E+02
      31000.0000          1.20751255E+02          1.20751255E+02
      32000.0000          1.23067533E+02          1.23067533E+02
      33000.0000          1.25356456E+02          1.25356456E+02
      34000.0000          1.27618942E+02          1.27618942E+02
      35000.0000          1.29855853E+02          1.29855853E+02
      36000.0000          1.32067994E+02          1.32067994E+02
      37000.0000          1.34256123E+02          1.34256123E+02
      38000.0000          1.36420953E+02          1.36420953E+02
      39000.0000          1.38563155E+02          1.38563155E+02
      40000.0000          1.40683363E+02          1.40683363E+02
      41000.0000          1.42782178E+02          1.42782178E+02
      42000.0000          1.44860165E+02          1.44860165E+02
      43000.0000          1.46917865E+02          1.46917865E+02
      44000.0000          1.48955787E+02          1.48955787E+02
      45000.0000          1.50974417E+02          1.50974417E+02
      46000.0000          1.52974218E+02          1.52974218E+02
      47000.0000          1.54955631E+02          1.54955631E+02
      48000.0000          1.56919075E+02          1.56919075E+02
      49000.0000          1.58864951E+02          1.58864951E+02
      50000.0000          1.60793645E+02          1.60793645E+02
      73875.9990          2.02502723E+02          2.02502723E+02
      73876.0010          2.02502726E+02          2.02502726E+02
