#Energy      C  Total
       9100.0000          1.88558774E+02          1.88558774E+02
       9200.0000          1.90548430E+02          1.90548430E+02
       9300.0000          1.92536816E+02          1.92536816E+02
       9400.0000          1.94523937E+02          1.94523937E+02
       9500.0000          1.96509794E+02          1.96509794E+02
       9600.0000          1.98494391E+02          1.98494391E+02
       9700.0000          2.00477730E+02          2.00477730E+02
       9800.0000          2.02459815E+02          2.02459815E+02
       9900.0000          2.04440648E+02          2.04440648E+02
      10000.0000          2.06420232E+02          2.06420232E+02
      11000.0000          2.26147925E+02          2.26147925E+02
      12000.0000          2.45753363E+02          2.45753363E+02
      13000.0000          2.65238655E+02          2.65238655E+02
      14000.0000          2.84605667E+02          2.84605667E+02
      15000.0000          3.03856079E+02          3.03856079E+02
      16000.0000          3.22991425E+02          3.22991425E+02
      17000.0000          3.42013125E+02          3.42013125E+02
      18000.0000          3.60922505E+02          3.60922505E+02
      19000.0000          3.79720813E+02          3.79720813E+02
      20000.0000          3.98409232E+02          3.98409232E+02
      21000.0000          4.16988892E+02          4.16988892E+02
      22000.0000          4.35460875E+02          4.35460875E+02
      23000.0000          4.53826222E+02          4.53826222E+02
      24000.0000          4.72085940E+02          4.72085940E+02
      25000.0000          4.90241003E+02          4.90241003E+02
      26000.0000          5.08292358E+02          5.08292358E+02
      27000.0000          5.26240927E+02          5.26240927E+02
      28000.0000          5.44087609E+02          5.44087609E+02
      29000.0000          5.61833281E+02          5.61833281E+02
      30000.0000          5.79478802E+02          5.79478802E+02
      31000.0000          5.97025016E+02          5.97025016E+02
      32000.0000          6.14472746E+02          6.14472746E+02
      33000.0000          6.31822803E+02          6.31822803E+02
      34000.0000          6.49075983E+02          6.49075983E+02
      35000.0000          6.66233070E+02          6.66233070E+02
      36000.0000          6.83294833E+02          6.83294833E+02
      37000.0000          7.00262031E+02          7.00262031E+02
      38000.0000          7.17135410E+02          7.17135410E+02
      39000.0000          7.33915708E+02          7.33915708E+02
      40000.0000          7.50603650E+02          7.50603650E+02
      41000.0000          7.67199953E+02          7.67199953E+02
      42000.0000          7.83705323E+02          7.83705323E+02
      43000.0000          8.00120457E+02          8.00120457E+02
      44000.0000          8.16446045E+02          8.16446045E+02
      45000.0000          8.32682767E+02          8.32682767E+02
      46000.0000          8.48831295E+02          8.48831295E+02
      47000.0000          8.64892292E+02          8.64892292E+02
      48000.0000          8.80866416E+02          8.80866416E+02
      49000.0000          8.96754316E+02          8.96754316E+02
      50000.0000          9.12556632E+02          9.12556632E+02
