#Energy      C   H   N   O  Total
       2000.0000          1.61817946E+02          7.79642830E+02          2.74022260E+02          4.75750566E+02          7.56790115E+01
       2100.0000          1.69591646E+02          8.18262446E+02          2.87057263E+02          4.98134856E+02          7.93038225E+01
       2200.0000          1.77356560E+02          8.56858867E+02          3.00075115E+02          5.20485048E+02          8.29242660E+01
       2300.0000          1.85112975E+02          8.95432151E+02          3.13076454E+02          5.42802535E+02          8.65404934E+01
       2400.0000          1.92861146E+02          9.33982356E+02          3.26061852E+02          5.65088572E+02          9.01526408E+01
       2500.0000          2.00601305E+02          9.72509531E+02          3.39031826E+02          5.87344287E+02          9.37608307E+01
       2600.0000          2.08333661E+02          1.01101373E+03          3.51986841E+02          6.09570704E+02          9.73651739E+01
       2700.0000          2.16058406E+02          1.04949499E+03          3.64927323E+02          6.31768754E+02          1.00965771E+02
       2800.0000          2.23775713E+02          1.08795336E+03          3.77853660E+02          6.53939286E+02          1.04562715E+02
       2900.0000          2.31485741E+02          1.12638887E+03          3.90766207E+02          6.76083079E+02          1.08156089E+02
       3000.0000          2.39188637E+02          1.16480158E+03          4.03665289E+02          6.98200847E+02          1.11745971E+02
       3100.0000          2.46884535E+02          1.20319150E+03          4.16551207E+02          7.20293248E+02          1.15332431E+02
       3200.0000          2.54573559E+02          1.24155869E+03          4.29424237E+02          7.42360890E+02          1.18915536E+02
       3300.0000          2.62255825E+02          1.27990317E+03          4.42284638E+02          7.64404337E+02          1.22495347E+02
       3400.0000          2.69931440E+02          1.31822497E+03          4.55132647E+02          7.86424111E+02          1.26071920E+02
       3500.0000          2.77600503E+02          1.35652413E+03          4.67968487E+02          8.08420699E+02          1.29645307E+02
       3600.0000          2.85263108E+02          1.39480068E+03          4.80792364E+02          8.30394554E+02          1.33215558E+02
       3700.0000          2.92919342E+02          1.43305465E+03          4.93604472E+02          8.52346099E+02          1.36782719E+02
       3800.0000          3.00569286E+02          1.47128606E+03          5.06404992E+02          8.74275733E+02          1.40346832E+02
       3900.0000          3.08213016E+02          1.50949495E+03          5.19194094E+02          8.96183827E+02          1.43907938E+02
       4000.0000          3.15850605E+02          1.54768133E+03          5.31971938E+02          9.18070730E+02          1.47466075E+02
       4100.0000          3.23482120E+02          1.58584525E+03          5.44738674E+02          9.39936772E+02          1.51021278E+02
       4200.0000          3.31107625E+02          1.62398672E+03          5.57494444E+02          9.61782263E+02          1.54573581E+02
       4300.0000          3.38727180E+02          1.66210577E+03          5.70239381E+02          9.83607495E+02          1.58123016E+02
       4400.0000          3.46340843E+02          1.70020242E+03          5.82973613E+02          1.00541275E+03          1.61669613E+02
       4500.0000          3.53948668E+02          1.73827670E+03          5.95697258E+02          1.02719828E+03          1.65213401E+02
       4600.0000          3.61550706E+02          1.77632863E+03          6.08410432E+02          1.04896434E+03          1.68754405E+02
       4700.0000          3.69147006E+02          1.81435824E+03          6.21113242E+02          1.07071116E+03          1.72292653E+02
       4800.0000          3.76737614E+02          1.85236556E+03          6.33805790E+02          1.09243897E+03          1.75828168E+02
       4900.0000          3.84322576E+02          1.89035059E+03          6.46488174E+02          1.11414799E+03          1.79360974E+02
       5000.0000          3.91901932E+02          1.92831337E+03          6.59160488E+02          1.13583840E+03          1.82891093E+02
       5100.0000          3.99475723E+02          1.96625392E+03          6.71822820E+02          1.15751042E+03          1.86418546E+02
       5200.0000          4.07043988E+02          2.00417226E+03          6.84475256E+02          1.17916422E+03          1.89943353E+02
       5300.0000          4.14606765E+02          2.04206842E+03          6.97117875E+02          1.20079998E+03          1.93465534E+02
       5400.0000          4.22164087E+02          2.07994241E+03          7.09750757E+02          1.22241787E+03          1.96985106E+02
       5500.0000          4.29715989E+02          2.11779425E+03          7.22373975E+02          1.24401804E+03          2.00502089E+02
       5600.0000          4.37262504E+02          2.15562397E+03          7.34987600E+02          1.26560066E+03          2.04016498E+02
       5700.0000          4.44803662E+02          2.19343159E+03          7.47591701E+02          1.28716588E+03          2.07528350E+02
       5800.0000          4.52339494E+02          2.23121713E+03          7.60186344E+02          1.30871383E+03          2.11037662E+02
       5900.0000          4.59870029E+02          2.26898061E+03          7.72771592E+02          1.33024465E+03          2.14544447E+02
       6000.0000          4.67395294E+02          2.30672204E+03          7.85347506E+02          1.35175848E+03          2.18048720E+02
       6100.0000          4.74915317E+02          2.34444146E+03          7.97914144E+02          1.37325544E+03          2.21550496E+02
       6200.0000          4.82430123E+02          2.38213888E+03          8.10471562E+02          1.39473565E+03          2.25049788E+02
       6300.0000          4.89939737E+02          2.41981432E+03          8.23019815E+02          1.41619923E+03          2.28546609E+02
