#Energy      Pb   W   O  Total
       7600.0000          4.08350663E+02          3.89820377E+02          3.36226323E+02          1.25182346E+02
       7700.0000          4.10922286E+02          3.92451899E+02          3.40442870E+02          1.26278833E+02
       7800.0000          4.13486906E+02          3.95075313E+02          3.44656386E+02          1.27371340E+02
       7900.0000          4.16044513E+02          3.97690667E+02          3.48866884E+02          1.28459925E+02
       8000.0000          4.18595104E+02          4.00298010E+02          3.53074379E+02          1.29544643E+02
       8100.0000          4.21138678E+02          4.02897393E+02          3.57278884E+02          1.30625549E+02
       8200.0000          4.23675241E+02          4.05488868E+02          3.61480411E+02          1.31702696E+02
       8300.0000          4.26204801E+02          4.08072488E+02          3.65678973E+02          1.32776135E+02
       8400.0000          4.28727371E+02          4.10648309E+02          3.69874583E+02          1.33845918E+02
       8500.0000          4.31242965E+02          4.13216386E+02          3.74067251E+02          1.34912092E+02
       8600.0000          4.33751603E+02          4.15776776E+02          3.78256991E+02          1.35974706E+02
       8700.0000          4.36253305E+02          4.18329537E+02          3.82443813E+02          1.37033806E+02
       8800.0000          4.38748095E+02          4.20874725E+02          3.86627728E+02          1.38089438E+02
       8900.0000          4.41235999E+02          4.23412400E+02          3.90808748E+02          1.39141647E+02
       9000.0000          4.43717043E+02          4.25942619E+02          3.94986882E+02          1.40190475E+02
       9100.0000          4.46191257E+02          4.28465442E+02          3.99162141E+02          1.41235966E+02
       9200.0000          4.48658672E+02          4.30980928E+02          4.03334535E+02          1.42278160E+02
       9300.0000          4.51119321E+02          4.33489135E+02          4.07504074E+02          1.43317098E+02
       9400.0000          4.53573237E+02          4.35990122E+02          4.11670769E+02          1.44352820E+02
       9500.0000          4.56020454E+02          4.38483949E+02          4.15834627E+02          1.45385365E+02
       9600.0000          4.58461010E+02          4.40970674E+02          4.19995658E+02          1.46414770E+02
       9700.0000          4.60894940E+02          4.43450356E+02          4.24153872E+02          1.47441071E+02
       9800.0000          4.63322282E+02          4.45923052E+02          4.28309278E+02          1.48464307E+02
       9900.0000          4.65743075E+02          4.48388821E+02          4.32461883E+02          1.49484511E+02
      10000.0000          4.68157357E+02          4.50847722E+02          4.36611698E+02          1.50501718E+02
      10208.9990          4.73182332E+02          4.55964870E+02          4.45275790E+02          1.52618145E+02
      10209.0010          4.73182380E+02          4.55964919E+02          4.45275873E+02          1.52618165E+02
      11000.0000          4.91950933E+02          4.75071344E+02          4.77958072E+02          1.60516123E+02
      11545.9990          5.04683725E+02          4.88029646E+02          5.00418404E+02          1.65869866E+02
      11546.0010          5.04683771E+02          4.88029693E+02          5.00418486E+02          1.65869886E+02
      12000.0000          5.15138326E+02          4.98668358E+02          5.19033594E+02          1.70264221E+02
      12102.9990          5.17493807E+02          5.01065265E+02          5.23249209E+02          1.71254181E+02
      12103.0010          5.17493852E+02          5.01065312E+02          5.23249291E+02          1.71254200E+02
      13000.0000          5.37760243E+02          5.21688580E+02          5.59844659E+02          1.79771179E+02
      13040.9990          5.38676222E+02          5.22620741E+02          5.61512311E+02          1.80156127E+02
      13041.0010          5.38676266E+02          5.22620786E+02          5.61512393E+02          1.80156146E+02
      14000.0000          5.59855238E+02          5.44176465E+02          6.00396783E+02          1.89058059E+02
      15000.0000          5.81458856E+02          5.66171429E+02          6.40694810E+02          1.98142723E+02
      15205.9990          5.85851155E+02          5.70644403E+02          6.48965003E+02          1.99990474E+02
      15206.0010          5.85851197E+02          5.70644446E+02          6.48965083E+02          1.99990492E+02
      15866.9990          5.99816583E+02          5.84869194E+02          6.75430862E+02          2.05867353E+02
      15867.0010          5.99816625E+02          5.84869237E+02          6.75430942E+02          2.05867370E+02
      16000.0000          6.02603451E+02          5.87708368E+02          6.80743063E+02          2.07040482E+02
      17000.0000          6.23318295E+02          6.08818217E+02          7.20545453E+02          2.15764595E+02
      18000.0000          6.43629817E+02          6.29528471E+02          7.60105557E+02          2.24326637E+02
      19000.0000          6.63561879E+02          6.49863649E+02          7.99426683E+02          2.32736793E+02
      20000.0000          6.83136054E+02          6.69845697E+02          8.38511909E+02          2.41004084E+02
      21000.0000          7.02371880E+02          6.89494333E+02          8.77364129E+02          2.49136551E+02
      22000.0000          7.21287097E+02          7.08827340E+02          9.15986071E+02          2.57141398E+02
      23000.0000          7.39897856E+02          7.27860811E+02          9.54380328E+02          2.65025118E+02
      24000.0000          7.58218896E+02          7.46609370E+02          9.92549374E+02          2.72793582E+02
      25000.0000          7.76263708E+02          7.65086341E+02          1.03049558E+03          2.80452129E+02
      26000.0000          7.94044673E+02          7.83303912E+02          1.06822122E+03          2.88005629E+02
      27000.0000          8.11573180E+02          8.01273263E+02          1.10572849E+03          2.95458541E+02
      28000.0000          8.28859737E+02          8.19004676E+02          1.14301952E+03          3.02814965E+02
      29000.0000          8.45914059E+02          8.36507641E+02          1.18009636E+03          3.10078677E+02
      30000.0000          8.62745150E+02          8.53790934E+02          1.21696101E+03          3.17253169E+02
      31000.0000          8.79361374E+02          8.70862694E+02          1.25361542E+03          3.24341679E+02
      32000.0000          8.95770519E+02          8.87730487E+02          1.29006148E+03          3.31347214E+02
      33000.0000          9.11979849E+02          9.04401361E+02          1.32630105E+03          3.38272579E+02
      34000.0000          9.27996154E+02          9.20881898E+02          1.36233593E+03          3.45120391E+02
      35000.0000          9.43825792E+02          9.37178255E+02          1.39816789E+03          3.51893101E+02
      36000.0000          9.59474730E+02          9.53296205E+02          1.43379868E+03          3.58593004E+02
      37000.0000          9.74948576E+02          9.69241168E+02          1.46922998E+03          3.65222261E+02
      38000.0000          9.90252606E+02          9.85018244E+02          1.50446346E+03          3.71782904E+02
      39000.0000          1.00539180E+03          1.00063224E+03          1.53950078E+03          3.78276848E+02
      40000.0000          1.02037085E+03          1.01608769E+03          1.57434353E+03          3.84705903E+02
      41000.0000          1.03519422E+03          1.03138889E+03          1.60899330E+03          3.91071781E+02
      42000.0000          1.04986609E+03          1.04653990E+03          1.64345165E+03          3.97376105E+02
      43000.0000          1.06439048E+03          1.06154457E+03          1.67772011E+03          4.03620414E+02
      44000.0000          1.07877116E+03          1.07640655E+03          1.71180020E+03          4.09806170E+02
      45000.0000          1.09301175E+03          1.09112932E+03          1.74569340E+03          4.15934764E+02
      46000.0000          1.10711567E+03          1.10571618E+03          1.77940119E+03          4.22007521E+02
      47000.0000          1.12108618E+03          1.12017030E+03          1.81292500E+03          4.28025705E+02
      48000.0000          1.13492642E+03          1.13449467E+03          1.84626628E+03          4.33990522E+02
      49000.0000          1.14863934E+03          1.14869217E+03          1.87942642E+03          4.39903126E+02
      50000.0000          1.16222781E+03          1.16276555E+03          1.91240682E+03          4.45764619E+02
      69528.9990          1.40593653E+03          1.41589988E+03          2.52232291E+03          5.51269669E+02
      69529.0010          1.40593656E+03          1.41589990E+03          2.52232296E+03          5.51269679E+02
      88010.9990          1.60608584E+03          1.62466742E+03          3.04502614E+03          6.38346744E+02
      88011.0010          1.60608586E+03          1.62466744E+03          3.04502620E+03          6.38346753E+02
