#Energy      Ti  Total
      40000.0000          3.28179968E+02          3.28179968E+02
      41000.0000          3.34972869E+02          3.34972869E+02
      42000.0000          3.41723979E+02          3.41723979E+02
      43000.0000          3.48433810E+02          3.48433810E+02
      44000.0000          3.55102856E+02          3.55102856E+02
      45000.0000          3.61731597E+02          3.61731597E+02
      46000.0000          3.68320497E+02          3.68320497E+02
      47000.0000          3.74870005E+02          3.74870005E+02
      48000.0000          3.81380558E+02          3.81380558E+02
      49000.0000          3.87852579E+02          3.87852579E+02
      50000.0000          3.94286483E+02          3.94286483E+02
