#Energy      K   Ta   O  Total
       9600.0000          4.85746340E+02          3.16136033E+02          4.03260371E+02          1.29841963E+02
       9700.0000          4.90171436E+02          3.17926569E+02          4.07252895E+02          1.30873613E+02
       9800.0000          4.94591756E+02          3.19712051E+02          4.11242723E+02          1.31902838E+02
       9883.9990          4.98301116E+02          3.21207963E+02          4.14592060E+02          1.32765520E+02
       9884.0010          4.98301204E+02          3.21207999E+02          4.14592140E+02          1.32765541E+02
       9900.0000          4.99007336E+02          3.21492521E+02          4.15229862E+02          1.32929662E+02
      10000.0000          5.03418214E+02          3.23268024E+02          4.19214321E+02          1.33954112E+02
      11000.0000          5.47276093E+02          3.40758996E+02          4.58913195E+02          1.44073161E+02
      11138.9990          5.53337242E+02          3.43153547E+02          4.64410562E+02          1.45462361E+02
      11139.0010          5.53337329E+02          3.43153581E+02          4.64410641E+02          1.45462381E+02
      11683.9990          5.77022897E+02          3.52460018E+02          4.85917017E+02          1.50870539E+02
      11684.0010          5.77022983E+02          3.52460052E+02          4.85917095E+02          1.50870559E+02
      12000.0000          5.90699488E+02          3.57797675E+02          4.98352007E+02          1.53978870E+02
      13000.0000          6.33714886E+02          3.74420565E+02          5.37536901E+02          1.63689494E+02
      14000.0000          6.76344170E+02          3.90660077E+02          5.76473172E+02          1.73220360E+02
      15000.0000          7.18605733E+02          4.06544843E+02          6.15165470E+02          1.82584512E+02
      16000.0000          7.60515260E+02          4.22100146E+02          6.53617947E+02          1.91793178E+02
      17000.0000          8.02086303E+02          4.37348356E+02          6.91834357E+02          2.00856123E+02
      18000.0000          8.43330704E+02          4.52309322E+02          7.29818137E+02          2.09781912E+02
      19000.0000          8.84258914E+02          4.67000725E+02          7.67572459E+02          2.18578117E+02
      20000.0000          9.24880243E+02          4.81438372E+02          8.05100283E+02          2.27251479E+02
      21000.0000          9.65203053E+02          4.95636455E+02          8.42404383E+02          2.35808034E+02
      22000.0000          1.00523491E+03          5.09607764E+02          8.79487383E+02          2.44253221E+02
      23000.0000          1.04498269E+03          5.23363868E+02          9.16351770E+02          2.52591962E+02
      24000.0000          1.08445271E+03          5.36915271E+02          9.52999919E+02          2.60828735E+02
      25000.0000          1.12365079E+03          5.50271545E+02          9.89434107E+02          2.68967629E+02
      26000.0000          1.16258231E+03          5.63441438E+02          1.02565652E+03          2.77012395E+02
      27000.0000          1.20125227E+03          5.76432972E+02          1.06166926E+03          2.84966484E+02
      28000.0000          1.23966536E+03          5.89253528E+02          1.09747438E+03          2.92833083E+02
      29000.0000          1.27782597E+03          6.01909910E+02          1.13307384E+03          3.00615143E+02
      30000.0000          1.31573821E+03          6.14408413E+02          1.16846957E+03          3.08315408E+02
      31000.0000          1.35340600E+03          6.26754874E+02          1.20366344E+03          3.15936430E+02
      32000.0000          1.39083303E+03          6.38954716E+02          1.23865726E+03          3.23480596E+02
      33000.0000          1.42802281E+03          6.51012992E+02          1.27345281E+03          3.30950138E+02
      34000.0000          1.46497869E+03          6.62934421E+02          1.30805184E+03          3.38347151E+02
      35000.0000          1.50170385E+03          6.74723414E+02          1.34245603E+03          3.45673605E+02
      36000.0000          1.53820136E+03          6.86384109E+02          1.37666705E+03          3.52931355E+02
      37000.0000          1.57447414E+03          6.97920390E+02          1.41068655E+03          3.60122152E+02
      38000.0000          1.61052501E+03          7.09335914E+02          1.44451611E+03          3.67247651E+02
      39000.0000          1.64635668E+03          7.20634123E+02          1.47815731E+03          3.74309421E+02
      40000.0000          1.68197177E+03          7.31818268E+02          1.51161171E+03          3.81308949E+02
      41000.0000          1.71737279E+03          7.42891425E+02          1.54488081E+03          3.88247649E+02
      42000.0000          1.75256218E+03          7.53856502E+02          1.57796612E+03          3.95126863E+02
      43000.0000          1.78754232E+03          7.64716258E+02          1.61086911E+03          4.01947875E+02
      44000.0000          1.82231550E+03          7.75473314E+02          1.64359123E+03          4.08711905E+02
      45000.0000          1.85688393E+03          7.86130158E+02          1.67613392E+03          4.15420121E+02
      46000.0000          1.89124978E+03          7.96689163E+02          1.70849857E+03          4.22073639E+02
      47000.0000          1.92541515E+03          8.07152586E+02          1.74068658E+03          4.28673528E+02
      48000.0000          1.95938210E+03          8.17522582E+02          1.77269933E+03          4.35220813E+02
      49000.0000          1.99315262E+03          8.27801210E+02          1.80453816E+03          4.41716476E+02
      50000.0000          2.02672867E+03          8.37990439E+02          1.83620441E+03          4.48161461E+02
      67418.9990          2.58220600E+03          1.00280853E+03          2.36141860E+03          5.53115893E+02
      67419.0010          2.58220606E+03          1.00280855E+03          2.36141866E+03          5.53115904E+02
