#Energy      Cr  Total
       3800.0000          2.91402509E+01          2.91402509E+01
       3900.0000          2.97412588E+01          2.97412588E+01
       4000.0000          3.03403862E+01          3.03403862E+01
       4100.0000          3.09376871E+01          3.09376871E+01
       4200.0000          3.15332123E+01          3.15332123E+01
       4300.0000          3.21270102E+01          3.21270102E+01
       4400.0000          3.27191267E+01          3.27191267E+01
       4500.0000          3.33096053E+01          3.33096053E+01
       4600.0000          3.38984873E+01          3.38984873E+01
       4700.0000          3.44858122E+01          3.44858122E+01
       4800.0000          3.50716175E+01          3.50716175E+01
       4900.0000          3.56559390E+01          3.56559390E+01
       5000.0000          3.62388107E+01          3.62388107E+01
       5100.0000          3.68202653E+01          3.68202653E+01
       5200.0000          3.74003339E+01          3.74003339E+01
       5300.0000          3.79790462E+01          3.79790462E+01
       5400.0000          3.85564309E+01          3.85564309E+01
       5500.0000          3.91325152E+01          3.91325152E+01
       5600.0000          3.97073252E+01          3.97073252E+01
       5700.0000          4.02808862E+01          4.02808862E+01
       5800.0000          4.08532221E+01          4.08532221E+01
       5900.0000          4.14243561E+01          4.14243561E+01
       5994.9990          4.19658348E+01          4.19658348E+01
       5995.0010          4.19658462E+01          4.19658462E+01
       6000.0000          4.19943106E+01          4.19943106E+01
       6100.0000          4.25631068E+01          4.25631068E+01
       6200.0000          4.31307654E+01          4.31307654E+01
       6300.0000          4.36973061E+01          4.36973061E+01
       6400.0000          4.42627482E+01          4.42627482E+01
       6500.0000          4.48271099E+01          4.48271099E+01
       6600.0000          4.53904091E+01          4.53904091E+01
       6700.0000          4.59526629E+01          4.59526629E+01
       6800.0000          4.65138878E+01          4.65138878E+01
       6900.0000          4.70740998E+01          4.70740998E+01
       7000.0000          4.76333143E+01          4.76333143E+01
       7100.0000          4.81915463E+01          4.81915463E+01
       7200.0000          4.87488102E+01          4.87488102E+01
       7300.0000          4.93051199E+01          4.93051199E+01
       7400.0000          4.98604890E+01          4.98604890E+01
       7500.0000          5.04149306E+01          5.04149306E+01
       7600.0000          5.09684575E+01          5.09684575E+01
       7700.0000          5.15210818E+01          5.15210818E+01
       7800.0000          5.20728155E+01          5.20728155E+01
       7900.0000          5.26236702E+01          5.26236702E+01
       8000.0000          5.31736572E+01          5.31736572E+01
       8100.0000          5.37227873E+01          5.37227873E+01
       8200.0000          5.42710712E+01          5.42710712E+01
       8300.0000          5.48185190E+01          5.48185190E+01
       8400.0000          5.53651409E+01          5.53651409E+01
       8500.0000          5.59109466E+01          5.59109466E+01
       8600.0000          5.64559455E+01          5.64559455E+01
       8700.0000          5.70001468E+01          5.70001468E+01
       8800.0000          5.75435594E+01          5.75435594E+01
       8900.0000          5.80861921E+01          5.80861921E+01
       9000.0000          5.86280534E+01          5.86280534E+01
       9100.0000          5.91691516E+01          5.91691516E+01
       9200.0000          5.97094946E+01          5.97094946E+01
       9300.0000          6.02490903E+01          6.02490903E+01
       9400.0000          6.07879465E+01          6.07879465E+01
       9500.0000          6.13260705E+01          6.13260705E+01
       9600.0000          6.18634696E+01          6.18634696E+01
       9700.0000          6.24001510E+01          6.24001510E+01
       9800.0000          6.29361215E+01          6.29361215E+01
       9900.0000          6.34713880E+01          6.34713880E+01
      10000.0000          6.40059570E+01          6.40059570E+01
      11000.0000          6.93146368E+01          6.93146368E+01
      12000.0000          7.45598354E+01          7.45598354E+01
      13000.0000          7.97461929E+01          7.97461929E+01
      14000.0000          8.48775308E+01          8.48775308E+01
      15000.0000          8.99570479E+01          8.99570479E+01
      16000.0000          9.49874599E+01          9.49874599E+01
      17000.0000          9.99711008E+01          9.99711008E+01
      18000.0000          1.04909999E+02          1.04909999E+02
      19000.0000          1.09805934E+02          1.09805934E+02
      20000.0000          1.14660482E+02          1.14660482E+02
      21000.0000          1.19475046E+02          1.19475046E+02
      22000.0000          1.24250891E+02          1.24250891E+02
      23000.0000          1.28989158E+02          1.28989158E+02
      24000.0000          1.33690886E+02          1.33690886E+02
      25000.0000          1.38357024E+02          1.38357024E+02
      26000.0000          1.42988446E+02          1.42988446E+02
      27000.0000          1.47585958E+02          1.47585958E+02
      28000.0000          1.52150307E+02          1.52150307E+02
      29000.0000          1.56682191E+02          1.56682191E+02
      30000.0000          1.61182259E+02          1.61182259E+02
      31000.0000          1.65651122E+02          1.65651122E+02
      32000.0000          1.70089352E+02          1.70089352E+02
      33000.0000          1.74497490E+02          1.74497490E+02
      34000.0000          1.78876050E+02          1.78876050E+02
      35000.0000          1.83225514E+02          1.83225514E+02
      36000.0000          1.87546346E+02          1.87546346E+02
      37000.0000          1.91838983E+02          1.91838983E+02
      38000.0000          1.96103846E+02          1.96103846E+02
      39000.0000          2.00341334E+02          2.00341334E+02
      40000.0000          2.04551834E+02          2.04551834E+02
      41000.0000          2.08735713E+02          2.08735713E+02
      42000.0000          2.12893326E+02          2.12893326E+02
      43000.0000          2.17025015E+02          2.17025015E+02
      44000.0000          2.21131109E+02          2.21131109E+02
      45000.0000          2.25211925E+02          2.25211925E+02
      46000.0000          2.29267771E+02          2.29267771E+02
      47000.0000          2.33298945E+02          2.33298945E+02
      48000.0000          2.37305735E+02          2.37305735E+02
      49000.0000          2.41288420E+02          2.41288420E+02
      50000.0000          2.45247272E+02          2.45247272E+02
