#Energy      Al   As  Total
        590.0000          3.75608668E+01          3.76719201E+01          1.88081558E+01
        600.0000          3.80533322E+01          3.78584316E+01          1.89778159E+01
        610.0000          3.85453410E+01          3.80469928E+01          1.91472728E+01
        620.0000          3.90368977E+01          3.82374748E+01          1.93165256E+01
        630.0000          3.95280067E+01          3.84297576E+01          1.94855731E+01
        640.0000          4.00186727E+01          3.86237291E+01          1.96544147E+01
        650.0000          4.05089003E+01          3.88192848E+01          1.98230495E+01
        660.0000          4.09986941E+01          3.90163270E+01          1.99914770E+01
        670.0000          4.14880589E+01          3.92147643E+01          2.01596968E+01
        680.0000          4.19769993E+01          3.94145111E+01          2.03277086E+01
        690.0000          4.24655200E+01          3.96154874E+01          2.04955120E+01
        700.0000          4.29536258E+01          3.98176180E+01          2.06631070E+01
        710.0000          4.34413213E+01          4.00208326E+01          2.08304934E+01
        720.0000          4.39286111E+01          4.02250650E+01          2.09976714E+01
        730.0000          4.44154998E+01          4.04302529E+01          2.11646409E+01
        740.0000          4.49019920E+01          4.06363381E+01          2.13314023E+01
        750.0000          4.53880923E+01          4.08432656E+01          2.14979556E+01
        760.0000          4.58738051E+01          4.10509835E+01          2.16643014E+01
        770.0000          4.63591348E+01          4.12594433E+01          2.18304398E+01
        780.0000          4.68440859E+01          4.14685990E+01          2.19963714E+01
        790.0000          4.73286627E+01          4.16784072E+01          2.21620965E+01
        800.0000          4.78128694E+01          4.18888271E+01          2.23276159E+01
        810.0000          4.82967104E+01          4.20998202E+01          2.24929299E+01
        820.0000          4.87801897E+01          4.23113501E+01          2.26580392E+01
        830.0000          4.92633114E+01          4.25233822E+01          2.28229446E+01
        840.0000          4.97460797E+01          4.27358840E+01          2.29876465E+01
        850.0000          5.02284986E+01          4.29488249E+01          2.31521459E+01
        860.0000          5.07105719E+01          4.31621755E+01          2.33164434E+01
        870.0000          5.11923035E+01          4.33759084E+01          2.34805399E+01
        880.0000          5.16736974E+01          4.35899975E+01          2.36444360E+01
        890.0000          5.21547571E+01          4.38044179E+01          2.38081327E+01
        900.0000          5.26354865E+01          4.40191462E+01          2.39716309E+01
        910.0000          5.31158891E+01          4.42341602E+01          2.41349313E+01
        920.0000          5.35959686E+01          4.44494388E+01          2.42980349E+01
        930.0000          5.40757285E+01          4.46649620E+01          2.44609426E+01
        940.0000          5.45551723E+01          4.48807107E+01          2.46236553E+01
        950.0000          5.50343033E+01          4.50966669E+01          2.47861739E+01
        960.0000          5.55131250E+01          4.53128135E+01          2.49484995E+01
        970.0000          5.59916406E+01          4.55291341E+01          2.51106330E+01
        980.0000          5.64698534E+01          4.57456134E+01          2.52725753E+01
        990.0000          5.69477667E+01          4.59622366E+01          2.54343275E+01
       1000.0000          5.74253834E+01          4.61789896E+01          2.55958905E+01
       1100.0000          6.21859031E+01          4.83510330E+01          2.72013388E+01
       1200.0000          6.69198827E+01          5.05248071E+01          2.87889914E+01
       1300.0000          7.16297325E+01          5.26938629E+01          3.03598628E+01
       1326.9990          7.28974821E+01          5.32781165E+01          3.07812334E+01
       1327.0010          7.28975760E+01          5.32781597E+01          3.07812645E+01
       1361.9990          7.45385893E+01          5.40344600E+01          3.13257906E+01
       1362.0010          7.45386830E+01          5.40345032E+01          3.13258217E+01
       1400.0000          7.63175092E+01          5.48541992E+01          3.19149297E+01
       1500.0000          8.09849785E+01          5.70033490E+01          3.34551123E+01
