#Energy      Ni  Total
      28000.0000          1.18031670E+02          1.18031670E+02
      29000.0000          1.21447912E+02          1.21447912E+02
      30000.0000          1.24838612E+02          1.24838612E+02
      31000.0000          1.28204326E+02          1.28204326E+02
      32000.0000          1.31545578E+02          1.31545578E+02
      33000.0000          1.34862859E+02          1.34862859E+02
      34000.0000          1.38156631E+02          1.38156631E+02
      35000.0000          1.41427331E+02          1.41427331E+02
      36000.0000          1.44675371E+02          1.44675371E+02
      37000.0000          1.47901146E+02          1.47901146E+02
      38000.0000          1.51105027E+02          1.51105027E+02
      39000.0000          1.54287371E+02          1.54287371E+02
      40000.0000          1.57448516E+02          1.57448516E+02
      41000.0000          1.60588788E+02          1.60588788E+02
      42000.0000          1.63708496E+02          1.63708496E+02
      43000.0000          1.66807940E+02          1.66807940E+02
      44000.0000          1.69887405E+02          1.69887405E+02
      45000.0000          1.72947167E+02          1.72947167E+02
      46000.0000          1.75987493E+02          1.75987493E+02
      47000.0000          1.79008638E+02          1.79008638E+02
      48000.0000          1.82010850E+02          1.82010850E+02
      49000.0000          1.84994367E+02          1.84994367E+02
      50000.0000          1.87959422E+02          1.87959422E+02
