#Energy      Au   C  Total
        890.0000          5.45999323E+01          3.47216323E+01          2.12244242E+01
        900.0000          5.43996093E+01          3.50891120E+01          2.13304420E+01
        910.0000          5.42058475E+01          3.54565044E+01          2.14354166E+01
        920.0000          5.40184246E+01          3.58238106E+01          2.15393774E+01
        930.0000          5.38371278E+01          3.61910315E+01          2.16423528E+01
        940.0000          5.36617537E+01          3.65581680E+01          2.17443706E+01
        950.0000          5.34921075E+01          3.69252212E+01          2.18454574E+01
        960.0000          5.33280024E+01          3.72921918E+01          2.19456393E+01
        970.0000          5.31692596E+01          3.76590807E+01          2.20449414E+01
        980.0000          5.30157077E+01          3.80258889E+01          2.21433881E+01
        990.0000          5.28671823E+01          3.83926171E+01          2.22410032E+01
       1000.0000          5.27235256E+01          3.87592662E+01          2.23378094E+01
       1100.0000          5.15241888E+01          4.24215730E+01          2.32659472E+01
       1200.0000          5.06770486E+01          4.60767470E+01          2.41337669E+01
       1300.0000          5.00964284E+01          4.97253679E+01          2.49551042E+01
       1400.0000          4.97215547E+01          5.33679134E+01          2.57401234E+01
       1500.0000          4.95081921E+01          5.70047827E+01          2.64963375E+01
       1600.0000          4.94234281E+01          6.06363136E+01          2.72293433E+01
       1700.0000          4.94423073E+01          6.42627945E+01          2.79433445E+01
       1800.0000          4.95455934E+01          6.78844745E+01          2.86415280E+01
       1900.0000          4.97182435E+01          7.15015700E+01          2.93263318E+01
       2000.0000          4.99483423E+01          7.51142709E+01          2.99996395E+01
       2100.0000          5.02263447E+01          7.87227447E+01          3.06629208E+01
       2200.0000          5.05445261E+01          8.23271402E+01          3.13173335E+01
       2209.9990          5.05782973E+01          8.26873246E+01          3.13823177E+01
       2210.0010          5.05783041E+01          8.26873966E+01          3.13823307E+01
       2294.9990          5.08782513E+01          8.57476233E+01          3.19316465E+01
       2295.0010          5.08782586E+01          8.57476953E+01          3.19316593E+01
       2300.0000          5.08965779E+01          8.59275900E+01          3.19637995E+01
       2400.0000          5.12773052E+01          8.95242134E+01          3.26030604E+01
       2500.0000          5.16823986E+01          9.31171178E+01          3.32357187E+01
       2600.0000          5.21082584E+01          9.67064004E+01          3.38622697E+01
       2700.0000          5.25518594E+01          1.00292150E+02          3.44831242E+01
       2747.9990          5.27703186E+01          1.02012042E+02          3.47792084E+01
       2748.0010          5.27703278E+01          1.02012114E+02          3.47792207E+01
       2800.0000          5.30106446E+01          1.03874446E+02          3.50986274E+01
