#Energy      Ca-K-shell   Ca-L1-shell   Ca-L2-shell   Ca-L3-shell   Ca-M1-shell   Ca-M2-shell   Ca-M3-shell   Valence  Total
         61.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.57090888E+03          3.32636180E+02          1.66318090E+02          6.44291762E+00          6.07872843E+00
         62.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.25209733E+03          3.21457993E+02          1.60728997E+02          6.49328051E+00          6.11077618E+00
         63.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.97996819E+03          3.11065585E+02          1.55532792E+02          6.54403240E+00          6.14285246E+00
         64.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.74543490E+03          3.01384859E+02          1.50692429E+02          6.59514292E+00          6.17493487E+00
         65.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.54162611E+03          2.92352301E+02          1.46176151E+02          6.64658421E+00          6.20700634E+00
         66.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.36319834E+03          2.83910640E+02          1.41955320E+02          6.69833068E+00          6.23905093E+00
         67.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.20594791E+03          2.76009274E+02          1.38004637E+02          6.75035878E+00          6.27105530E+00
         68.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.06650179E+03          2.68603395E+02          1.34301698E+02          6.80264683E+00          6.30300840E+00
         69.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.94215368E+03          2.61653063E+02          1.30826532E+02          6.85517485E+00          6.33490129E+00
         70.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.83072114E+03          2.55122208E+02          1.27561104E+02          6.90792436E+00          6.36672648E+00
         71.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.73040684E+03          2.48978567E+02          1.24489283E+02          6.96087833E+00          6.39847828E+00
         72.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.63970076E+03          2.43192854E+02          1.21596427E+02          7.01402095E+00          6.43015158E+00
         73.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.55737720E+03          2.37739151E+02          1.18869576E+02          7.06733762E+00          6.46174421E+00
         74.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.48237930E+03          2.32593605E+02          1.16296802E+02          7.12081480E+00          6.49325387E+00
         75.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.41383607E+03          2.27734292E+02          1.13867146E+02          7.17443991E+00          6.52467899E+00
         76.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.35098265E+03          2.23141771E+02          1.11570886E+02          7.22820127E+00          6.55601964E+00
         77.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.29318844E+03          2.18798066E+02          1.09399033E+02          7.28208805E+00          6.58727656E+00
         78.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.23989755E+03          2.14686771E+02          1.07343386E+02          7.33609013E+00          6.61845091E+00
         79.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.19063615E+03          2.10792813E+02          1.05396407E+02          7.39019813E+00          6.64954450E+00
         80.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.14499098E+03          2.07102320E+02          1.03551160E+02          7.44440329E+00          6.68055940E+00
         81.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.10260291E+03          2.03602614E+02          1.01801307E+02          7.49869744E+00          6.71149842E+00
         82.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.06315588E+03          2.00282092E+02          1.00141046E+02          7.55307296E+00          6.74236488E+00
         83.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.02637451E+03          1.97129807E+02          9.85649033E+01          7.60752273E+00          6.77316168E+00
         84.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.92012629E+02          1.94135774E+02          9.70678868E+01          7.66204011E+00          6.80389224E+00
         85.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.59855616E+02          1.91290716E+02          9.56453581E+01          7.71661889E+00          6.83456018E+00
         86.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.29713889E+02          1.88586049E+02          9.42930244E+01          7.77125324E+00          6.86516933E+00
         87.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.01416347E+02          1.86013759E+02          9.30068793E+01          7.82593772E+00          6.89572333E+00
         88.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.74809846E+02          1.83566560E+02          9.17832800E+01          7.88066724E+00          6.92622654E+00
         89.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.49757775E+02          1.81237325E+02          9.06186624E+01          7.93543702E+00          6.95668184E+00
         90.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.26140899E+02          1.79019709E+02          8.95098545E+01          7.99024258E+00          6.98709364E+00
         91.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.03846559E+02          1.76907650E+02          8.84538250E+01          8.04507972E+00          7.01746530E+00
         92.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.82774864E+02          1.74895568E+02          8.74477842E+01          8.09994449E+00          7.04780064E+00
         93.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.62838214E+02          1.72978165E+02          8.64890826E+01          8.15483320E+00          7.07810319E+00
         94.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.43957190E+02          1.71150502E+02          8.55752509E+01          8.20974237E+00          7.10837656E+00
         95.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.26051010E+02          1.69408004E+02          8.47040022E+01          8.26466873E+00          7.13862367E+00
