#Energy      Zn   S  Total
        950.0000          3.90966828E+01          4.32625334E+01          2.05371253E+01
        960.0000          3.93060978E+01          4.36127744E+01          2.06737975E+01
        970.0000          3.95155176E+01          4.39627380E+01          2.08103336E+01
        980.0000          3.97249336E+01          4.43124267E+01          2.09467337E+01
        990.0000          3.99343373E+01          4.46618429E+01          2.10829980E+01
       1000.0000          4.01437211E+01          4.50109889E+01          2.12191268E+01
       1023.9990          4.06460963E+01          4.58478167E+01          2.15452707E+01
       1024.0010          4.06461382E+01          4.58478864E+01          2.15452979E+01
       1046.9990          4.11273258E+01          4.66483930E+01          2.18571113E+01
       1047.0010          4.11273676E+01          4.66484625E+01          2.18571384E+01
       1100.0000          4.22350138E+01          4.84881064E+01          2.25730314E+01
       1197.9990          4.42766483E+01          5.18718321E+01          2.38871260E+01
       1198.0010          4.42766899E+01          5.18719009E+01          2.38871527E+01
       1200.0000          4.43182304E+01          5.19406913E+01          2.39138304E+01
       1300.0000          4.63901212E+01          5.53707640E+01          2.52420805E+01
       1400.0000          4.84488755E+01          5.87801120E+01          2.65583999E+01
       1500.0000          5.04935598E+01          6.21703103E+01          2.78634160E+01
       1600.0000          5.25237842E+01          6.55427476E+01          2.91577391E+01
       1700.0000          5.45394978E+01          6.88986505E+01          3.04419488E+01
       1800.0000          5.65408613E+01          7.22391064E+01          3.17165889E+01
       1900.0000          5.85281657E+01          7.55650823E+01          3.29821652E+01
       2000.0000          6.05017797E+01          7.88774420E+01          3.42391467E+01
       2100.0000          6.24621152E+01          8.21769598E+01          3.54879671E+01
       2200.0000          6.44096050E+01          8.54643323E+01          3.67290270E+01
       2300.0000          6.63446883E+01          8.87401887E+01          3.79626968E+01
       2400.0000          6.82678005E+01          9.20050994E+01          3.91893188E+01
       2475.9990          6.97216030E+01          9.44793993E+01          4.01170217E+01
       2476.0010          6.97216412E+01          9.44794643E+01          4.01170460E+01
       2500.0000          7.01793676E+01          9.52595829E+01          4.04092100E+01
       2600.0000          7.20798023E+01          9.85041125E+01          4.16226639E+01
       2700.0000          7.39695014E+01          1.01739121E+02          4.28299531E+01
       2800.0000          7.58488451E+01          1.04965005E+02          4.40313307E+01
       2900.0000          7.77181961E+01          1.08182132E+02          4.52270323E+01
       3000.0000          7.95778999E+01          1.11390837E+02          4.64172776E+01
       3100.0000          8.14282850E+01          1.14591432E+02          4.76022715E+01
       3200.0000          8.32696633E+01          1.17784207E+02          4.87822058E+01
       3300.0000          8.51023313E+01          1.20969430E+02          4.99572598E+01
       3400.0000          8.69265700E+01          1.24147351E+02          5.11276019E+01
       3500.0000          8.87426464E+01          1.27318203E+02          5.22933901E+01
       3600.0000          9.05508140E+01          1.30482203E+02          5.34547728E+01
       3700.0000          9.23513132E+01          1.33639556E+02          5.46118900E+01
       3800.0000          9.41443728E+01          1.36790452E+02          5.57648735E+01
       3900.0000          9.59302099E+01          1.39935070E+02          5.69138478E+01
       4000.0000          9.77090313E+01          1.43073580E+02          5.80589305E+01
       4100.0000          9.94810333E+01          1.46206140E+02          5.92002329E+01
       4200.0000          1.01246403E+02          1.49332900E+02          6.03378605E+01
       4300.0000          1.03005320E+02          1.52454003E+02          6.14719131E+01
       4400.0000          1.04757952E+02          1.55569581E+02          6.26024858E+01
       4500.0000          1.06504463E+02          1.58679762E+02          6.37296687E+01
       4600.0000          1.08245007E+02          1.61784665E+02          6.48535475E+01
       4700.0000          1.09979731E+02          1.64884406E+02          6.59742040E+01
       4800.0000          1.11708779E+02          1.67979091E+02          6.70917159E+01
       4900.0000          1.13432283E+02          1.71068826E+02          6.82061576E+01
       5000.0000          1.15150374E+02          1.74153706E+02          6.93175998E+01
       5100.0000          1.16863176E+02          1.77233827E+02          7.04261103E+01
       5200.0000          1.18570808E+02          1.80309278E+02          7.15317538E+01
       5300.0000          1.20273382E+02          1.83380143E+02          7.26345923E+01
       5400.0000          1.21971009E+02          1.86446504E+02          7.37346851E+01
       5500.0000          1.23663793E+02          1.89508440E+02          7.48320891E+01
       5600.0000          1.25351835E+02          1.92566023E+02          7.59268588E+01
       5700.0000          1.27035231E+02          1.95619327E+02          7.70190466E+01
       5800.0000          1.28714076E+02          1.98668419E+02          7.81087027E+01
       5900.0000          1.30388457E+02          2.01713365E+02          7.91958754E+01
       6000.0000          1.32058463E+02          2.04754229E+02          8.02806111E+01
       6100.0000          1.33724175E+02          2.07791070E+02          8.13629547E+01
       6200.0000          1.35385673E+02          2.10823948E+02          8.24429490E+01
       6300.0000          1.37043036E+02          2.13852917E+02          8.35206356E+01
       6400.0000          1.38696337E+02          2.16878033E+02          8.45960544E+01
       6500.0000          1.40345648E+02          2.19899347E+02          8.56692439E+01
       6600.0000          1.41991039E+02          2.22916909E+02          8.67402412E+01
       6700.0000          1.43632576E+02          2.25930767E+02          8.78090824E+01
       6800.0000          1.45270325E+02          2.28940968E+02          8.88758020E+01
       6900.0000          1.46904347E+02          2.31947558E+02          8.99404335E+01
       7000.0000          1.48534705E+02          2.34950578E+02          9.10030094E+01
       7100.0000          1.50161456E+02          2.37950073E+02          9.20635609E+01
       7200.0000          1.51784657E+02          2.40946081E+02          9.31221183E+01
       7300.0000          1.53404363E+02          2.43938643E+02          9.41787110E+01
       7400.0000          1.55020627E+02          2.46927797E+02          9.52333674E+01
       7500.0000          1.56633502E+02          2.49913579E+02          9.62861151E+01
       7600.0000          1.58243036E+02          2.52896024E+02          9.73369806E+01
       7700.0000          1.59849280E+02          2.55875169E+02          9.83859900E+01
       7800.0000          1.61452279E+02          2.58851045E+02          9.94331684E+01
       7900.0000          1.63052080E+02          2.61823686E+02          1.00478540E+02
       8000.0000          1.64648728E+02          2.64793123E+02          1.01522129E+02
       8100.0000          1.66242264E+02          2.67759386E+02          1.02563957E+02
       8200.0000          1.67832732E+02          2.70722507E+02          1.03604048E+02
       8300.0000          1.69420172E+02          2.73682513E+02          1.04642422E+02
       8400.0000          1.71004623E+02          2.76639432E+02          1.05679102E+02
       8500.0000          1.72586125E+02          2.79593292E+02          1.06714107E+02
       8600.0000          1.74164715E+02          2.82544120E+02          1.07747458E+02
       8700.0000          1.75740429E+02          2.85491940E+02          1.08779174E+02
       8800.0000          1.77313303E+02          2.88436780E+02          1.09809273E+02
       8900.0000          1.78883371E+02          2.91378662E+02          1.10837775E+02
       9000.0000          1.80450668E+02          2.94317611E+02          1.11864697E+02
       9100.0000          1.82015226E+02          2.97253650E+02          1.12890056E+02
       9200.0000          1.83577077E+02          3.00186802E+02          1.13913870E+02
       9300.0000          1.85136252E+02          3.03117088E+02          1.14936155E+02
       9400.0000          1.86692783E+02          3.06044531E+02          1.15956928E+02
       9500.0000          1.88246698E+02          3.08969151E+02          1.16976204E+02
       9600.0000          1.89798026E+02          3.11890969E+02          1.17993998E+02
       9662.9990          1.90774032E+02          3.13730256E+02          1.18634445E+02
       9663.0010          1.90774063E+02          3.13730314E+02          1.18634465E+02
       9700.0000          1.91346797E+02          3.14810005E+02          1.19010326E+02
       9800.0000          1.92893037E+02          3.17726279E+02          1.20025202E+02
       9900.0000          1.94436773E+02          3.20639809E+02          1.21038641E+02
      10000.0000          1.95978032E+02          3.23550614E+02          1.22050657E+02
      11000.0000          2.11259760E+02          3.52512607E+02          1.32095387E+02
      12000.0000          2.26318755E+02          3.81219842E+02          1.42011060E+02
      13000.0000          2.41173535E+02          4.09685529E+02          1.51807530E+02
      14000.0000          2.55839341E+02          4.37920632E+02          1.61492923E+02
      15000.0000          2.70328918E+02          4.65934408E+02          1.71074044E+02
      16000.0000          2.84653064E+02          4.93734796E+02          1.80556673E+02
      17000.0000          2.98821038E+02          5.21328693E+02          1.89945781E+02
      18000.0000          3.12840861E+02          5.48722160E+02          1.99245684E+02
      19000.0000          3.26719551E+02          5.75920582E+02          2.08460168E+02
      20000.0000          3.40463292E+02          6.02928785E+02          2.17592583E+02
      21000.0000          3.54077584E+02          6.29751131E+02          2.26645915E+02
      22000.0000          3.67567343E+02          6.56391594E+02          2.35622842E+02
      23000.0000          3.80936999E+02          6.82853816E+02          2.44525784E+02
      24000.0000          3.94190559E+02          7.09141155E+02          2.53356941E+02
      25000.0000          4.07331671E+02          7.35256728E+02          2.62118320E+02
      26000.0000          4.20363673E+02          7.61203439E+02          2.70811764E+02
      27000.0000          4.33289630E+02          7.86984008E+02          2.79438971E+02
      28000.0000          4.46112368E+02          8.12600993E+02          2.88001514E+02
      29000.0000          4.58834506E+02          8.38056807E+02          2.96500854E+02
      30000.0000          4.71458478E+02          8.63353737E+02          3.04938353E+02
      31000.0000          4.83986550E+02          8.88493956E+02          3.13315288E+02
      32000.0000          4.96420846E+02          9.13479534E+02          3.21632854E+02
      33000.0000          5.08763354E+02          9.38312450E+02          3.29892178E+02
      34000.0000          5.21015947E+02          9.62994599E+02          3.38094325E+02
      35000.0000          5.33180391E+02          9.87527802E+02          3.46240299E+02
      36000.0000          5.45258353E+02          1.01191381E+03          3.54331056E+02
      37000.0000          5.57251414E+02          1.03615431E+03          3.62367503E+02
      38000.0000          5.69161075E+02          1.06025092E+03          3.70350504E+02
      39000.0000          5.80988764E+02          1.08420524E+03          3.78280885E+02
      40000.0000          5.92735840E+02          1.10801878E+03          3.86159435E+02
      41000.0000          6.04403604E+02          1.13169303E+03          3.93986908E+02
      42000.0000          6.15993298E+02          1.15522941E+03          4.01764031E+02
      43000.0000          6.27506112E+02          1.17862935E+03          4.09491500E+02
      44000.0000          6.38943188E+02          1.20189418E+03          4.17169986E+02
      45000.0000          6.50305623E+02          1.22502525E+03          4.24800136E+02
      46000.0000          6.61594473E+02          1.24802385E+03          4.32382572E+02
      47000.0000          6.72810754E+02          1.27089124E+03          4.39917897E+02
      48000.0000          6.83955446E+02          1.29362866E+03          4.47406694E+02
      49000.0000          6.95029497E+02          1.31623731E+03          4.54849527E+02
      50000.0000          7.06033822E+02          1.33871838E+03          4.62246943E+02
