#Energy      Li-K-shell   Cl-K-shell   Cl-L1-shell   Cl-L2-shell   Cl-L3-shell   Valence  Total
        160.0000          2.65674802E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.11775445E+00          6.93203667E+00
        170.0000          2.47618416E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.36659513E+00          7.15377194E+00
        180.0000          2.33980051E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.61761532E+00          7.37743062E+00
        190.0000          2.23580746E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.87007142E+00          7.60246371E+00
        200.0000          2.15607094E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.12341894E+00          7.82846617E+00
        205.9990          2.11741247E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.27565749E+00          7.96437910E+00
        206.0010          2.11740058E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.29426239E+10          8.27570826E+00          7.96442445E+00
        207.9990          2.10582932E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.08342508E+06          8.32643855E+00          8.00970328E+00
        208.0010          2.10581805E+02          1.00000000E+30          1.00000000E+30          1.08887683E+11          2.08016787E+06          8.32648934E+00          8.00974859E+00
        210.0000          2.09484045E+02          1.00000000E+30          1.00000000E+30          4.30431902E+06          7.34852400E+05          8.37725435E+00          8.05502681E+00
        220.0000          2.04796489E+02          1.00000000E+30          1.00000000E+30          2.86131779E+05          1.09275447E+05          8.62547308E+00          8.27600734E+00
        230.0000          2.01239146E+02          1.00000000E+30          1.00000000E+30          1.12586569E+05          4.76128146E+04          8.88242449E+00          8.50477749E+00
        240.0000          1.98583689E+02          1.00000000E+30          1.00000000E+30          6.30769904E+04          2.77842860E+04          9.13786024E+00          8.73192263E+00
        250.0000          1.96656743E+02          1.00000000E+30          1.00000000E+30          4.14460545E+04          1.86671228E+04          9.39186413E+00          8.95753666E+00
        260.0000          1.95324860E+02          1.00000000E+30          1.00000000E+30          2.98550225E+04          1.36373816E+04          9.64451454E+00          9.18169254E+00
        270.0000          1.94483914E+02          1.00000000E+30          1.00000000E+30          2.28381685E+04          1.05348207E+04          9.89588430E+00          9.40445055E+00
        276.9990          1.94142677E+02          1.00000000E+30          1.00000000E+30          1.94325337E+04          9.01129987E+03          1.00700733E+01          9.55863697E+00
        277.0010          1.94142605E+02          1.00000000E+30          2.50459715E+11          1.94316564E+04          9.01092389E+03          1.00701273E+01          9.55868487E+00
        280.0000          1.94051734E+02          1.00000000E+30          6.21217520E+06          1.82294356E+04          8.47012068E+03          1.01460410E+01          9.62584759E+00
        290.0000          1.93962760E+02          1.00000000E+30          6.75523453E+05          1.50200376E+04          7.01820776E+03          1.03999570E+01          9.85023531E+00
        300.0000          1.94164157E+02          1.00000000E+30          2.81228381E+05          1.26842175E+04          5.95348704E+03          1.06477079E+01          1.00687119E+01
        310.0000          1.94612935E+02          1.00000000E+30          1.60884484E+05          1.09245834E+04          5.14658182E+03          1.08990765E+01          1.02900399E+01
        320.0000          1.95273825E+02          1.00000000E+30          1.06729844E+05          9.56182986E+03          4.51863107E+03          1.11492102E+01          1.05098625E+01
        330.0000          1.96117650E+02          1.00000000E+30          7.72027005E+04          8.48231639E+03          4.01920851E+03          1.13981628E+01          1.07282246E+01
        340.0000          1.97120094E+02          1.00000000E+30          5.91226708E+04          7.61098961E+03          3.61473383E+03          1.16459846E+01          1.09451697E+01
        350.0000          1.98260754E+02          1.00000000E+30          4.71542588E+04          6.89640880E+03          3.28208814E+03          1.18927230E+01          1.11607405E+01
        360.0000          1.99522408E+02          1.00000000E+30          3.87690769E+04          6.30243122E+03          3.00491262E+03          1.21384223E+01          1.13749792E+01
        370.0000          2.00890413E+02          1.00000000E+30          3.26397199E+04          5.80292802E+03          2.77134063E+03          1.23831243E+01          1.15879282E+01
        380.0000          2.02352268E+02          1.00000000E+30          2.80063131E+04          5.37861747E+03          2.57258661E+03          1.26309282E+01          1.18031754E+01
        390.0000          2.03897229E+02          1.00000000E+30          2.44077361E+04          5.01500501E+03          2.40200197E+03          1.28736617E+01          1.20135849E+01
        400.0000          2.05516037E+02          1.00000000E+30          2.15502354E+04          4.70098922E+03          2.25449618E+03          1.31155097E+01          1.22228335E+01
        410.0000          2.07200653E+02          1.00000000E+30          1.92384357E+04          4.42795384E+03          2.12609342E+03          1.33603514E+01          1.24342950E+01
        420.0000          2.08944081E+02          1.00000000E+30          1.73386035E+04          4.18910852E+03          2.01366132E+03          1.36004383E+01          1.26412648E+01
        430.0000          2.10740208E+02          1.00000000E+30          1.57558212E+04          3.97904682E+03          1.91469781E+03          1.38434563E+01          1.28504089E+01
        440.0000          2.12583665E+02          1.00000000E+30          1.44217726E+04          3.79339682E+03          1.82717277E+03          1.40855872E+01          1.30584385E+01
        450.0000          2.14469730E+02          1.00000000E+30          1.32857438E+04          3.62861381E+03          1.74943755E+03          1.43268583E+01          1.32653961E+01
        460.0000          2.16394228E+02          1.00000000E+30          1.23094754E+04          3.48177096E+03          1.68013052E+03          1.45636886E+01          1.34682386E+01
        470.0000          2.18353451E+02          1.00000000E+30          1.14638369E+04          3.35045246E+03          1.61812407E+03          1.48033558E+01          1.36732169E+01
        480.0000          2.20344113E+02          1.00000000E+30          1.07261016E+04          3.23263771E+03          1.56247239E+03          1.50422377E+01          1.38772448E+01
        490.0000          2.22363278E+02          1.00000000E+30          1.00783672E+04          3.12662383E+03          1.51238089E+03          1.52803565E+01          1.40803603E+01
        500.0000          2.24408322E+02          1.00000000E+30          9.50640899E+03          3.03097284E+03          1.46717549E+03          1.55177339E+01          1.42826002E+01
        510.0000          2.26476894E+02          1.00000000E+30          8.99874054E+03          2.94445942E+03          1.42628160E+03          1.57543904E+01          1.44839997E+01
        520.0000          2.28566878E+02          1.00000000E+30          8.54601157E+03          2.86603468E+03          1.38920698E+03          1.59903455E+01          1.46845928E+01
        530.0000          2.30676376E+02          1.00000000E+30          8.14057261E+03          2.79479748E+03          1.35552789E+03          1.62256181E+01          1.48844119E+01
        540.0000          2.32803668E+02          1.00000000E+30          7.77606749E+03          2.72996649E+03          1.32487723E+03          1.64602261E+01          1.50834879E+01
        550.0000          2.34947198E+02          1.00000000E+30          7.44719451E+03          2.67086583E+03          1.29693624E+03          1.66941868E+01          1.52818500E+01
        560.0000          2.37105564E+02          1.00000000E+30          7.14952181E+03          2.61690507E+03          1.27142812E+03          1.69307265E+01          1.54822107E+01
        570.0000          2.39277483E+02          1.00000000E+30          6.87927733E+03          2.56756852E+03          1.24810897E+03          1.71634018E+01          1.56791897E+01
        580.0000          2.41461793E+02          1.00000000E+30          6.63325638E+03          2.52240322E+03          1.22676558E+03          1.73954774E+01          1.58755352E+01
        590.0000          2.43657438E+02          1.00000000E+30          6.40872045E+03          2.48101054E+03          1.20720951E+03          1.76269680E+01          1.60712710E+01
        600.0000          2.45863449E+02          1.00000000E+30          6.20331167E+03          2.44303771E+03          1.18927500E+03          1.78609764E+01          1.62689828E+01
