#Energy      Li   Cl  Total
        390.0000          7.06504503E+01          1.86406645E+01          1.47491869E+01
        400.0000          7.23861784E+01          1.89213910E+01          1.50003685E+01
        410.0000          7.41215485E+01          1.92022029E+01          1.52511766E+01
        420.0000          7.58565689E+01          1.94830572E+01          1.55016118E+01
        430.0000          7.75912472E+01          1.97639157E+01          1.57516749E+01
        440.0000          7.93255910E+01          2.00447451E+01          1.60013674E+01
        450.0000          8.10596071E+01          2.03255158E+01          1.62506912E+01
        460.0000          8.27933024E+01          2.06062016E+01          1.64996486E+01
        470.0000          8.45266833E+01          2.08867795E+01          1.67482421E+01
        480.0000          8.62597557E+01          2.11672292E+01          1.69964746E+01
        490.0000          8.79925255E+01          2.14475326E+01          1.72443490E+01
        500.0000          8.97249983E+01          2.17276739E+01          1.74918687E+01
        510.0000          9.14571792E+01          2.20076392E+01          1.77390369E+01
        520.0000          9.31890735E+01          2.22874160E+01          1.79858572E+01
        530.0000          9.49206860E+01          2.25669937E+01          1.82323332E+01
        540.0000          9.66520212E+01          2.28463626E+01          1.84784685E+01
        550.0000          9.83830837E+01          2.31255146E+01          1.87242670E+01
        560.0000          1.00113878E+02          2.34044422E+01          1.89697323E+01
        570.0000          1.01844407E+02          2.36831393E+01          1.92148684E+01
        580.0000          1.03574677E+02          2.39616004E+01          1.94596790E+01
        590.0000          1.05304689E+02          2.42398207E+01          1.97041680E+01
        600.0000          1.07034449E+02          2.45177963E+01          1.99483392E+01
        610.0000          1.08763959E+02          2.47955237E+01          2.01921965E+01
        620.0000          1.10493223E+02          2.50730002E+01          2.04357438E+01
        630.0000          1.12222244E+02          2.53502232E+01          2.06789846E+01
        640.0000          1.13951025E+02          2.56271910E+01          2.09219230E+01
        650.0000          1.15679570E+02          2.59039021E+01          2.11645626E+01
        660.0000          1.17407881E+02          2.61803552E+01          2.14069070E+01
        670.0000          1.19135960E+02          2.64565495E+01          2.16489601E+01
        680.0000          1.20863812E+02          2.67324845E+01          2.18907253E+01
        690.0000          1.22591438E+02          2.70081599E+01          2.21322063E+01
        700.0000          1.24318841E+02          2.72835757E+01          2.23734066E+01
        710.0000          1.26046023E+02          2.75587321E+01          2.26143297E+01
        720.0000          1.27772986E+02          2.78336294E+01          2.28549791E+01
        730.0000          1.29499734E+02          2.81082681E+01          2.30953581E+01
        740.0000          1.31226268E+02          2.83826489E+01          2.33354700E+01
        750.0000          1.32952591E+02          2.86567727E+01          2.35753183E+01
        760.0000          1.34678703E+02          2.89306405E+01          2.38149060E+01
        770.0000          1.36404609E+02          2.92042531E+01          2.40542364E+01
