#Energy      Valence  Total
        550.0000          5.29767868E+02          5.29767868E+02
        560.0000          5.39772733E+02          5.39772733E+02
        570.0000          5.49777607E+02          5.49777607E+02
        580.0000          5.59782301E+02          5.59782301E+02
        590.0000          5.69786861E+02          5.69786861E+02
        600.0000          5.79791292E+02          5.79791292E+02
        610.0000          5.89795605E+02          5.89795605E+02
        620.0000          5.99799299E+02          5.99799299E+02
        630.0000          6.09803332E+02          6.09803332E+02
        640.0000          6.19807978E+02          6.19807978E+02
        650.0000          6.29811386E+02          6.29811386E+02
        660.0000          6.39814617E+02          6.39814617E+02
        670.0000          6.49817922E+02          6.49817922E+02
        680.0000          6.59821219E+02          6.59821219E+02
        690.0000          6.69824475E+02          6.69824475E+02
        700.0000          6.79828441E+02          6.79828441E+02
        710.0000          6.89831053E+02          6.89831053E+02
        720.0000          6.99833696E+02          6.99833696E+02
        730.0000          7.09836514E+02          7.09836514E+02
        740.0000          7.19839102E+02          7.19839102E+02
        750.0000          7.29841600E+02          7.29841600E+02
        760.0000          7.39844712E+02          7.39844712E+02
        770.0000          7.49847017E+02          7.49847017E+02
        780.0000          7.59849333E+02          7.59849333E+02
        790.0000          7.69852229E+02          7.69852229E+02
        800.0000          7.79854343E+02          7.79854343E+02
        810.0000          7.89856499E+02          7.89856499E+02
        820.0000          7.99858661E+02          7.99858661E+02
        830.0000          8.09861203E+02          8.09861203E+02
        840.0000          8.19863198E+02          8.19863198E+02
        850.0000          8.29865186E+02          8.29865186E+02
        860.0000          8.39867152E+02          8.39867152E+02
        870.0000          8.49869089E+02          8.49869089E+02
        880.0000          8.59871410E+02          8.59871410E+02
        890.0000          8.69872925E+02          8.69872925E+02
        900.0000          8.79875253E+02          8.79875253E+02
        910.0000          8.89876565E+02          8.89876565E+02
        920.0000          8.99878092E+02          8.99878092E+02
        930.0000          9.09880111E+02          9.09880111E+02
        940.0000          9.19881567E+02          9.19881567E+02
        950.0000          9.29883083E+02          9.29883083E+02
        960.0000          9.39884994E+02          9.39884994E+02
        970.0000          9.49886166E+02          9.49886166E+02
        980.0000          9.59888036E+02          9.59888036E+02
        990.0000          9.69889172E+02          9.69889172E+02
       1000.0000          9.79890510E+02          9.79890510E+02
       1100.0000          9.89919186E+02          9.89919186E+02
       1200.0000          9.99938134E+02          9.99938134E+02
       1300.0000          1.09994271E+03          1.09994271E+03
       1400.0000          1.19994688E+03          1.19994688E+03
       1500.0000          1.29995050E+03          1.29995050E+03
       1600.0000          1.39995386E+03          1.39995386E+03
       1700.0000          1.49995679E+03          1.49995679E+03
       1800.0000          1.59995967E+03          1.59995967E+03
       1900.0000          1.69996200E+03          1.69996200E+03
       2000.0000          1.79996419E+03          1.79996419E+03
       2100.0000          1.89996613E+03          1.89996613E+03
       2200.0000          1.99996786E+03          1.99996786E+03
       2300.0000          2.09996953E+03          2.09996953E+03
       2400.0000          2.19997108E+03          2.19997108E+03
       2500.0000          2.29997254E+03          2.29997254E+03
       2600.0000          2.39997378E+03          2.39997378E+03
       2700.0000          2.49997508E+03          2.49997508E+03
       2800.0000          2.59997615E+03          2.59997615E+03
       2900.0000          2.69997708E+03          2.69997708E+03
       3000.0000          2.79997813E+03          2.79997813E+03
       3100.0000          2.89997900E+03          2.89997900E+03
       3200.0000          2.99997979E+03          2.99997979E+03
       3300.0000          3.09998056E+03          3.09998056E+03
       3400.0000          3.19998128E+03          3.19998128E+03
       3500.0000          3.29998197E+03          3.29998197E+03
       3600.0000          3.39998262E+03          3.39998262E+03
       3700.0000          3.49998319E+03          3.49998319E+03
       3800.0000          3.59998382E+03          3.59998382E+03
       3900.0000          3.69998441E+03          3.69998441E+03
       4000.0000          3.79998483E+03          3.79998483E+03
       4100.0000          3.89998533E+03          3.89998533E+03
       4200.0000          3.99998582E+03          3.99998582E+03
       4300.0000          4.09998621E+03          4.09998621E+03
       4400.0000          4.19998661E+03          4.19998661E+03
       4500.0000          4.29998700E+03          4.29998700E+03
       4600.0000          4.39998737E+03          4.39998737E+03
       4700.0000          4.49998773E+03          4.49998773E+03
       4800.0000          4.59998807E+03          4.59998807E+03
       4900.0000          4.69998841E+03          4.69998841E+03
       5000.0000          4.79998875E+03          4.79998875E+03
       5100.0000          4.89998904E+03          4.89998904E+03
       5200.0000          4.99998927E+03          4.99998927E+03
       5300.0000          5.09998955E+03          5.09998955E+03
       5400.0000          5.19998980E+03          5.19998980E+03
       5500.0000          5.29999006E+03          5.29999006E+03
