#Energy      Ag  Total
       9300.0000          6.43996708E+01          6.43996708E+01
       9400.0000          6.48590512E+01          6.48590512E+01
       9500.0000          6.53172952E+01          6.53172952E+01
       9600.0000          6.57744164E+01          6.57744164E+01
       9700.0000          6.62304280E+01          6.62304280E+01
       9800.0000          6.66853429E+01          6.66853429E+01
       9900.0000          6.71391738E+01          6.71391738E+01
      10000.0000          6.75919332E+01          6.75919332E+01
      11000.0000          7.20631430E+01          7.20631430E+01
      12000.0000          7.64391093E+01          7.64391093E+01
      13000.0000          8.07287827E+01          8.07287827E+01
      14000.0000          8.49396084E+01          8.49396084E+01
      15000.0000          8.90778568E+01          8.90778568E+01
      16000.0000          9.31488676E+01          9.31488676E+01
      17000.0000          9.71572331E+01          9.71572331E+01
      18000.0000          1.01106938E+02          1.01106938E+02
      19000.0000          1.05001470E+02          1.05001470E+02
      20000.0000          1.08843900E+02          1.08843900E+02
      21000.0000          1.12636954E+02          1.12636954E+02
      22000.0000          1.16383064E+02          1.16383064E+02
      23000.0000          1.20084413E+02          1.20084413E+02
      24000.0000          1.23742970E+02          1.23742970E+02
      25000.0000          1.27360522E+02          1.27360522E+02
      25519.9990          1.29225984E+02          1.29225984E+02
      25520.0010          1.29225991E+02          1.29225991E+02
      26000.0000          1.30938691E+02          1.30938691E+02
      27000.0000          1.34478964E+02          1.34478964E+02
      28000.0000          1.37982703E+02          1.37982703E+02
      29000.0000          1.41451162E+02          1.41451162E+02
      30000.0000          1.44885501E+02          1.44885501E+02
      31000.0000          1.48286793E+02          1.48286793E+02
      32000.0000          1.51656036E+02          1.51656036E+02
      33000.0000          1.54994160E+02          1.54994160E+02
      34000.0000          1.58302033E+02          1.58302033E+02
      35000.0000          1.61580468E+02          1.61580468E+02
      36000.0000          1.64830230E+02          1.64830230E+02
      37000.0000          1.68052035E+02          1.68052035E+02
      38000.0000          1.71246561E+02          1.71246561E+02
      39000.0000          1.74414446E+02          1.74414446E+02
      40000.0000          1.77556295E+02          1.77556295E+02
      41000.0000          1.80672681E+02          1.80672681E+02
      42000.0000          1.83764147E+02          1.83764147E+02
      43000.0000          1.86831211E+02          1.86831211E+02
      44000.0000          1.89874364E+02          1.89874364E+02
      45000.0000          1.92894077E+02          1.92894077E+02
      46000.0000          1.95890798E+02          1.95890798E+02
      47000.0000          1.98864954E+02          1.98864954E+02
      48000.0000          2.01816956E+02          2.01816956E+02
      49000.0000          2.04747198E+02          2.04747198E+02
      50000.0000          2.07656056E+02          2.07656056E+02
