#Energy      Te  Total
       7100.0000          1.23597754E+02          1.23597754E+02
       7200.0000          1.24665028E+02          1.24665028E+02
       7300.0000          1.25728789E+02          1.25728789E+02
       7400.0000          1.26789086E+02          1.26789086E+02
       7500.0000          1.27845969E+02          1.27845969E+02
       7600.0000          1.28899483E+02          1.28899483E+02
       7700.0000          1.29949676E+02          1.29949676E+02
       7800.0000          1.30996593E+02          1.30996593E+02
       7900.0000          1.32040278E+02          1.32040278E+02
       8000.0000          1.33080776E+02          1.33080776E+02
       8100.0000          1.34118128E+02          1.34118128E+02
       8200.0000          1.35152376E+02          1.35152376E+02
       8300.0000          1.36183560E+02          1.36183560E+02
       8400.0000          1.37211722E+02          1.37211722E+02
       8500.0000          1.38236899E+02          1.38236899E+02
       8600.0000          1.39259129E+02          1.39259129E+02
       8700.0000          1.40278451E+02          1.40278451E+02
       8800.0000          1.41294900E+02          1.41294900E+02
       8900.0000          1.42308512E+02          1.42308512E+02
       9000.0000          1.43319323E+02          1.43319323E+02
       9100.0000          1.44327366E+02          1.44327366E+02
       9200.0000          1.45332675E+02          1.45332675E+02
       9300.0000          1.46335283E+02          1.46335283E+02
       9400.0000          1.47335222E+02          1.47335222E+02
       9500.0000          1.48332523E+02          1.48332523E+02
       9600.0000          1.49327218E+02          1.49327218E+02
       9700.0000          1.50319336E+02          1.50319336E+02
       9800.0000          1.51308907E+02          1.51308907E+02
       9900.0000          1.52295961E+02          1.52295961E+02
      10000.0000          1.53280525E+02          1.53280525E+02
      11000.0000          1.62995107E+02          1.62995107E+02
      12000.0000          1.72488199E+02          1.72488199E+02
      13000.0000          1.81780598E+02          1.81780598E+02
      14000.0000          1.90889713E+02          1.90889713E+02
      15000.0000          1.99830277E+02          1.99830277E+02
      16000.0000          2.08614884E+02          2.08614884E+02
      17000.0000          2.17254395E+02          2.17254395E+02
      18000.0000          2.25758258E+02          2.25758258E+02
      19000.0000          2.34134752E+02          2.34134752E+02
      20000.0000          2.42391183E+02          2.42391183E+02
      21000.0000          2.50534040E+02          2.50534040E+02
      22000.0000          2.58569116E+02          2.58569116E+02
      23000.0000          2.66501616E+02          2.66501616E+02
      24000.0000          2.74336236E+02          2.74336236E+02
      25000.0000          2.82077231E+02          2.82077231E+02
      26000.0000          2.89728477E+02          2.89728477E+02
      27000.0000          2.97293516E+02          2.97293516E+02
      28000.0000          3.04775596E+02          3.04775596E+02
