#Energy      Li   Mn   O  Total
        600.0000          2.07362184E+02          2.34031132E+01          1.93118939E+01          1.00671075E+01
        610.0000          2.10712834E+02          2.35933946E+01          1.95976335E+01          1.01877491E+01
        620.0000          2.14063007E+02          2.37839117E+01          1.98832201E+01          1.03081716E+01
        630.0000          2.17412710E+02          2.39746361E+01          2.01686564E+01          1.04283791E+01
        640.0000          2.20761948E+02          2.41655415E+01          2.04539449E+01          1.05483755E+01
        644.9990          2.22436060E+02          2.42610352E+01          2.05965060E+01          1.06082838E+01
        645.0010          2.22436730E+02          2.42610734E+01          2.05965630E+01          1.06083077E+01
        650.0000          2.24110728E+02          2.43566034E+01          2.07390881E+01          1.06681647E+01
        655.9990          2.26119443E+02          2.44712872E+01          2.09100766E+01          1.07399283E+01
        656.0010          2.26120113E+02          2.44713254E+01          2.09101336E+01          1.07399522E+01
        660.0000          2.27459055E+02          2.45477994E+01          2.10240882E+01          1.07877503E+01
        670.0000          2.30806934E+02          2.47391085E+01          2.13089476E+01          1.09071359E+01
        680.0000          2.34154371E+02          2.49305113E+01          2.15936685E+01          1.10263249E+01
        690.0000          2.37501370E+02          2.51219898E+01          2.18782532E+01          1.11453205E+01
        700.0000          2.40847938E+02          2.53135274E+01          2.21627038E+01          1.12641261E+01
        710.0000          2.44194078E+02          2.55051084E+01          2.24470222E+01          1.13827446E+01
        720.0000          2.47539795E+02          2.56967185E+01          2.27312106E+01          1.15011791E+01
        730.0000          2.50885093E+02          2.58883443E+01          2.30152708E+01          1.16194325E+01
        740.0000          2.54229978E+02          2.60799734E+01          2.32992048E+01          1.17375075E+01
        750.0000          2.57574452E+02          2.62715941E+01          2.35830145E+01          1.18554070E+01
        760.0000          2.60918521E+02          2.64631958E+01          2.38667016E+01          1.19731335E+01
        770.0000          2.64262187E+02          2.66547684E+01          2.41502679E+01          1.20906896E+01
        772.9190          2.65238128E+02          2.67106816E+01          2.42330183E+01          1.21249725E+01
        772.9210          2.65238797E+02          2.67107199E+01          2.42330750E+01          1.21249960E+01
        780.0000          2.67605456E+02          2.68463027E+01          2.44337151E+01          1.22080779E+01
        790.0000          2.70948329E+02          2.70377899E+01          2.47170448E+01          1.23253007E+01
        800.0000          2.74290812E+02          2.72292220E+01          2.50002588E+01          1.24423604E+01
        810.0000          2.77632908E+02          2.74205915E+01          2.52833586E+01          1.25592594E+01
        820.0000          2.80974619E+02          2.76118914E+01          2.55663457E+01          1.26759998E+01
