#Energy      C   H   N   O   P  Total
       3000.0000          2.08371994E+03          5.76551472E+03          4.57155093E+03          2.43049070E+03          7.98520221E+03          7.09838408E+02
       3100.0000          2.15076366E+03          5.95553652E+03          4.71748527E+03          2.50739605E+03          8.21785954E+03          7.32415202E+02
       3200.0000          2.21774749E+03          6.14544576E+03          4.86327367E+03          2.58421520E+03          8.44999231E+03          7.54967187E+02
       3300.0000          2.28467246E+03          6.33524260E+03          5.00891903E+03          2.66095013E+03          8.68161815E+03          7.77494916E+02
       3400.0000          2.35153948E+03          6.52492720E+03          5.15442406E+03          2.73760265E+03          8.91275350E+03          7.99998898E+02
       3500.0000          2.41834943E+03          6.71449973E+03          5.29979126E+03          2.81417446E+03          9.14341365E+03          8.22479610E+02
       3600.0000          2.48510312E+03          6.90396033E+03          5.44502299E+03          2.89066714E+03          9.37361290E+03          8.44937495E+02
       3700.0000          2.55180130E+03          7.09330915E+03          5.59012143E+03          2.96708215E+03          9.60336463E+03          8.67372968E+02
       3800.0000          2.61844468E+03          7.28254634E+03          5.73508864E+03          3.04342089E+03          9.83268138E+03          8.89786417E+02
       3900.0000          2.68503394E+03          7.47167202E+03          5.87992653E+03          3.11968464E+03          1.00615749E+04          9.12178206E+02
       4000.0000          2.75156969E+03          7.66068634E+03          6.02463693E+03          3.19587463E+03          1.02900563E+04          9.34548679E+02
       4100.0000          2.81805253E+03          7.84958942E+03          6.16922153E+03          3.27199200E+03          1.05181359E+04          9.56898156E+02
       4200.0000          2.88448301E+03          8.03838140E+03          6.31368193E+03          3.34803783E+03          1.07458236E+04          9.79226941E+02
       4300.0000          2.95086167E+03          8.22706241E+03          6.45801966E+03          3.42401314E+03          1.09731286E+04          1.00153532E+03
       4400.0000          3.01718899E+03          8.41563256E+03          6.60223614E+03          3.49991889E+03          1.12000598E+04          1.02382357E+03
       4500.0000          3.08346545E+03          8.60409198E+03          6.74633274E+03          3.57575599E+03          1.14266255E+04          1.04609194E+03
       4600.0000          3.14969149E+03          8.79244079E+03          6.89031074E+03          3.65152531E+03          1.16528334E+04          1.06834068E+03
       4700.0000          3.21586755E+03          8.98067910E+03          7.03417136E+03          3.72722768E+03          1.18786911E+04          1.09057001E+03
       4800.0000          3.28199403E+03          9.16880704E+03          7.17791578E+03          3.80286386E+03          1.21042057E+04          1.11278017E+03
       4900.0000          3.34807131E+03          9.35682471E+03          7.32154509E+03          3.87843460E+03          1.23293839E+04          1.13497135E+03
       5000.0000          3.41409977E+03          9.54473223E+03          7.46506034E+03          3.95394061E+03          1.25542322E+04          1.15714375E+03
       5100.0000          3.48007974E+03          9.73252971E+03          7.60846256E+03          4.02938256E+03          1.27787566E+04          1.17929757E+03
       5200.0000          3.54601157E+03          9.92021725E+03          7.75175269E+03          4.10476110E+03          1.30029630E+04          1.20143299E+03
       5300.0000          3.61189559E+03          1.01077950E+04          7.89493166E+03          4.18007684E+03          1.32268570E+04          1.22355018E+03
       5400.0000          3.67773209E+03          1.02952630E+04          8.03800034E+03          4.25533036E+03          1.34504439E+04          1.24564930E+03
       5500.0000          3.74352137E+03          1.04826214E+04          8.18095958E+03          4.33052223E+03          1.36737288E+04          1.26773052E+03
       5600.0000          3.80926372E+03          1.06698703E+04          8.32381019E+03          4.40565299E+03          1.38967165E+04          1.28979399E+03
       5700.0000          3.87495941E+03          1.08570098E+04          8.46655293E+03          4.48072316E+03          1.41194119E+04          1.31183984E+03
       5800.0000          3.94060870E+03          1.10440400E+04          8.60918856E+03          4.55573323E+03          1.43418192E+04          1.33386824E+03
       5900.0000          4.00621184E+03          1.12309610E+04          8.75171779E+03          4.63068368E+03          1.45639429E+04          1.35587930E+03
       6000.0000          4.07176907E+03          1.14177729E+04          8.89414130E+03          4.70557496E+03          1.47857870E+04          1.37787315E+03
       6100.0000          4.13728064E+03          1.16044759E+04          9.03645977E+03          4.78040752E+03          1.50073555E+04          1.39984993E+03
       6200.0000          4.20274675E+03          1.17910699E+04          9.17867382E+03          4.85518178E+03          1.52286522E+04          1.42180975E+03
       6300.0000          4.26816764E+03          1.19775551E+04          9.32078408E+03          4.92989816E+03          1.54496808E+04          1.44375272E+03
       6400.0000          4.33354351E+03          1.21639317E+04          9.46279114E+03          5.00455704E+03          1.56704448E+04          1.46567897E+03
       6500.0000          4.39887456E+03          1.23501996E+04          9.60469556E+03          5.07915880E+03          1.58909476E+04          1.48758859E+03
       6600.0000          4.46416099E+03          1.25363591E+04          9.74649792E+03          5.15370382E+03          1.61111925E+04          1.50948169E+03
       6700.0000          4.52940300E+03          1.27224101E+04          9.88819874E+03          5.22819244E+03          1.63311827E+04          1.53135837E+03
       6800.0000          4.59460076E+03          1.29083529E+04          1.00297985E+04          5.30262501E+03          1.65509211E+04          1.55321873E+03
       6900.0000          4.65975446E+03          1.30941874E+04          1.01712978E+04          5.37700187E+03          1.67704108E+04          1.57506286E+03
       7000.0000          4.72486426E+03          1.32799138E+04          1.03126971E+04          5.45132333E+03          1.69896545E+04          1.59689085E+03
       7100.0000          4.78993034E+03          1.34655322E+04          1.04539968E+04          5.52558970E+03          1.72086550E+04          1.61870280E+03
       7200.0000          4.85495287E+03          1.36510427E+04          1.05951973E+04          5.59980129E+03          1.74274151E+04          1.64049878E+03
       7300.0000          4.91993199E+03          1.38364453E+04          1.07362993E+04          5.67395839E+03          1.76459371E+04          1.66227887E+03
       7400.0000          4.98486786E+03          1.40217402E+04          1.08773030E+04          5.74806128E+03          1.78642237E+04          1.68404317E+03
       7500.0000          5.04976064E+03          1.42069275E+04          1.10182089E+04          5.82211023E+03          1.80822773E+04          1.70579174E+03
       7600.0000          5.11461047E+03          1.43920071E+04          1.11590173E+04          5.89610552E+03          1.83001001E+04          1.72752467E+03
       7700.0000          5.17941748E+03          1.45769794E+04          1.12997288E+04          5.97004740E+03          1.85176945E+04          1.74924202E+03
       7800.0000          5.24418183E+03          1.47618442E+04          1.14403437E+04          6.04393612E+03          1.87350626E+04          1.77094387E+03
       7900.0000          5.30890365E+03          1.49466018E+04          1.15808623E+04          6.11777193E+03          1.89522065E+04          1.79263028E+03
       8000.0000          5.37358306E+03          1.51312522E+04          1.17212850E+04          6.19155508E+03          1.91691284E+04          1.81430133E+03
       8100.0000          5.43822020E+03          1.53157954E+04          1.18616122E+04          6.26528578E+03          1.93858302E+04          1.83595708E+03
       8200.0000          5.50281519E+03          1.55002317E+04          1.20018442E+04          6.33896427E+03          1.96023139E+04          1.85759760E+03
       8300.0000          5.56736816E+03          1.56845610E+04          1.21419814E+04          6.41259076E+03          1.98185813E+04          1.87922294E+03
       8400.0000          5.63187921E+03          1.58687836E+04          1.22820240E+04          6.48616548E+03          2.00346344E+04          1.90083318E+03
       8500.0000          5.69634849E+03          1.60528993E+04          1.24219725E+04          6.55968863E+03          2.02504748E+04          1.92242836E+03
       8600.0000          5.76077608E+03          1.62369084E+04          1.25618271E+04          6.63316041E+03          2.04661044E+04          1.94400854E+03
       8700.0000          5.82516211E+03          1.64208110E+04          1.27015881E+04          6.70658102E+03          2.06815249E+04          1.96557379E+03
       8800.0000          5.88950669E+03          1.66046071E+04          1.28412558E+04          6.77995067E+03          2.08967378E+04          1.98712416E+03
       8900.0000          5.95380993E+03          1.67882968E+04          1.29808306E+04          6.85326953E+03          2.11117447E+04          2.00865969E+03
       9000.0000          6.01807192E+03          1.69718801E+04          1.31203126E+04          6.92653780E+03          2.13265474E+04          2.03018046E+03
       9100.0000          6.08229278E+03          1.71553573E+04          1.32597023E+04          6.99975565E+03          2.15411472E+04          2.05168649E+03
       9200.0000          6.14647260E+03          1.73387284E+04          1.33989998E+04          7.07292326E+03          2.17555456E+04          2.07317786E+03
       9300.0000          6.21061148E+03          1.75219934E+04          1.35382054E+04          7.14604081E+03          2.19697442E+04          2.09465460E+03
       9400.0000          6.27470952E+03          1.77051524E+04          1.36773195E+04          7.21910846E+03          2.21837442E+04          2.11611676E+03
       9500.0000          6.33876682E+03          1.78882056E+04          1.38163421E+04          7.29212638E+03          2.23975472E+04          2.13756440E+03
       9600.0000          6.40278346E+03          1.80711530E+04          1.39552737E+04          7.36509473E+03          2.26111544E+04          2.15899755E+03
       9700.0000          6.46675954E+03          1.82539948E+04          1.40941144E+04          7.43801368E+03          2.28245671E+04          2.18041627E+03
       9800.0000          6.53069515E+03          1.84367309E+04          1.42328646E+04          7.51088337E+03          2.30377866E+04          2.20182059E+03
       9900.0000          6.59459038E+03          1.86193615E+04          1.43715243E+04          7.58370397E+03          2.32508143E+04          2.22321056E+03
      10000.0000          6.65844532E+03          1.88018866E+04          1.45100939E+04          7.65647561E+03          2.34636512E+04          2.24458623E+03
      11000.0000          7.29479654E+03          2.06213579E+04          1.58908810E+04          8.38153065E+03          2.55817825E+04          2.45756481E+03
      12000.0000          7.92720420E+03          2.24303785E+04          1.72628831E+04          9.10183597E+03          2.76820082E+04          2.66915420E+03
      13000.0000          8.55573635E+03          2.42290310E+04          1.86262787E+04          9.81750375E+03          2.97651976E+04          2.87938647E+03
      14000.0000          9.18045316E+03          2.60173969E+04          1.99812234E+04          1.05286307E+04          3.18320734E+04          3.08828932E+03
      15000.0000          9.80140883E+03          2.77955564E+04          2.13278556E+04          1.12353018E+04          3.38832474E+04          3.29588715E+03
      16000.0000          1.04186529E+04          2.95635887E+04          2.26662997E+04          1.19375928E+04          3.59192455E+04          3.50220176E+03
      17000.0000          1.10322311E+04          3.13215717E+04          2.39966698E+04          1.26355723E+04          3.79405256E+04          3.70725289E+03
      18000.0000          1.16421861E+04          3.30695826E+04          2.53190712E+04          1.33293031E+04          3.99474913E+04          3.91105866E+03
      19000.0000          1.22485584E+04          3.48076977E+04          2.66336019E+04          1.40188431E+04          4.19405022E+04          4.11363580E+03
      20000.0000          1.28513860E+04          3.65359923E+04          2.79403542E+04          1.47042464E+04          4.39198814E+04          4.31499994E+03
      21000.0000          1.34507054E+04          3.82545410E+04          2.92394152E+04          1.53855636E+04          4.58859218E+04          4.51516576E+03
      22000.0000          1.40465515E+04          3.99634175E+04          3.05308679E+04          1.60628427E+04          4.78388910E+04          4.71414713E+03
      23000.0000          1.46389579E+04          4.16626949E+04          3.18147917E+04          1.67361290E+04          4.97790348E+04          4.91195725E+03
      24000.0000          1.52279570E+04          4.33524454E+04          3.30912625E+04          1.74054660E+04          5.17065808E+04          5.10860872E+03
      25000.0000          1.58135803E+04          4.50327405E+04          3.43603538E+04          1.80708953E+04          5.36217406E+04          5.30411361E+03
      26000.0000          1.63958583E+04          4.67036510E+04          3.56221363E+04          1.87324567E+04          5.55247118E+04          5.49848353E+03
      27000.0000          1.69748208E+04          4.83652471E+04          3.68766787E+04          1.93901887E+04          5.74156802E+04          5.69172970E+03
      28000.0000          1.75504967E+04          5.00175981E+04          3.81240477E+04          2.00441287E+04          5.92948208E+04          5.88386296E+03
      29000.0000          1.81229143E+04          5.16607728E+04          3.93643080E+04          2.06943126E+04          6.11622992E+04          6.07489383E+03
      30000.0000          1.86921015E+04          5.32948392E+04          4.05975229E+04          2.13407756E+04          6.30182729E+04          6.26483252E+03
      31000.0000          1.92580852E+04          5.49198649E+04          4.18237542E+04          2.19835518E+04          6.48628915E+04          6.45368899E+03
      32000.0000          1.98208923E+04          5.65359165E+04          4.30430621E+04          2.26226744E+04          6.66962982E+04          6.64147295E+03
      33000.0000          2.03805487E+04          5.81430602E+04          4.42555059E+04          2.32581758E+04          6.85186301E+04          6.82819386E+03
      34000.0000          2.09370802E+04          5.97413616E+04          4.54611434E+04          2.38900879E+04          7.03300187E+04          7.01386100E+03
      35000.0000          2.14905120E+04          6.13308855E+04          4.66600314E+04          2.45184415E+04          7.21305906E+04          7.19848343E+03
      36000.0000          2.20408690E+04          6.29116963E+04          4.78522257E+04          2.51432672E+04          7.39204679E+04          7.38207004E+03
      37000.0000          2.25881756E+04          6.44838577E+04          4.90377812E+04          2.57645948E+04          7.56997683E+04          7.56462955E+03
      38000.0000          2.31324559E+04          6.60474327E+04          5.02167516E+04          2.63824535E+04          7.74686060E+04          7.74617051E+03
      39000.0000          2.36737338E+04          6.76024840E+04          5.13891901E+04          2.69968721E+04          7.92270913E+04          7.92670133E+03
      40000.0000          2.42120325E+04          6.91490735E+04          5.25551488E+04          2.76078788E+04          8.09753315E+04          8.10623028E+03
      41000.0000          2.47473752E+04          7.06872625E+04          5.37146791E+04          2.82155013E+04          8.27134308E+04          8.28476549E+03
      42000.0000          2.52797848E+04          7.22171118E+04          5.48678318E+04          2.88197671E+04          8.44414904E+04          8.46231495E+03
      43000.0000          2.58092836E+04          7.37386819E+04          5.60146568E+04          2.94207030E+04          8.61596090E+04          8.63888654E+03
      44000.0000          2.63358940E+04          7.52520323E+04          5.71552034E+04          3.00183356E+04          8.78678829E+04          8.81448802E+03
      45000.0000          2.68596378E+04          7.67572222E+04          5.82895201E+04          3.06126909E+04          8.95664060E+04          8.98912704E+03
      46000.0000          2.73805368E+04          7.82543103E+04          5.94176549E+04          3.12037947E+04          9.12552699E+04          9.16281114E+03
      47000.0000          2.78986124E+04          7.97433547E+04          6.05396552E+04          3.17916724E+04          9.29345643E+04          9.33554776E+03
      48000.0000          2.84138857E+04          8.12244130E+04          6.16555678E+04          3.23763490E+04          9.46043770E+04          9.50734423E+03
      49000.0000          2.89263776E+04          8.26975423E+04          6.27654387E+04          3.29578493E+04          9.62647939E+04          9.67820780E+03
      50000.0000          2.94361089E+04          8.41627990E+04          6.38693137E+04          3.35361976E+04          9.79158991E+04          9.84814561E+03
