#Energy      C   O   H  Total
      29000.0000          1.87651499E+03          3.35150781E+03          7.35508334E+03          1.03387351E+03
      30000.0000          1.93545078E+03          3.45620449E+03          7.58772978E+03          1.06632322E+03
      31000.0000          1.99405488E+03          3.56030407E+03          7.81908906E+03          1.09858995E+03
      32000.0000          2.05233004E+03          3.66381194E+03          8.04917068E+03          1.13067526E+03
      33000.0000          2.11027898E+03          3.76673336E+03          8.27798406E+03          1.16258065E+03
      34000.0000          2.16790435E+03          3.86907347E+03          8.50553853E+03          1.19430761E+03
      35000.0000          2.22520877E+03          3.97083728E+03          8.73184333E+03          1.22585758E+03
      36000.0000          2.28219481E+03          4.07202973E+03          8.95690762E+03          1.25723201E+03
      37000.0000          2.33886501E+03          4.17265565E+03          9.18074047E+03          1.28843230E+03
      38000.0000          2.39522185E+03          4.27271978E+03          9.40335086E+03          1.31945984E+03
      39000.0000          2.45126780E+03          4.37222676E+03          9.62474770E+03          1.35031599E+03
      40000.0000          2.50700528E+03          4.47118118E+03          9.84493980E+03          1.38100211E+03
      41000.0000          2.56243669E+03          4.56958753E+03          1.00639359E+04          1.41151951E+03
      42000.0000          2.61756439E+03          4.66745024E+03          1.02817447E+04          1.44186951E+03
      43000.0000          2.67239070E+03          4.76477367E+03          1.04983747E+04          1.47205341E+03
      44000.0000          2.72691793E+03          4.86156210E+03          1.07138345E+04          1.50207247E+03
      45000.0000          2.78114834E+03          4.95781978E+03          1.09281324E+04          1.53192796E+03
