#Energy      Si-K-shell   Si-L1-shell   Si-L2-shell   Si-L3-shell   C-K-shell   Valence  Total
         89.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.14253363E+00          5.14253363E+00
         90.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.12969837E+00          5.12969837E+00
         91.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.11845466E+00          5.11845466E+00
         92.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.10869995E+00          5.10869995E+00
         93.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.10033975E+00          5.10033975E+00
         94.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.09328697E+00          5.09328697E+00
         95.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.08746114E+00          5.08746114E+00
         96.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.08278793E+00          5.08278793E+00
         97.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.07919854E+00          5.07919854E+00
         98.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.07662922E+00          5.07662922E+00
         99.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.07502088E+00          5.07502088E+00
        100.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.07431863E+00          5.07431863E+00
        103.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.07959923E+00          5.07959923E+00
        104.0010          1.00000000E+30          1.00000000E+30          9.63678544E+09          4.81839272E+09          1.00000000E+30          5.07960482E+00          5.07960481E+00
        110.0000          1.00000000E+30          1.00000000E+30          5.12862172E+04          2.56431086E+04          1.00000000E+30          5.10745984E+00          5.10593438E+00
        120.0000          1.00000000E+30          1.00000000E+30          1.14354284E+04          5.71771420E+03          1.00000000E+30          5.19192663E+00          5.18486451E+00
        130.0000          1.00000000E+30          1.00000000E+30          5.45455715E+03          2.72727857E+03          1.00000000E+30          5.30819953E+00          5.29274733E+00
        140.0000          1.00000000E+30          1.00000000E+30          3.34803533E+03          1.67401767E+03          1.00000000E+30          5.44518888E+00          5.41874999E+00
        150.0000          1.00000000E+30          1.00000000E+30          2.33749629E+03          1.16874814E+03          1.00000000E+30          5.59618591E+00          5.55627915E+00
        153.9990          1.00000000E+30          1.00000000E+30          2.07336186E+03          1.03668093E+03          1.00000000E+30          5.65947929E+00          5.61351112E+00
        154.0010          1.00000000E+30          2.92906812E+10          2.07324408E+03          1.03662204E+03          1.00000000E+30          5.65951130E+00          5.61354002E+00
        160.0000          1.00000000E+30          1.90023028E+05          1.76549434E+03          8.82747168E+02          1.00000000E+30          5.75692362E+00          5.70098162E+00
        170.0000          1.00000000E+30          4.23427408E+04          1.40632361E+03          7.03161805E+02          1.00000000E+30          5.92295366E+00          5.84824320E+00
        180.0000          1.00000000E+30          2.00360196E+04          1.16421794E+03          5.82108971E+02          1.00000000E+30          6.09367914E+00          5.99767699E+00
        190.0000          1.00000000E+30          1.21575917E+04          9.92451962E+02          4.96225981E+02          1.00000000E+30          6.27335663E+00          6.15349149E+00
        200.0000          1.00000000E+30          8.37647366E+03          8.65829671E+02          4.32914835E+02          1.00000000E+30          6.44639223E+00          6.30080834E+00
        210.0000          1.00000000E+30          6.23781530E+03          7.69696711E+02          3.84848356E+02          1.00000000E+30          6.62688805E+00          6.45334727E+00
        220.0000          1.00000000E+30          4.89629812E+03          6.95006100E+02          3.47503050E+02          1.00000000E+30          6.81357587E+00          6.60997260E+00
        230.0000          1.00000000E+30          3.99262802E+03          6.35893575E+02          3.17946787E+02          1.00000000E+30          6.99366077E+00          6.75881800E+00
        240.0000          1.00000000E+30          3.35125609E+03          5.88404487E+02          2.94202244E+02          1.00000000E+30          7.17926574E+00          6.91147385E+00
        250.0000          1.00000000E+30          2.87760601E+03          5.49780588E+02          2.74890294E+02          1.00000000E+30          7.36420161E+00          7.06233249E+00
        260.0000          1.00000000E+30          2.51671623E+03          5.18043606E+02          2.59021803E+02          1.00000000E+30          7.54847744E+00          7.21160390E+00
        270.0000          1.00000000E+30          2.23477195E+03          4.91741322E+02          2.45870661E+02          1.00000000E+30          7.73210611E+00          7.35948299E+00
        280.0000          1.00000000E+30          2.00996460E+03          4.69785501E+02          2.34892751E+02          1.00000000E+30          7.92000400E+00          7.51055364E+00
        287.9990          1.00000000E+30          1.86127191E+03          4.54788239E+02          2.27394119E+02          1.00000000E+30          8.06675051E+00          7.62780013E+00
        288.0010          1.00000000E+30          1.86123771E+03          4.54784742E+02          2.27392371E+02          1.79306083E+11          8.06679074E+00          7.62783258E+00
        290.0000          1.00000000E+30          1.82765713E+03          4.51347159E+02          2.25673579E+02          8.31604969E+06          8.10220400E+00          7.65595698E+00
        300.0000          1.00000000E+30          1.67770772E+03          4.35785400E+02          2.17892700E+02          5.57693549E+05          8.28842230E+00          7.80444009E+00
        310.0000          1.00000000E+30          1.55288885E+03          4.22598365E+02          2.11299182E+02          2.20114435E+05          8.46929113E+00          7.94779384E+00
        320.0000          1.00000000E+30          1.44792163E+03          4.11388537E+02          2.05694268E+02          1.23333354E+05          8.65394615E+00          8.09419376E+00
        330.0000          1.00000000E+30          1.35887128E+03          4.01838040E+02          2.00919020E+02          8.09050513E+04          8.83780977E+00          8.23966443E+00
        340.0000          1.00000000E+30          1.28274610E+03          3.93690231E+02          1.96845116E+02          5.81005719E+04          9.02091101E+00          8.38429994E+00
        350.0000          1.00000000E+30          1.21723636E+03          3.86736137E+02          1.93368068E+02          4.42658743E+04          9.20327766E+00          8.52818152E+00
        360.0000          1.00000000E+30          1.16053178E+03          3.80804201E+02          1.90402101E+02          3.51653059E+04          9.38493623E+00          8.67137914E+00
        370.0000          1.00000000E+30          1.11119547E+03          3.75753001E+02          1.87876500E+02          2.88206379E+04          9.56980767E+00          8.81726097E+00
        380.0000          1.00000000E+30          1.06807427E+03          3.71464476E+02          1.85732238E+02          2.41996720E+04          9.75003205E+00          8.95916898E+00
        390.0000          1.00000000E+30          1.03023280E+03          3.67839841E+02          1.83919921E+02          2.07163261E+04          9.92962270E+00          9.10055485E+00
        400.0000          1.00000000E+30          9.96905487E+02          3.64796185E+02          1.82398093E+02          1.80176749E+04          1.01122715E+01          9.24452573E+00
        410.0000          1.00000000E+30          9.67460979E+02          3.62262916E+02          1.81131458E+02          1.58789360E+04          1.02905708E+01          9.38489275E+00
        420.0000          1.00000000E+30          9.41373796E+02          3.60180085E+02          1.80090043E+02          1.41514712E+04          1.04718411E+01          9.52777492E+00
        430.0000          1.00000000E+30          9.18204717E+02          3.58496475E+02          1.79248237E+02          1.27338851E+04          1.06489341E+01          9.66725242E+00
        440.0000          1.00000000E+30          8.97583803E+02          3.57167688E+02          1.78583844E+02          1.15543170E+04          1.08289103E+01          9.80916653E+00
        450.0000          1.00000000E+30          8.79197746E+02          3.56155725E+02          1.78077863E+02          1.05611210E+04          1.10082481E+01          9.95061064E+00
        460.0000          1.00000000E+30          8.62780208E+02          3.55427443E+02          1.77713722E+02          9.71599659E+03          1.11869660E+01          1.00916066E+01
        470.0000          1.00000000E+30          8.48102822E+02          3.54954029E+02          1.77477015E+02          8.99032904E+03          1.13617900E+01          1.02295059E+01
        480.0000          1.00000000E+30          8.34969627E+02          3.54710221E+02          1.77355110E+02          8.36210802E+03          1.15393616E+01          1.03697059E+01
        490.0000          1.00000000E+30          8.23211608E+02          3.54673902E+02          1.77336951E+02          7.81431831E+03          1.17163643E+01          1.05095108E+01
        500.0000          1.00000000E+30          8.12682013E+02          3.54825553E+02          1.77412777E+02          7.33354496E+03          1.18928139E+01          1.06489353E+01
        510.0000          1.00000000E+30          8.03253779E+02          3.55147914E+02          1.77573957E+02          6.90913234E+03          1.20687253E+01          1.07879928E+01
        520.0000          1.00000000E+30          7.94815110E+02          3.55625715E+02          1.77812857E+02          6.53248695E+03          1.22441128E+01          1.09266959E+01
        530.0000          1.00000000E+30          7.87268746E+02          3.56245336E+02          1.78122668E+02          6.19664777E+03          1.24189900E+01          1.10650558E+01
        540.0000          1.00000000E+30          7.80528928E+02          3.56994661E+02          1.78497330E+02          5.89589362E+03          1.25963820E+01          1.12054669E+01
        550.0000          1.00000000E+30          7.74520000E+02          3.57862822E+02          1.78931411E+02          5.62549045E+03          1.27702386E+01          1.13431340E+01
        560.0000          1.00000000E+30          7.69175116E+02          3.58840090E+02          1.79420045E+02          5.38149531E+03          1.29436233E+01          1.14804887E+01
        570.0000          1.00000000E+30          7.64435023E+02          3.59917718E+02          1.79958859E+02          5.16060711E+03          1.31165478E+01          1.16175400E+01
        580.0000          1.00000000E+30          7.60246732E+02          3.61087808E+02          1.80543904E+02          4.96002402E+03          1.32890233E+01          1.17542961E+01
        590.0000          1.00000000E+30          7.56563393E+02          3.62343246E+02          1.81171623E+02          4.77736128E+03          1.34639116E+01          1.18929893E+01
        600.0000          1.00000000E+30          7.53342834E+02          3.63677565E+02          1.81838783E+02          4.61059699E+03          1.36354818E+01          1.20291418E+01
        610.0000          1.00000000E+30          7.50547155E+02          3.65084912E+02          1.82542456E+02          4.45797683E+03          1.38066349E+01          1.21650224E+01
        620.0000          1.00000000E+30          7.48142623E+02          3.66559971E+02          1.83279985E+02          4.31799028E+03          1.39801516E+01          1.23027841E+01
        630.0000          1.00000000E+30          7.46098437E+02          3.68097883E+02          1.84048942E+02          4.18932662E+03          1.41504588E+01          1.24381048E+01
        640.0000          1.00000000E+30          7.44387091E+02          3.69694237E+02          1.84847118E+02          4.07084289E+03          1.43203770E+01          1.25731736E+01
        650.0000          1.00000000E+30          7.42983694E+02          3.71344977E+02          1.85672489E+02          3.96153484E+03          1.44926060E+01          1.27100662E+01
        660.0000          1.00000000E+30          7.41865500E+02          3.73046387E+02          1.86523194E+02          3.86052509E+03          1.46617320E+01          1.28446135E+01
        670.0000          1.00000000E+30          7.41011997E+02          3.74795086E+02          1.87397543E+02          3.76703658E+03          1.48331434E+01          1.29809551E+01
        680.0000          1.00000000E+30          7.40404392E+02          3.76587931E+02          1.88293966E+02          3.68038266E+03          1.50015117E+01          1.31150053E+01
        690.0000          1.00000000E+30          7.40025662E+02          3.78422059E+02          1.89211030E+02          3.59995083E+03          1.51721358E+01          1.32508177E+01
