#Energy      C   H   O  Total
       6300.0000          6.87345310E+04          6.66835957E+05          5.46373161E+05          5.59327968E+04
       6400.0000          6.97873434E+04          6.77212247E+05          5.54647491E+05          5.67896750E+04
       6500.0000          7.08394341E+04          6.87582491E+05          5.62915492E+05          5.76459655E+04
       6600.0000          7.18908062E+04          6.97946695E+05          5.71177204E+05          5.85016710E+04
       6700.0000          7.29414628E+04          7.08304863E+05          5.79432665E+05          5.93567939E+04
       6800.0000          7.39914069E+04          7.18657001E+05          5.87681915E+05          6.02113367E+04
       6900.0000          7.50406415E+04          7.29003115E+05          5.95924989E+05          6.10653017E+04
       7000.0000          7.60891691E+04          7.39343209E+05          6.04161924E+05          6.19186912E+04
       7100.0000          7.71369927E+04          7.49677290E+05          6.12392754E+05          6.27715073E+04
       7200.0000          7.81841148E+04          7.60005362E+05          6.20617512E+05          6.36237524E+04
       7300.0000          7.92305379E+04          7.70327430E+05          6.28836231E+05          6.44754283E+04
       7400.0000          8.02762646E+04          7.80643500E+05          6.37048942E+05          6.53265373E+04
       7500.0000          8.13212973E+04          7.90953577E+05          6.45255676E+05          6.61770812E+04
       7600.0000          8.23656383E+04          8.01257665E+05          6.53456462E+05          6.70270619E+04
       7700.0000          8.34092899E+04          8.11555771E+05          6.61651329E+05          6.78764814E+04
       7800.0000          8.44522544E+04          8.21847899E+05          6.69840304E+05          6.87253414E+04
       7900.0000          8.54945338E+04          8.32134054E+05          6.78023416E+05          6.95736437E+04
       8000.0000          8.65361305E+04          8.42414241E+05          6.86200690E+05          7.04213901E+04
       8100.0000          8.75770464E+04          8.52688466E+05          6.94372152E+05          7.12685823E+04
       8200.0000          8.86172835E+04          8.62956733E+05          7.02537828E+05          7.21152219E+04
       8300.0000          8.96568438E+04          8.73219047E+05          7.10697741E+05          7.29613104E+04
       8400.0000          9.06957293E+04          8.83475413E+05          7.18851915E+05          7.38068496E+04
       8500.0000          9.17339418E+04          8.93725837E+05          7.27000375E+05          7.46518408E+04
       8600.0000          9.27714832E+04          9.03970323E+05          7.35143141E+05          7.54962857E+04
       8700.0000          9.38083553E+04          9.14208876E+05          7.43280237E+05          7.63401857E+04
       8800.0000          9.48445598E+04          9.24441501E+05          7.51411684E+05          7.71835422E+04
       8900.0000          9.58800985E+04          9.34668204E+05          7.59537503E+05          7.80263567E+04
       9000.0000          9.69149730E+04          9.44888988E+05          7.67657714E+05          7.88686305E+04
       9100.0000          9.79491851E+04          9.55103858E+05          7.75772337E+05          7.97103649E+04
       9200.0000          9.89827363E+04          9.65312820E+05          7.83881393E+05          8.05515614E+04
       9300.0000          1.00015628E+05          9.75515879E+05          7.91984900E+05          8.13922211E+04
       9400.0000          1.01047862E+05          9.85713039E+05          8.00082878E+05          8.22323454E+04
       9500.0000          1.02079441E+05          9.95904305E+05          8.08175344E+05          8.30719356E+04
       9600.0000          1.03110364E+05          1.00608968E+06          8.16262316E+05          8.39109928E+04
       9700.0000          1.04140634E+05          1.01626917E+06          8.24343813E+05          8.47495182E+04
       9800.0000          1.05170253E+05          1.02644279E+06          8.32419851E+05          8.55875131E+04
       9900.0000          1.06199221E+05          1.03661053E+06          8.40490447E+05          8.64249786E+04
      10000.0000          1.07227540E+05          1.04677239E+06          8.48555618E+05          8.72619158E+04
      11000.0000          1.17475334E+05          1.14806927E+06          9.28912372E+05          9.56024714E+04
      12000.0000          1.27659621E+05          1.24878431E+06          1.00874272E+06          1.03891329E+05
      13000.0000          1.37781497E+05          1.34892212E+06          1.08805910E+06          1.12129383E+05
      14000.0000          1.47841930E+05          1.44848724E+06          1.16687223E+06          1.20317423E+05
      15000.0000          1.57841795E+05          1.54748413E+06          1.24519151E+06          1.28456159E+05
      16000.0000          1.67781887E+05          1.64591720E+06          1.32302537E+06          1.36546242E+05
      17000.0000          1.77662944E+05          1.74379078E+06          1.40038138E+06          1.44588273E+05
      18000.0000          1.87485655E+05          1.84110919E+06          1.47726652E+06          1.52582811E+05
      19000.0000          1.97250668E+05          1.93787665E+06          1.55368719E+06          1.60530386E+05
      20000.0000          2.06958598E+05          2.03409737E+06          1.62964940E+06          1.68431499E+05
      21000.0000          2.16610032E+05          2.12977550E+06          1.70515876E+06          1.76286626E+05
      22000.0000          2.26205532E+05          2.22491514E+06          1.78022057E+06          1.84096227E+05
      23000.0000          2.35745639E+05          2.31952036E+06          1.85483988E+06          1.91860741E+05
      24000.0000          2.45230875E+05          2.41359519E+06          1.92902149E+06          1.99580594E+05
      25000.0000          2.54661747E+05          2.50714359E+06          2.00277001E+06          2.07256198E+05
      26000.0000          2.64038746E+05          2.60016953E+06          2.07608986E+06          2.14887955E+05
      27000.0000          2.73362352E+05          2.69267689E+06          2.14898531E+06          2.22476253E+05
      28000.0000          2.82633031E+05          2.78466954E+06          2.22146048E+06          2.30021473E+05
      29000.0000          2.91851240E+05          2.87615131E+06          2.29351939E+06          2.37523986E+05
      30000.0000          3.01017424E+05          2.96712599E+06          2.36516591E+06          2.44984156E+05
      31000.0000          3.10132021E+05          3.05759734E+06          2.43640382E+06          2.52402339E+05
      32000.0000          3.19195460E+05          3.14756906E+06          2.50723680E+06          2.59778883E+05
      33000.0000          3.28208162E+05          3.23704485E+06          2.57766847E+06          2.67114132E+05
      34000.0000          3.37170540E+05          3.32602836E+06          2.64770232E+06          2.74408422E+05
      35000.0000          3.46083000E+05          3.41452319E+06          2.71734181E+06          2.81662083E+05
      36000.0000          3.54945944E+05          3.50253293E+06          2.78659030E+06          2.88875443E+05
      37000.0000          3.63759764E+05          3.59006112E+06          2.85545110E+06          2.96048821E+05
      38000.0000          3.72524850E+05          3.67711128E+06          2.92392744E+06          3.03182534E+05
      39000.0000          3.81241583E+05          3.76368688E+06          2.99202252E+06          3.10276892E+05
      40000.0000          3.89910341E+05          3.84979139E+06          3.05973947E+06          3.17332204E+05
      41000.0000          3.98531495E+05          3.93542821E+06          3.12708136E+06          3.24348771E+05
      42000.0000          4.07105414E+05          4.02060073E+06          3.19405123E+06          3.31326892E+05
      43000.0000          4.15632458E+05          4.10531231E+06          3.26065205E+06          3.38266863E+05
      44000.0000          4.24112986E+05          4.18956627E+06          3.32688676E+06          3.45168975E+05
      45000.0000          4.32547352E+05          4.27336591E+06          3.39275826E+06          3.52033515E+05
