#Energy      B-K-shell   C-K-shell   Valence  Total
        600.0000          8.83514670E+02          3.23272027E+03          1.29742253E+01          1.27360835E+01
        610.0000          8.73877953E+02          3.12571064E+03          1.31356701E+01          1.28877874E+01
        620.0000          8.65067929E+02          3.02755906E+03          1.32967328E+01          1.30390468E+01
        630.0000          8.57014348E+02          2.93734653E+03          1.34602717E+01          1.31926138E+01
        640.0000          8.49654715E+02          2.85427166E+03          1.36205537E+01          1.33429839E+01
        650.0000          8.42932756E+02          2.77763031E+03          1.37832849E+01          1.34956411E+01
        660.0000          8.36797859E+02          2.70680733E+03          1.39428198E+01          1.36451757E+01
        670.0000          8.31204542E+02          2.64125785E+03          1.41020145E+01          1.37943335E+01
        680.0000          8.26111276E+02          2.58050045E+03          1.42635938E+01          1.39457233E+01
        690.0000          8.21480794E+02          2.52410567E+03          1.44247994E+01          1.40967080E+01
        700.0000          8.17279530E+02          2.47169542E+03          1.45829343E+01          1.42447185E+01
        710.0000          8.13476190E+02          2.42292712E+03          1.47434203E+01          1.43949343E+01
        720.0000          8.10042703E+02          2.37749834E+03          1.49008966E+01          1.45422460E+01
        730.0000          8.06954032E+02          2.33513522E+03          1.50606905E+01          1.46917336E+01
        740.0000          8.04186098E+02          2.29559061E+03          1.52201393E+01          1.48408617E+01
        750.0000          8.01717943E+02          2.25864529E+03          1.53766603E+01          1.49871802E+01
        760.0000          7.99529561E+02          2.22409682E+03          1.55354538E+01          1.51356338E+01
        770.0000          7.97603256E+02          2.19176479E+03          1.56939239E+01          1.52837574E+01
        780.0000          7.95922125E+02          2.16148459E+03          1.58495394E+01          1.54291545E+01
        790.0000          7.94471182E+02          2.13310640E+03          1.60073859E+01          1.55766489E+01
        800.0000          7.93236118E+02          2.10649418E+03          1.61649267E+01          1.57238368E+01
        810.0000          7.92204165E+02          2.08152341E+03          1.63196853E+01          1.58683788E+01
        820.0000          7.91363091E+02          2.05808100E+03          1.64766330E+01          1.60149789E+01
        830.0000          7.90701782E+02          2.03606357E+03          1.66332881E+01          1.61612904E+01
        840.0000          7.90209988E+02          2.01537467E+03          1.67896586E+01          1.63073227E+01
        850.0000          7.89878039E+02          1.99592790E+03          1.69457474E+01          1.64530799E+01
        860.0000          7.89697125E+02          1.97764287E+03          1.70991412E+01          1.65962901E+01
        870.0000          7.89658883E+02          1.96044601E+03          1.72546784E+01          1.67415141E+01
        880.0000          7.89755600E+02          1.94426859E+03          1.74099475E+01          1.68864797E+01
        890.0000          7.89980141E+02          1.92904831E+03          1.75649519E+01          1.70311914E+01
        900.0000          7.90325734E+02          1.91472713E+03          1.77196942E+01          1.71756525E+01
        910.0000          7.90786104E+02          1.90125124E+03          1.78741768E+01          1.73198662E+01
        920.0000          7.91355414E+02          1.88857070E+03          1.80284024E+01          1.74638362E+01
        930.0000          7.92028164E+02          1.87664054E+03          1.81823745E+01          1.76075664E+01
        940.0000          7.92799199E+02          1.86541675E+03          1.83337850E+01          1.77488944E+01
        950.0000          7.93663663E+02          1.85485997E+03          1.84872752E+01          1.78921721E+01
        960.0000          7.94617080E+02          1.84493383E+03          1.86405249E+01          1.80352244E+01
        970.0000          7.95655158E+02          1.83560307E+03          1.87935371E+01          1.81780545E+01
        980.0000          7.96773878E+02          1.82683596E+03          1.89463146E+01          1.83206658E+01
        990.0000          7.97969509E+02          1.81860298E+03          1.90988604E+01          1.84630616E+01
       1000.0000          7.99238482E+02          1.81087563E+03          1.92511776E+01          1.86052451E+01
       1100.0000          8.15310906E+02          1.75642260E+03          2.07645254E+01          2.00180467E+01
       1200.0000          8.35979019E+02          1.73195886E+03          2.22577955E+01          2.14125140E+01
       1300.0000          8.59729120E+02          1.72682629E+03          2.37351572E+01          2.27926213E+01
       1400.0000          8.85616176E+02          1.73475556E+03          2.51962633E+01          2.41580718E+01
       1500.0000          9.13023257E+02          1.75185038E+03          2.66445015E+01          2.55119723E+01
       1600.0000          9.41532574E+02          1.77557640E+03          2.80810240E+01          2.68553469E+01
       1700.0000          9.70852631E+02          1.80422158E+03          2.95049509E+01          2.81873597E+01
       1800.0000          1.00077484E+03          1.83659235E+03          3.09172420E+01          2.95088628E+01
       1900.0000          1.03114674E+03          1.87183360E+03          3.23203748E+01          3.08220884E+01
       2000.0000          1.06185485E+03          1.90931869E+03          3.37135030E+01          3.21262423E+01
       2100.0000          1.09281341E+03          1.94857880E+03          3.50971183E+01          3.34217545E+01
       2200.0000          1.12395674E+03          1.98925732E+03          3.64717554E+01          3.47090961E+01
       2300.0000          1.15494091E+03          2.03107856E+03          3.78397271E+01          3.59900643E+01
       2400.0000          1.18626312E+03          2.07382672E+03          3.91980986E+01          3.72625095E+01
       2500.0000          1.21746484E+03          2.11733072E+03          4.05504584E+01          3.85292530E+01
       2600.0000          1.24855218E+03          2.16145356E+03          4.18957105E+01          3.97893214E+01
       2700.0000          1.28069618E+03          2.20608441E+03          4.32341672E+01          4.10442112E+01
       2800.0000          1.31153192E+03          2.25113289E+03          4.45677474E+01          4.22932437E+01
       2900.0000          1.34337305E+03          2.29652475E+03          4.58934558E+01          4.35361176E+01
       3000.0000          1.37506203E+03          2.34219850E+03          4.72147872E+01          4.47747938E+01
       3100.0000          1.40660601E+03          2.38810299E+03          4.85300867E+01          4.60077943E+01
       3200.0000          1.43801179E+03          2.43419536E+03          4.98389169E+01          4.72347380E+01
       3300.0000          1.46928581E+03          2.47843691E+03          5.11435263E+01          4.84568911E+01
       3400.0000          1.50043416E+03          2.52415729E+03          5.24431658E+01          4.96748604E+01
       3500.0000          1.53146257E+03          2.57265426E+03          5.37381443E+01          5.08894718E+01
       3600.0000          1.56333400E+03          2.61813105E+03          5.50301992E+01          5.21011051E+01
       3700.0000          1.59411699E+03          2.66627549E+03          5.63150842E+01          5.33060598E+01
       3800.0000          1.62479565E+03          2.71152663E+03          5.75969138E+01          5.45069053E+01
       3900.0000          1.65628089E+03          2.75934064E+03          5.88734784E+01          5.57048919E+01
       4000.0000          1.68674349E+03          2.80438379E+03          6.01473413E+01          5.68980921E+01
       4100.0000          1.71799179E+03          2.85188884E+03          6.14162438E+01          5.80886833E+01
       4200.0000          1.74912346E+03          2.89922982E+03          6.26827590E+01          5.92768782E+01
       4300.0000          1.78014238E+03          2.94395709E+03          6.39462189E+01          6.04610534E+01
       4400.0000          1.81020236E+03          2.99101958E+03          6.52033234E+01          6.16393599E+01
       4500.0000          1.84101590E+03          3.03793308E+03          6.64583252E+01          6.28165431E+01
       4600.0000          1.87172737E+03          3.08470234E+03          6.77108261E+01          6.39912633E+01
       4700.0000          1.90233998E+03          3.13133195E+03          6.89599039E+01          6.51627045E+01
       4800.0000          1.93285681E+03          3.17782634E+03          7.02038861E+01          6.63293812E+01
       4900.0000          1.96328079E+03          3.22418977E+03          7.14459923E+01          6.74941756E+01
       5000.0000          1.99361473E+03          3.27042633E+03          7.26843614E+01          6.86554329E+01
       5100.0000          2.02386132E+03          3.31653996E+03          7.39213930E+01          6.98153011E+01
       5200.0000          2.05402313E+03          3.36253443E+03          7.51542666E+01          7.09712700E+01
       5300.0000          2.08410261E+03          3.41053898E+03          7.63841147E+01          7.21253074E+01
       5400.0000          2.11410211E+03          3.45627462E+03          7.76125077E+01          7.32769077E+01
       5500.0000          2.14477155E+03          3.50190192E+03          7.88381752E+01          7.44268041E+01
       5600.0000          2.17460852E+03          3.54742407E+03          8.00586481E+01          7.55709926E+01
       5700.0000          2.20437205E+03          3.59487352E+03          8.12787322E+01          7.67155946E+01
       5800.0000          2.23479296E+03          3.64016408E+03          8.24962693E+01          7.78577174E+01
       5900.0000          2.26440618E+03          3.68535874E+03          8.37115129E+01          7.89967473E+01
