#Energy      V   O  Total
       2900.0000          6.52481082E+01          8.06599546E+01          3.60700385E+01
       3000.0000          6.69891798E+01          8.32987104E+01          3.71294871E+01
       3100.0000          6.87234510E+01          8.59344398E+01          3.81856447E+01
       3200.0000          7.04511718E+01          8.85672154E+01          3.92386328E+01
       3300.0000          7.21725760E+01          9.11971043E+01          4.02885648E+01
       3400.0000          7.38878828E+01          9.38241690E+01          4.13355458E+01
       3500.0000          7.55972976E+01          9.64484674E+01          4.23796743E+01
       3600.0000          7.73010131E+01          9.90700537E+01          4.34210421E+01
       3700.0000          7.89992110E+01          1.01688978E+02          4.44597353E+01
       3800.0000          8.06920621E+01          1.04305289E+02          4.54958344E+01
       3900.0000          8.23797274E+01          1.06919030E+02          4.65294155E+01
       4000.0000          8.40623590E+01          1.09530242E+02          4.75605497E+01
       4100.0000          8.57401006E+01          1.12138966E+02          4.85893045E+01
       4200.0000          8.74130882E+01          1.14745238E+02          4.96157432E+01
       4300.0000          8.90814507E+01          1.17349093E+02          5.06399259E+01
       4400.0000          9.07453102E+01          1.19950564E+02          5.16619092E+01
       4500.0000          9.24047826E+01          1.22549682E+02          5.26817470E+01
       4600.0000          9.40599781E+01          1.25146477E+02          5.36994903E+01
       4700.0000          9.57110016E+01          1.27740978E+02          5.47151874E+01
       4800.0000          9.73579528E+01          1.30333210E+02          5.57288845E+01
       4900.0000          9.90009268E+01          1.32923199E+02          5.67406253E+01
       5000.0000          1.00640014E+02          1.35510970E+02          5.77504515E+01
       5100.0000          1.02275302E+02          1.38096546E+02          5.87584031E+01
       5200.0000          1.03906872E+02          1.40679948E+02          5.97645178E+01
       5300.0000          1.05534804E+02          1.43261198E+02          6.07688321E+01
       5400.0000          1.07159174E+02          1.45840316E+02          6.17713806E+01
       5469.9990          1.08294136E+02          1.47644414E+02          6.24721216E+01
       5470.0010          1.08294168E+02          1.47644465E+02          6.24721416E+01
       5500.0000          1.08780054E+02          1.48417320E+02          6.27721964E+01
       5600.0000          1.10397513E+02          1.50992231E+02          6.37713113E+01
       5700.0000          1.12011618E+02          1.53565064E+02          6.47687558E+01
       5800.0000          1.13622433E+02          1.56135838E+02          6.57645591E+01
       5900.0000          1.15230019E+02          1.58704569E+02          6.67587492E+01
       6000.0000          1.16834435E+02          1.61271271E+02          6.77513530E+01
       6100.0000          1.18435739E+02          1.63835962E+02          6.87423964E+01
       6200.0000          1.20033983E+02          1.66398654E+02          6.97319043E+01
       6300.0000          1.21629222E+02          1.68959362E+02          7.07199006E+01
       6400.0000          1.23221505E+02          1.71518100E+02          7.17064083E+01
       6500.0000          1.24810882E+02          1.74074880E+02          7.26914497E+01
       6600.0000          1.26397399E+02          1.76629716E+02          7.36750461E+01
       6700.0000          1.27981102E+02          1.79182618E+02          7.46572183E+01
       6800.0000          1.29562034E+02          1.81733600E+02          7.56379861E+01
       6900.0000          1.31140238E+02          1.84282672E+02          7.66173688E+01
       7000.0000          1.32715754E+02          1.86829846E+02          7.75953850E+01
       7100.0000          1.34288622E+02          1.89375131E+02          7.85720527E+01
       7200.0000          1.35858881E+02          1.91918539E+02          7.95473892E+01
