#Energy      Li-K-shell   Valence  Total
      10000.0000          2.59823774E+03          3.80447492E+02          3.31855485E+02
      11000.0000          2.81845343E+03          4.13954241E+02          3.60941709E+02
      12000.0000          3.03628541E+03          4.47174655E+02          3.89770474E+02
      13000.0000          3.25208813E+03          4.80120187E+02          4.18356380E+02
      14000.0000          3.46595068E+03          5.12819482E+02          4.46722721E+02
      15000.0000          3.67825732E+03          5.45302118E+02          4.74898374E+02
      16000.0000          3.88882977E+03          5.77573838E+02          5.02884766E+02
      17000.0000          4.09799091E+03          6.09644805E+02          5.30695029E+02
      18000.0000          4.30578896E+03          6.41534000E+02          5.58344389E+02
      19000.0000          4.51236831E+03          6.73268873E+02          5.85856090E+02
      20000.0000          4.71773866E+03          7.04853279E+02          6.13233229E+02
      21000.0000          4.92197804E+03          7.36260519E+02          6.40456931E+02
      22000.0000          5.12507277E+03          7.67561409E+02          6.67580569E+02
      23000.0000          5.32729877E+03          7.98732261E+02          6.94590898E+02
      24000.0000          5.52853191E+03          8.29765358E+02          7.21479992E+02
      25000.0000          5.72884964E+03          8.60652705E+02          7.48243142E+02
      26000.0000          5.92835602E+03          8.91450526E+02          7.74924634E+02
      27000.0000          6.12708135E+03          9.22177695E+02          8.01539243E+02
      28000.0000          6.32499509E+03          9.52768587E+02          8.28036867E+02
      29000.0000          6.52206545E+03          9.83222512E+02          8.54416460E+02
      30000.0000          6.71859230E+03          1.01365790E+03          8.80772607E+02
      31000.0000          6.91428342E+03          1.04393852E+03          9.06997425E+02
      32000.0000          7.10943772E+03          1.07414682E+03          9.33158309E+02
      33000.0000          7.30375576E+03          1.10428020E+03          9.59248138E+02
      34000.0000          7.49758161E+03          1.13433316E+03          9.85268699E+02
      35000.0000          7.69098121E+03          1.16430699E+03          1.01122211E+03
      36000.0000          7.88362488E+03          1.19418827E+03          1.03709254E+03
      37000.0000          8.07564531E+03          1.22403649E+03          1.06292718E+03
      38000.0000          8.26730427E+03          1.25381856E+03          1.08870558E+03
      39000.0000          8.45845143E+03          1.28345300E+03          1.11436372E+03
      40000.0000          8.64906228E+03          1.31311903E+03          1.14003629E+03
      41000.0000          8.83914012E+03          1.34263294E+03          1.16558488E+03
      42000.0000          9.02870522E+03          1.37215710E+03          1.19113220E+03
      43000.0000          9.21782137E+03          1.40152586E+03          1.21655453E+03
      44000.0000          9.40650813E+03          1.43094790E+03          1.24200948E+03
      45000.0000          9.59482766E+03          1.46025769E+03          1.26737338E+03
      46000.0000          9.78268657E+03          1.48945055E+03          1.29264112E+03
      47000.0000          9.97005859E+03          1.51861524E+03          1.31787909E+03
      48000.0000          1.01571895E+04          1.54780510E+03          1.34313173E+03
      49000.0000          1.03438859E+04          1.57692196E+03          1.36832177E+03
      50000.0000          1.05301866E+04          1.60595865E+03          1.39344445E+03
