#Energy      Mg   Co   Ni   Cu   Zn   O  Total
         74.0000          2.28438163E+01          6.99790885E+01          7.60390863E+01          8.25651009E+01          1.00000000E+20          5.46260192E+00          3.75387722E+00
         74.9990          2.29116161E+01          6.94701884E+01          7.54575557E+01          8.19049590E+01          1.00000000E+20          5.50055022E+00          3.76928369E+00
         75.0000          2.29116846E+01          6.94696867E+01          7.54569823E+01          8.19043079E+01          1.00000000E+20          5.50058825E+00          3.76929912E+00
         75.0010          2.29117530E+01          6.94691850E+01          7.54564088E+01          8.19036568E+01          1.00000000E+20          5.50062628E+00          3.76931454E+00
         76.0000          2.29807626E+01          6.89754913E+01          7.48919699E+01          8.12626512E+01          1.00000000E+20          5.53866171E+00          3.78472581E+00
         77.0000          2.30510014E+01          6.84959119E+01          7.43433855E+01          8.06393879E+01          1.00000000E+20          5.57681837E+00          3.80015488E+00
         78.0000          2.31223543E+01          6.80303878E+01          7.38105991E+01          8.00338127E+01          1.00000000E+20          5.61505451E+00          3.81558405E+00
         79.0000          2.31947773E+01          6.75783867E+01          7.32930124E+01          7.94452561E+01          1.00000000E+20          5.65336660E+00          3.83101125E+00
         79.9990          2.32681543E+01          6.71398352E+01          7.27905529E+01          7.88736457E+01          1.00000000E+20          5.69171288E+00          3.84641911E+00
         80.0000          2.32682282E+01          6.71394026E+01          7.27900571E+01          7.88730815E+01          1.00000000E+20          5.69175130E+00          3.84643453E+00
         80.0010          2.32683022E+01          6.71389699E+01          7.27895613E+01          7.88725173E+01          1.00000000E+20          5.69178972E+00          3.84644995E+00
         81.0000          2.33426672E+01          6.67129544E+01          7.23011925E+01          7.83166840E+01          1.00000000E+20          5.73020541E+00          3.86185207E+00
         81.9990          2.34179804E+01          6.62989930E+01          7.18263730E+01          7.77760214E+01          1.00000000E+20          5.76868738E+00          3.87724679E+00
         82.0000          2.34180562E+01          6.62985845E+01          7.18259043E+01          7.77754876E+01          1.00000000E+20          5.76872593E+00          3.87726220E+00
         82.0010          2.34181321E+01          6.62981761E+01          7.18254356E+01          7.77749538E+01          1.00000000E+20          5.76876448E+00          3.87727760E+00
         83.0000          2.34943592E+01          6.58958570E+01          7.13637027E+01          7.72489443E+01          1.00000000E+20          5.80730997E+00          3.89266336E+00
         84.0000          2.35715416E+01          6.55043566E+01          7.09141212E+01          7.67365318E+01          1.00000000E+20          5.84595481E+00          3.90805410E+00
         85.0000          2.36495707E+01          6.51236877E+01          7.04767150E+01          7.62377523E+01          1.00000000E+20          5.88465784E+00          3.92343309E+00
         86.0000          2.37284151E+01          6.47534726E+01          7.00510601E+01          7.57521310E+01          1.00000000E+20          5.92341658E+00          3.93879910E+00
         87.0000          2.38080450E+01          6.43933512E+01          6.96367517E+01          7.52792150E+01          1.00000000E+20          5.96222867E+00          3.95415096E+00
         88.0000          2.38884318E+01          6.40429796E+01          6.92334033E+01          7.48185715E+01          1.00000000E+20          6.00109187E+00          3.96948762E+00
         89.0000          2.39695484E+01          6.37020291E+01          6.88406458E+01          7.43697875E+01          1.00000000E+20          6.04000403E+00          3.98480809E+00
         90.0000          2.40513687E+01          6.33701857E+01          6.84581262E+01          7.39324678E+01          1.00000000E+20          6.07896310E+00          4.00011149E+00
         90.9990          2.41337851E+01          6.30474678E+01          6.80858750E+01          7.35066557E+01          1.00000000E+20          6.11792811E+00          4.01538168E+00
         91.0000          2.41338679E+01          6.30471491E+01          6.80855072E+01          7.35062349E+01          1.00000000E+20          6.11796713E+00          4.01539696E+00
         91.0010          2.41339507E+01          6.30468303E+01          6.80851394E+01          7.35058141E+01          1.00000000E+20          6.11800616E+00          4.01541224E+00
         91.9990          2.42169387E+01          6.27329422E+01          6.77228242E+01          7.30911376E+01          1.00000000E+20          6.15697519E+00          4.03064849E+00
         92.0000          2.42170222E+01          6.27326319E+01          6.77224658E+01          7.30907274E+01          1.00000000E+20          6.15701426E+00          4.03066375E+00
         92.0010          2.42171056E+01          6.27323215E+01          6.77221075E+01          7.30903171E+01          1.00000000E+20          6.15705333E+00          4.03067900E+00
         93.0000          2.43008088E+01          6.24263590E+01          6.73686931E+01          7.26855993E+01          1.00000000E+20          6.19610269E+00          4.04591114E+00
         93.9990          2.43851212E+01          6.21283615E+01          6.70242335E+01          7.22909096E+01          1.00000000E+20          6.23519159E+00          4.06112329E+00
         94.0000          2.43852059E+01          6.21280671E+01          6.70238931E+01          7.22905194E+01          1.00000000E+20          6.23523074E+00          4.06113851E+00
         94.0010          2.43852906E+01          6.21277727E+01          6.70235527E+01          7.22901292E+01          1.00000000E+20          6.23526988E+00          4.06115372E+00
         95.0000          2.44701928E+01          6.18375038E+01          6.66877822E+01          7.19051704E+01          1.00000000E+20          6.27439676E+00          4.07634524E+00
         96.0000          2.45557493E+01          6.15544271E+01          6.63600886E+01          7.15292479E+01          1.00000000E+20          6.31359921E+00          4.09153080E+00
         97.0000          2.46418564E+01          6.12786051E+01          6.60405517E+01          7.11624604E+01          1.00000000E+20          6.35283659E+00          4.10669471E+00
         98.0000          2.47284956E+01          6.10098152E+01          6.57289214E+01          7.08045278E+01          1.00000000E+20          6.39210748E+00          4.12183651E+00
         99.0000          2.48156494E+01          6.07478437E+01          6.54249577E+01          7.04551816E+01          1.00000000E+20          6.43141051E+00          4.13695580E+00
        100.0000          2.49033008E+01          6.04924856E+01          6.51284301E+01          7.01141638E+01          1.00000000E+20          6.47074437E+00          4.15205222E+00
        106.9990          2.55294171E+01          5.88747357E+01          6.32436383E+01          6.79408699E+01          1.00000000E+20          6.74680610E+00          4.25704838E+00
        107.0010          2.55295989E+01          5.88743126E+01          6.32431438E+01          6.79402982E+01          1.00000000E+20          6.74688515E+00          4.25707821E+00
        110.0000          2.58039083E+01          5.82628191E+01          6.25274059E+01          6.71119799E+01          1.00000000E+20          6.86552678E+00          4.30170197E+00
        116.9990          2.64558604E+01          5.69984720E+01          6.10400868E+01          6.53839484E+01          1.00000000E+20          7.14305819E+00          4.40497298E+00
        117.0010          2.64560488E+01          5.69981404E+01          6.10396953E+01          6.53834921E+01          1.00000000E+20          7.14313760E+00          4.40500232E+00
        120.0000          2.67398303E+01          5.65185311E+01          6.04723114E+01          6.47213877E+01          1.00000000E+20          7.26228831E+00          4.44887970E+00
        126.9990          2.74108506E+01          5.55246439E+01          5.92892794E+01          6.33343249E+01          1.00000000E+20          7.54078156E+00          4.55042164E+00
