#Energy      In   O   Sn  Total
       8800.0000          1.58952603E+02          3.78194776E+02          1.53587593E+03          1.04314250E+02
       8900.0000          1.60122850E+02          3.82284601E+02          1.54708506E+03          1.05180852E+02
       9000.0000          1.61289973E+02          3.86371603E+02          1.55826389E+03          1.06045268E+02
       9100.0000          1.62454011E+02          3.90455793E+02          1.56941280E+03          1.06907524E+02
       9200.0000          1.63615002E+02          3.94537181E+02          1.58053216E+03          1.07767648E+02
       9300.0000          1.64772982E+02          3.98615776E+02          1.59162232E+03          1.08625667E+02
       9400.0000          1.65927988E+02          4.02691588E+02          1.60268363E+03          1.09481608E+02
       9500.0000          1.67080056E+02          4.06764626E+02          1.61371644E+03          1.10335495E+02
       9600.0000          1.68229221E+02          4.10834899E+02          1.62472108E+03          1.11187354E+02
       9700.0000          1.69375517E+02          4.14902416E+02          1.63569789E+03          1.12037209E+02
       9800.0000          1.70518976E+02          4.18967186E+02          1.64664719E+03          1.12885083E+02
       9900.0000          1.71659632E+02          4.23029217E+02          1.65756928E+03          1.13731001E+02
      10000.0000          1.72797517E+02          4.27088517E+02          1.66846449E+03          1.14574984E+02
      11000.0000          1.84030518E+02          4.67533063E+02          1.77600140E+03          1.22913087E+02
      12000.0000          1.95017141E+02          5.07712663E+02          1.88114741E+03          1.31079417E+02
      13000.0000          2.05780566E+02          5.47633576E+02          1.98412744E+03          1.39090110E+02
      14000.0000          2.16340122E+02          5.87301195E+02          2.08512923E+03          1.46958513E+02
      15000.0000          2.26712114E+02          6.26720259E+02          2.18431137E+03          1.54695821E+02
      16000.0000          2.36910447E+02          6.65894997E+02          2.28180915E+03          1.62311544E+02
      17000.0000          2.46947092E+02          7.04829235E+02          2.37773914E+03          1.69813845E+02
      18000.0000          2.56832448E+02          7.43526472E+02          2.47220263E+03          1.77209804E+02
      19000.0000          2.66575613E+02          7.81989943E+02          2.56528831E+03          1.84505609E+02
      20000.0000          2.76184614E+02          8.20222660E+02          2.65707438E+03          1.91706713E+02
      21000.0000          2.85666570E+02          8.58227452E+02          2.74763028E+03          1.98817953E+02
      22000.0000          2.95027838E+02          8.96006989E+02          2.83701798E+03          2.05843647E+02
      23000.0000          3.04274124E+02          9.33563808E+02          2.92529313E+03          2.12787675E+02
      24000.0000          3.13410576E+02          9.70900328E+02          3.01250594E+03          2.19653536E+02
      25000.0000          3.22441859E+02          1.00801887E+03          3.09870191E+03          2.26444403E+02
      26000.0000          3.31372221E+02          1.04492165E+03          3.18392245E+03          2.33163170E+02
      27000.0000          3.40205542E+02          1.08161083E+03          3.26820544E+03          2.39812480E+02
      27943.9990          3.48458358E+02          1.11605125E+03          3.34693952E+03          2.46027881E+02
      27944.0010          3.48458376E+02          1.11605133E+03          3.34693969E+03          2.46027894E+02
      28000.0000          3.48945385E+02          1.11808848E+03          3.35158559E+03          2.46394763E+02
      29000.0000          3.57595026E+02          1.15435662E+03          3.43409486E+03          2.52912256E+02
      29203.9990          3.59348744E+02          1.16172973E+03          3.45082243E+03          2.54234051E+02
      29204.0010          3.59348761E+02          1.16172980E+03          3.45082259E+03          2.54234064E+02
      30000.0000          3.66157493E+02          1.19041720E+03          3.51576279E+03          2.59367030E+02
      31000.0000          3.74635589E+02          1.22627212E+03          3.59661669E+03          2.65761001E+02
      32000.0000          3.83031921E+02          1.26192323E+03          3.67668197E+03          2.72095956E+02
      33000.0000          3.91348914E+02          1.29737236E+03          3.75598229E+03          2.78373558E+02
      34000.0000          3.99588834E+02          1.33262126E+03          3.83453972E+03          2.84595364E+02
      35000.0000          4.07753803E+02          1.36767168E+03          3.91237495E+03          2.90762832E+02
      36000.0000          4.15845810E+02          1.40252529E+03          3.98950734E+03          2.96877331E+02
      37000.0000          4.23866728E+02          1.43718378E+03          4.06595514E+03          3.02940153E+02
      38000.0000          4.31818318E+02          1.47164877E+03          4.14173552E+03          3.08952512E+02
      39000.0000          4.39702244E+02          1.50592187E+03          4.21686466E+03          3.14915560E+02
      40000.0000          4.47520079E+02          1.54000464E+03          4.29135790E+03          3.20830384E+02
      41000.0000          4.55273315E+02          1.57389865E+03          4.36522973E+03          3.26698017E+02
      42000.0000          4.62963365E+02          1.60760541E+03          4.43849392E+03          3.32519441E+02
      43000.0000          4.70591573E+02          1.64112642E+03          4.51116355E+03          3.38295588E+02
      44000.0000          4.78159218E+02          1.67446317E+03          4.58325106E+03          3.44027348E+02
      45000.0000          4.85667519E+02          1.70761711E+03          4.65476829E+03          3.49715571E+02
      46000.0000          4.93117639E+02          1.74058968E+03          4.72572657E+03          3.55361066E+02
      47000.0000          5.00510690E+02          1.77338229E+03          4.79613670E+03          3.60964612E+02
      48000.0000          5.07847736E+02          1.80599633E+03          4.86600901E+03          3.66526950E+02
      49000.0000          5.15129795E+02          1.83843320E+03          4.93535341E+03          3.72048794E+02
      50000.0000          5.22357845E+02          1.87069425E+03          5.00417940E+03          3.77530829E+02
