#Energy      Si   O  Total
       2400.0000          1.04982034E+02          9.04779401E+01          4.85959247E+01
       2500.0000          1.08810228E+02          9.40413660E+01          5.04440821E+01
       2600.0000          1.12628558E+02          9.76001009E+01          5.22885827E+01
       2700.0000          1.16437443E+02          1.01154294E+02          5.41295708E+01
       2800.0000          1.20237264E+02          1.04704081E+02          5.59671778E+01
       2900.0000          1.24028373E+02          1.08249587E+02          5.78015243E+01
       3000.0000          1.27811094E+02          1.11790926E+02          5.96327214E+01
       3100.0000          1.31585724E+02          1.15328203E+02          6.14608712E+01
       3200.0000          1.35352540E+02          1.18861516E+02          6.32860682E+01
       3300.0000          1.39111799E+02          1.22390955E+02          6.51084000E+01
       3400.0000          1.42863738E+02          1.25916604E+02          6.69279478E+01
       3500.0000          1.46608581E+02          1.29438540E+02          6.87447875E+01
       3600.0000          1.50346534E+02          1.32956836E+02          7.05589894E+01
       3700.0000          1.54077791E+02          1.36471561E+02          7.23706197E+01
       3800.0000          1.57802535E+02          1.39982777E+02          7.41797401E+01
       3900.0000          1.61520935E+02          1.43490544E+02          7.59864085E+01
       4000.0000          1.65233152E+02          1.46994919E+02          7.77906793E+01
       4100.0000          1.68939336E+02          1.50495953E+02          7.95926037E+01
       4200.0000          1.72639631E+02          1.53993697E+02          8.13922300E+01
       4300.0000          1.76334170E+02          1.57488197E+02          8.31896038E+01
       4400.0000          1.80023080E+02          1.60979497E+02          8.49847680E+01
       4500.0000          1.83706482E+02          1.64467641E+02          8.67777634E+01
       4600.0000          1.87384489E+02          1.67952666E+02          8.85686286E+01
       4700.0000          1.91057209E+02          1.71434612E+02          9.03574001E+01
       4800.0000          1.94724745E+02          1.74913514E+02          9.21441129E+01
       4900.0000          1.98387195E+02          1.78389406E+02          9.39287998E+01
       5000.0000          2.02044652E+02          1.81862321E+02          9.57114925E+01
       5100.0000          2.05697204E+02          1.85332289E+02          9.74922208E+01
       5200.0000          2.09344935E+02          1.88799341E+02          9.92710133E+01
       5300.0000          2.12987926E+02          1.92263504E+02          1.01047897E+02
       5400.0000          2.16626255E+02          1.95724805E+02          1.02822899E+02
       5500.0000          2.20259994E+02          1.99183271E+02          1.04596044E+02
       5600.0000          2.23889215E+02          2.02638926E+02          1.06367355E+02
       5700.0000          2.27513984E+02          2.06091794E+02          1.08136855E+02
       5800.0000          2.31134368E+02          2.09541898E+02          1.09904567E+02
       5900.0000          2.34750426E+02          2.12989259E+02          1.11670511E+02
       6000.0000          2.38362220E+02          2.16433899E+02          1.13434707E+02
       6100.0000          2.41969807E+02          2.19875838E+02          1.15197176E+02
       6200.0000          2.45573242E+02          2.23315096E+02          1.16957936E+02
       6300.0000          2.49172577E+02          2.26751691E+02          1.18717004E+02
       6400.0000          2.52767864E+02          2.30185642E+02          1.20474398E+02
       6500.0000          2.56359151E+02          2.33616966E+02          1.22230135E+02
       6600.0000          2.59946487E+02          2.37045679E+02          1.23984231E+02
       6700.0000          2.63529917E+02          2.40471799E+02          1.25736701E+02
       6800.0000          2.67109484E+02          2.43895341E+02          1.27487561E+02
       6900.0000          2.70685232E+02          2.47316320E+02          1.29236824E+02
       7000.0000          2.74257202E+02          2.50734751E+02          1.30984505E+02
       7100.0000          2.77825433E+02          2.54150648E+02          1.32730618E+02
       7200.0000          2.81389964E+02          2.57564025E+02          1.34475175E+02
       7300.0000          2.84950832E+02          2.60974896E+02          1.36218189E+02
       7400.0000          2.88508072E+02          2.64383274E+02          1.37959672E+02
       7500.0000          2.92061721E+02          2.67789171E+02          1.39699637E+02
       7600.0000          2.95611811E+02          2.71192600E+02          1.41438094E+02
       7700.0000          2.99158375E+02          2.74593572E+02          1.43175055E+02
       7800.0000          3.02701446E+02          2.77992099E+02          1.44910532E+02
       7900.0000          3.06241053E+02          2.81388193E+02          1.46644533E+02
       8000.0000          3.09777227E+02          2.84781864E+02          1.48377070E+02
       8100.0000          3.13309997E+02          2.88173123E+02          1.50108153E+02
       8200.0000          3.16839391E+02          2.91561980E+02          1.51837791E+02
       8300.0000          3.20365436E+02          2.94948446E+02          1.53565993E+02
       8400.0000          3.23888159E+02          2.98332531E+02          1.55292770E+02
       8500.0000          3.27407587E+02          3.01714243E+02          1.57018128E+02
       8600.0000          3.30923743E+02          3.05093593E+02          1.58742078E+02
       8700.0000          3.34436653E+02          3.08470589E+02          1.60464628E+02
