#Energy      O  Total
        960.0000          7.41939669E+00          7.41939669E+00
        970.0000          7.49014402E+00          7.49014402E+00
        980.0000          7.56086813E+00          7.56086813E+00
        990.0000          7.63156927E+00          7.63156927E+00
       1000.0000          7.70224770E+00          7.70224770E+00
       1100.0000          8.40783508E+00          8.40783508E+00
       1200.0000          9.11139495E+00          9.11139495E+00
       1300.0000          9.81310985E+00          9.81310985E+00
       1400.0000          1.05131312E+01          1.05131312E+01
       1500.0000          1.12115860E+01          1.12115860E+01
       1600.0000          1.19085823E+01          1.19085823E+01
       1700.0000          1.26042127E+01          1.26042127E+01
       1800.0000          1.32985573E+01          1.32985573E+01
       1900.0000          1.39916857E+01          1.39916857E+01
       2000.0000          1.46836595E+01          1.46836595E+01
       2100.0000          1.53745326E+01          1.53745326E+01
       2200.0000          1.60643533E+01          1.60643533E+01
       2300.0000          1.67531647E+01          1.67531647E+01
       2400.0000          1.74410053E+01          1.74410053E+01
       2500.0000          1.81279101E+01          1.81279101E+01
       2600.0000          1.88139106E+01          1.88139106E+01
       2700.0000          1.94990356E+01          1.94990356E+01
       2800.0000          2.01833113E+01          2.01833113E+01
       2900.0000          2.08667617E+01          2.08667617E+01
       3000.0000          2.15494089E+01          2.15494089E+01
       3100.0000          2.22312731E+01          2.22312731E+01
       3200.0000          2.29123732E+01          2.29123732E+01
       3300.0000          2.35927265E+01          2.35927265E+01
       3400.0000          2.42723491E+01          2.42723491E+01
       3500.0000          2.49512561E+01          2.49512561E+01
       3600.0000          2.56294615E+01          2.56294615E+01
       3700.0000          2.63069784E+01          2.63069784E+01
       3800.0000          2.69838189E+01          2.69838189E+01
       3900.0000          2.76599947E+01          2.76599947E+01
       4000.0000          2.83355164E+01          2.83355164E+01
       4100.0000          2.90103942E+01          2.90103942E+01
       4200.0000          2.96846377E+01          2.96846377E+01
       4300.0000          3.03582560E+01          3.03582560E+01
       4400.0000          3.10312576E+01          3.10312576E+01
       4500.0000          3.17036505E+01          3.17036505E+01
       4600.0000          3.23754425E+01          3.23754425E+01
       4700.0000          3.30466407E+01          3.30466407E+01
       4800.0000          3.37172522E+01          3.37172522E+01
       4900.0000          3.43872835E+01          3.43872835E+01
       5000.0000          3.50567409E+01          3.50567409E+01
       5100.0000          3.57256303E+01          3.57256303E+01
       5200.0000          3.63939574E+01          3.63939574E+01
       5300.0000          3.70617278E+01          3.70617278E+01
       5400.0000          3.77289465E+01          3.77289465E+01
       5500.0000          3.83956186E+01          3.83956186E+01
       5600.0000          3.90617489E+01          3.90617489E+01
       5700.0000          3.97273420E+01          3.97273420E+01
       5800.0000          4.03924022E+01          4.03924022E+01
       5900.0000          4.10569338E+01          4.10569338E+01
       6000.0000          4.17209408E+01          4.17209408E+01
       6100.0000          4.23844272E+01          4.23844272E+01
       6200.0000          4.30473966E+01          4.30473966E+01
       6300.0000          4.37098529E+01          4.37098529E+01
       6400.0000          4.43717993E+01          4.43717993E+01
       6500.0000          4.50332394E+01          4.50332394E+01
       6600.0000          4.56941763E+01          4.56941763E+01
       6700.0000          4.63546132E+01          4.63546132E+01
       6800.0000          4.70145532E+01          4.70145532E+01
       6900.0000          4.76739991E+01          4.76739991E+01
       7000.0000          4.83329539E+01          4.83329539E+01
