#Energy      Nb  Total
       3300.0000          3.30299200E+01          3.30299200E+01
       3400.0000          3.36342556E+01          3.36342556E+01
       3500.0000          3.42354433E+01          3.42354433E+01
       3600.0000          3.48335489E+01          3.48335489E+01
       3700.0000          3.54286385E+01          3.54286385E+01
       3800.0000          3.60207775E+01          3.60207775E+01
       3900.0000          3.66100307E+01          3.66100307E+01
       4000.0000          3.71964617E+01          3.71964617E+01
       4100.0000          3.77801329E+01          3.77801329E+01
       4200.0000          3.83611054E+01          3.83611054E+01
       4300.0000          3.89394386E+01          3.89394386E+01
       4400.0000          3.95151906E+01          3.95151906E+01
       4500.0000          4.00884177E+01          4.00884177E+01
       4600.0000          4.06591747E+01          4.06591747E+01
       4700.0000          4.12275147E+01          4.12275147E+01
       4800.0000          4.17934892E+01          4.17934892E+01
       4900.0000          4.23571484E+01          4.23571484E+01
       5000.0000          4.29185405E+01          4.29185405E+01
       5100.0000          4.34777126E+01          4.34777126E+01
       5200.0000          4.40347101E+01          4.40347101E+01
       5300.0000          4.45895769E+01          4.45895769E+01
       5400.0000          4.51423556E+01          4.51423556E+01
       5500.0000          4.56930877E+01          4.56930877E+01
       5600.0000          4.62418129E+01          4.62418129E+01
       5700.0000          4.67885700E+01          4.67885700E+01
       5800.0000          4.73333965E+01          4.73333965E+01
       5900.0000          4.78763287E+01          4.78763287E+01
       6000.0000          4.84174017E+01          4.84174017E+01
       6100.0000          4.89566497E+01          4.89566497E+01
       6200.0000          4.94941055E+01          4.94941055E+01
       6300.0000          5.00298014E+01          5.00298014E+01
       6400.0000          5.05637682E+01          5.05637682E+01
       6500.0000          5.10960362E+01          5.10960362E+01
       6600.0000          5.16266344E+01          5.16266344E+01
       6700.0000          5.21555912E+01          5.21555912E+01
       6800.0000          5.26829341E+01          5.26829341E+01
       6900.0000          5.32086899E+01          5.32086899E+01
       7000.0000          5.37328843E+01          5.37328843E+01
       7100.0000          5.42555425E+01          5.42555425E+01
       7200.0000          5.47766890E+01          5.47766890E+01
       7300.0000          5.52963476E+01          5.52963476E+01
       7400.0000          5.58145413E+01          5.58145413E+01
       7500.0000          5.63312925E+01          5.63312925E+01
       7600.0000          5.68466231E+01          5.68466231E+01
       7700.0000          5.73605543E+01          5.73605543E+01
       7800.0000          5.78731067E+01          5.78731067E+01
       7900.0000          5.83843004E+01          5.83843004E+01
       8000.0000          5.88941550E+01          5.88941550E+01
       8100.0000          5.94026895E+01          5.94026895E+01
       8200.0000          5.99099225E+01          5.99099225E+01
       8300.0000          6.04158720E+01          6.04158720E+01
       8400.0000          6.09205556E+01          6.09205556E+01
       8500.0000          6.14239905E+01          6.14239905E+01
       8600.0000          6.19261934E+01          6.19261934E+01
       8700.0000          6.24271805E+01          6.24271805E+01
       8800.0000          6.29269678E+01          6.29269678E+01
       8900.0000          6.34255708E+01          6.34255708E+01
       9000.0000          6.39230046E+01          6.39230046E+01
       9100.0000          6.44192839E+01          6.44192839E+01
       9200.0000          6.49144232E+01          6.49144232E+01
       9300.0000          6.54084366E+01          6.54084366E+01
       9400.0000          6.59013377E+01          6.59013377E+01
       9500.0000          6.63931400E+01          6.63931400E+01
       9600.0000          6.68838567E+01          6.68838567E+01
       9700.0000          6.73735004E+01          6.73735004E+01
       9800.0000          6.78620837E+01          6.78620837E+01
       9900.0000          6.83496189E+01          6.83496189E+01
      10000.0000          6.88361180E+01          6.88361180E+01
      11000.0000          7.36465701E+01          7.36465701E+01
      12000.0000          7.83648197E+01          7.83648197E+01
      13000.0000          8.29993843E+01          8.29993843E+01
