#Energy      Al-K-shell   Al-L1-shell   Al-L2-shell   Al-L3-shell   S-K-shell   S-L1-shell   S-L2-shell   S-L3-shell   Valence  Total
         70.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.57131044E+00          5.57131044E+00
         71.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.55793197E+00          5.55793197E+00
         72.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.54634434E+00          5.54634434E+00
         73.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.53644846E+00          5.53644846E+00
         74.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52815105E+00          5.52815105E+00
         75.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52136436E+00          5.52136436E+00
         76.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51600594E+00          5.51600594E+00
         76.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51200156E+00          5.51200156E+00
         77.0000          1.00000000E+30          1.00000000E+30          6.85714446E+09          3.42857223E+09          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51199820E+00          5.51199819E+00
         77.0010          1.00000000E+30          1.00000000E+30          6.85746220E+09          3.42873110E+09          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51199484E+00          5.51199483E+00
         78.0000          1.00000000E+30          1.00000000E+30          4.70162174E+05          2.35081087E+05          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50926825E+00          5.50907459E+00
         79.0000          1.00000000E+30          1.00000000E+30          1.66027648E+05          8.30138239E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50774759E+00          5.50719951E+00
         80.0000          1.00000000E+30          1.00000000E+30          9.00281632E+04          4.50140816E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50737182E+00          5.50636128E+00
         81.0000          1.00000000E+30          1.00000000E+30          5.82223430E+04          2.91111715E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50808043E+00          5.50651761E+00
         82.0000          1.00000000E+30          1.00000000E+30          4.15017322E+04          2.07508661E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50981653E+00          5.50762293E+00
