#Energy      C   H   F  Total
        730.0000          5.72618718E+01          3.30897849E+02          3.88219862E+01          2.16242830E+01
        740.0000          5.79948639E+01          3.35385179E+02          3.92909616E+01          2.18934802E+01
        750.0000          5.87276432E+01          3.39872212E+02          3.97596949E+01          2.21625620E+01
        760.0000          5.94602126E+01          3.44358949E+02          4.02281894E+01          2.24315303E+01
        770.0000          6.01925750E+01          3.48845390E+02          4.06964486E+01          2.27003868E+01
        780.0000          6.09247334E+01          3.53331537E+02          4.11644758E+01          2.29691330E+01
        790.0000          6.16566904E+01          3.57817389E+02          4.16322742E+01          2.32377706E+01
        800.0000          6.23884489E+01          3.62302948E+02          4.20998469E+01          2.35063011E+01
        810.0000          6.31200113E+01          3.66788214E+02          4.25671969E+01          2.37747260E+01
        820.0000          6.38513803E+01          3.71273187E+02          4.30343274E+01          2.40430468E+01
        830.0000          6.45825583E+01          3.75757868E+02          4.35012412E+01          2.43112650E+01
        840.0000          6.53135478E+01          3.80242258E+02          4.39679412E+01          2.45793819E+01
        850.0000          6.60443510E+01          3.84726357E+02          4.44344301E+01          2.48473989E+01
        860.0000          6.67749704E+01          3.89210166E+02          4.49007107E+01          2.51153173E+01
        870.0000          6.75054081E+01          3.93693685E+02          4.53667856E+01          2.53831384E+01
        880.0000          6.82356663E+01          3.98176914E+02          4.58326575E+01          2.56508634E+01
        890.0000          6.89657471E+01          4.02659855E+02          4.62983289E+01          2.59184937E+01
        900.0000          6.96956526E+01          4.07142507E+02          4.67638022E+01          2.61860303E+01
        910.0000          7.04253848E+01          4.11624871E+02          4.72290799E+01          2.64534745E+01
        920.0000          7.11549457E+01          4.16106948E+02          4.76941644E+01          2.67208274E+01
        930.0000          7.18843372E+01          4.20588737E+02          4.81590580E+01          2.69880901E+01
        940.0000          7.26135612E+01          4.25070239E+02          4.86237629E+01          2.72552637E+01
        950.0000          7.33426194E+01          4.29551455E+02          4.90882815E+01          2.75223492E+01
        960.0000          7.40715138E+01          4.34032386E+02          4.95526158E+01          2.77893478E+01
        970.0000          7.48002460E+01          4.38513030E+02          5.00167680E+01          2.80562603E+01
        980.0000          7.55288177E+01          4.42993389E+02          5.04807402E+01          2.83230879E+01
        990.0000          7.62572307E+01          4.47473464E+02          5.09445343E+01          2.85898314E+01
       1000.0000          7.69854864E+01          4.51953254E+02          5.14081525E+01          2.88564918E+01
       1100.0000          8.42597333E+01          4.96735579E+02          5.60350652E+01          3.15187198E+01
       1200.0000          9.15198126E+01          5.41489789E+02          6.06462964E+01          3.41735402E+01
       1300.0000          9.87668758E+01          5.86216138E+02          6.52432895E+01          3.68216247E+01
       1400.0000          1.06001872E+02          6.30914831E+02          6.98272463E+01          3.94635280E+01
       1500.0000          1.13225594E+02          6.75586044E+02          7.43991793E+01          4.20997144E+01
       1600.0000          1.20438712E+02          7.20229928E+02          7.89599504E+01          4.47305770E+01
       1700.0000          1.27641800E+02          7.64846613E+02          8.35102999E+01          4.73564523E+01
       1800.0000          1.34835352E+02          8.09436214E+02          8.80508698E+01          4.99776308E+01
       1900.0000          1.42019798E+02          8.53998833E+02          9.25822201E+01          5.25943654E+01
