#Energy      C   H  Total
       6700.0000          3.62264294E+02          1.11930036E+03          2.73685359E+02
       6800.0000          3.67478849E+02          1.13565935E+03          2.77639668E+02
       6900.0000          3.72689880E+02          1.15200882E+03          2.81591392E+02
       7000.0000          3.77897400E+02          1.16834878E+03          2.85540538E+02
       7100.0000          3.83101423E+02          1.18467923E+03          2.89487116E+02
       7200.0000          3.88301962E+02          1.20100019E+03          2.93431133E+02
       7300.0000          3.93499030E+02          1.21731166E+03          2.97372597E+02
       7400.0000          3.98692639E+02          1.23361366E+03          3.01311516E+02
       7500.0000          4.03882801E+02          1.24990618E+03          3.05247897E+02
       7600.0000          4.09069528E+02          1.26618924E+03          3.09181748E+02
       7700.0000          4.14252832E+02          1.28246284E+03          3.13113076E+02
       7800.0000          4.19432722E+02          1.29872700E+03          3.17041887E+02
       7900.0000          4.24609211E+02          1.31498172E+03          3.20968189E+02
       8000.0000          4.29782308E+02          1.33122701E+03          3.24891987E+02
       8100.0000          4.34952024E+02          1.34746288E+03          3.28813289E+02
       8200.0000          4.40118369E+02          1.36368933E+03          3.32732100E+02
       8300.0000          4.45281353E+02          1.37990638E+03          3.36648427E+02
       8400.0000          4.50440985E+02          1.39611402E+03          3.40562275E+02
       8500.0000          4.55597275E+02          1.41231228E+03          3.44473652E+02
       8600.0000          4.60750231E+02          1.42850115E+03          3.48382561E+02
       8700.0000          4.65899864E+02          1.44468065E+03          3.52289010E+02
       8800.0000          4.71046181E+02          1.46085078E+03          3.56193003E+02
       8900.0000          4.76189191E+02          1.47701154E+03          3.60094546E+02
       9000.0000          4.81328903E+02          1.49316296E+03          3.63993645E+02
       9100.0000          4.86465324E+02          1.50930503E+03          3.67890304E+02
       9200.0000          4.91598464E+02          1.52543777E+03          3.71784528E+02
       9300.0000          4.96728329E+02          1.54156118E+03          3.75676323E+02
       9400.0000          5.01854928E+02          1.55767526E+03          3.79565694E+02
       9500.0000          5.06978268E+02          1.57378003E+03          3.83452645E+02
       9600.0000          5.12098356E+02          1.58987550E+03          3.87337182E+02
       9700.0000          5.17215200E+02          1.60596166E+03          3.91219308E+02
       9800.0000          5.22328808E+02          1.62203854E+03          3.95099029E+02
       9900.0000          5.27439186E+02          1.63810613E+03          3.98976349E+02
      10000.0000          5.32546340E+02          1.65416445E+03          4.02851272E+02
      11000.0000          5.83442082E+02          1.81423906E+03          4.41469633E+02
      12000.0000          6.34022416E+02          1.97339423E+03          4.79852800E+02
      13000.0000          6.84292784E+02          2.13163723E+03          5.18004342E+02
      14000.0000          7.34257999E+02          2.28897524E+03          5.55927461E+02
      15000.0000          7.83922396E+02          2.44541530E+03          5.93625071E+02
      16000.0000          8.33289934E+02          2.60096437E+03          6.31099865E+02
      17000.0000          8.82364275E+02          2.75562933E+03          6.68354357E+02
      18000.0000          9.31148839E+02          2.90941696E+03          7.05390915E+02
      19000.0000          9.79646847E+02          3.06233396E+03          7.42211789E+02
      20000.0000          1.02786135E+03          3.21438697E+03          7.78819127E+02
      21000.0000          1.07579527E+03          3.36558255E+03          8.15214991E+02
      22000.0000          1.12345138E+03          3.51592719E+03          8.51401369E+02
      23000.0000          1.17083239E+03          3.66542730E+03          8.87380183E+02
      24000.0000          1.21794088E+03          3.81408926E+03          9.23153302E+02
      25000.0000          1.26477938E+03          3.96191934E+03          9.58722541E+02
      26000.0000          1.31135031E+03          4.10892378E+03          9.94089669E+02
