#Energy      Mg   Si   O  Total
      37000.0000          1.33059332E+03          2.22930263E+03          1.07030571E+03          4.68509662E+02
      38000.0000          1.36208419E+03          2.28162905E+03          1.09597262E+03          4.79643016E+02
      39000.0000          1.39339521E+03          2.33365185E+03          1.12149663E+03          4.90713241E+02
      40000.0000          1.42452804E+03          2.38537405E+03          1.14687890E+03          5.01720906E+02
      41000.0000          1.45548432E+03          2.43679860E+03          1.17212059E+03          5.12666566E+02
      42000.0000          1.48626566E+03          2.48792840E+03          1.19722283E+03          5.23550767E+02
      43000.0000          1.51687361E+03          2.53876624E+03          1.22218675E+03          5.34374042E+02
      44000.0000          1.54730972E+03          2.58931486E+03          1.24701344E+03          5.45136915E+02
      45000.0000          1.57757549E+03          2.63957695E+03          1.27170398E+03          5.55839900E+02
      46000.0000          1.60767239E+03          2.68955512E+03          1.29625945E+03          5.66483501E+02
      47000.0000          1.63760186E+03          2.73925193E+03          1.32068091E+03          5.77068215E+02
      48000.0000          1.66736533E+03          2.78866990E+03          1.34496938E+03          5.87594529E+02
      49000.0000          1.69696419E+03          2.83781150E+03          1.36912590E+03          5.98062922E+02
      50000.0000          1.72639982E+03          2.88667913E+03          1.39315149E+03          6.08473867E+02
