#Energy      Co-K-shell   Co-L1-shell   Co-L2-shell   Co-L3-shell   Co-M1-shell   Co-M2-shell   Co-M3-shell   Valence  Total
        140.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.11139110E+03          3.56915156E+02          1.59344132E+02          5.10374075E+00          4.87197769E+00
        150.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.77787433E+03          3.08424514E+02          1.38769123E+02          5.07490229E+00          4.81100879E+00
        160.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.05358279E+03          2.73540007E+02          1.23896784E+02          5.08583922E+00          4.78839269E+00
        170.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.61088283E+03          2.47732458E+02          1.12863993E+02          5.12425790E+00          4.79230576E+00
        180.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.31804785E+03          2.28233431E+02          1.04517815E+02          5.18228062E+00          4.81525877E+00
        190.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11311285E+03          2.13261127E+02          9.81090978E+01          5.25466198E+00          4.85231020E+00
        200.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.63568122E+02          2.01621027E+02          9.31320820E+01          5.33779234E+00          4.90007721E+00
        210.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.50895141E+02          1.92486703E+02          8.92350633E+01          5.42911652E+00          4.95616801E+00
        220.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.63852355E+02          1.85271334E+02          8.61672844E+01          5.52678125E+00          5.01884283E+00
        230.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.95257838E+02          1.79549191E+02          8.37463151E+01          5.62941379E+00          5.08680549E+00
        240.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.40324368E+02          1.75005732E+02          8.18370416E+01          5.73597851E+00          5.15907004E+00
        250.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.95745600E+02          1.71404866E+02          8.03377662E+01          5.83698655E+00          5.22789892E+00
        260.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.59171531E+02          1.68566593E+02          7.91708083E+01          5.95751466E+00          5.31330196E+00
        270.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.28887317E+02          1.66351918E+02          7.82761545E+01          6.07013294E+00          5.39320700E+00
        280.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.03616809E+02          1.64652236E+02          7.76066956E+01          6.18350568E+00          5.47449982E+00
        290.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.82391578E+02          1.63381696E+02          7.71252004E+01          6.30477907E+00          5.56268159E+00
        300.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.64466148E+02          1.62471700E+02          7.68018526E+01          6.41897792E+00          5.64600173E+00
        310.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.49258654E+02          1.61866936E+02          7.66125649E+01          6.54034432E+00          5.73546955E+00
        320.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.36309401E+02          1.61522375E+02          7.65377020E+01          6.66159192E+00          5.82537498E+00
        330.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.25252033E+02          1.61401058E+02          7.65611290E+01          6.78270249E+00          5.91566825E+00
        340.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.15790706E+02          1.61472421E+02          7.66694686E+01          6.90366202E+00          6.00630449E+00
        350.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.07685620E+02          1.61710990E+02          7.68515673E+01          7.02445988E+00          6.09724354E+00
        360.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.00740061E+02          1.62095409E+02          7.70980535E+01          7.14508809E+00          6.18844920E+00
        370.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.94791825E+02          1.62607633E+02          7.74010066E+01          7.26554080E+00          6.27988891E+00
        380.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.89706200E+02          1.63232337E+02          7.77536892E+01          7.38581386E+00          6.37153334E+00
        390.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.85370501E+02          1.63956447E+02          7.81503427E+01          7.51117440E+00          6.46726334E+00
        400.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.81689968E+02          1.64768728E+02          7.85860175E+01          7.63092290E+00          6.55911044E+00
        410.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.78584405E+02          1.65659487E+02          7.90564408E+01          7.75552271E+00          6.65480059E+00
        420.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.75985750E+02          1.66620332E+02          7.95579026E+01          7.87476320E+00          6.74678470E+00
        430.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.73835670E+02          1.67643946E+02          8.00871732E+01          7.99863335E+00          6.84239081E+00
        440.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.72084010E+02          1.68723946E+02          8.06414269E+01          8.12211218E+00          6.93790819E+00
        450.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.70687720E+02          1.69854725E+02          8.12181834E+01          8.24055689E+00          7.02994576E+00
        460.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.69609246E+02          1.71031347E+02          8.18152538E+01          8.36335527E+00          7.12533203E+00
        470.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.68816157E+02          1.72249447E+02          8.24307067E+01          8.48578903E+00          7.22061319E+00
        480.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.68279861E+02          1.73505164E+02          8.30628266E+01          8.60786711E+00          7.31578556E+00
