#Energy      C-K-shell   Valence  Total
       3800.0000          1.03789682E+05          2.80112606E+02          2.79358660E+02
       3900.0000          1.05619869E+05          2.86593703E+02          2.85818151E+02
       4000.0000          1.07343995E+05          2.93057806E+02          2.92259913E+02
       4100.0000          1.09162356E+05          2.99505854E+02          2.98686356E+02
       4200.0000          1.10974437E+05          3.05932172E+02          3.05091103E+02
       4300.0000          1.12686472E+05          3.12352948E+02          3.11489537E+02
       4400.0000          1.14487893E+05          3.18751882E+02          3.17866892E+02
       4500.0000          1.16283611E+05          3.25132737E+02          3.24226190E+02
       4600.0000          1.18073808E+05          3.31508436E+02          3.30580286E+02
       4700.0000          1.19858660E+05          3.37867824E+02          3.36918090E+02
       4800.0000          1.21638335E+05          3.44203573E+02          3.43232319E+02
       4900.0000          1.23412998E+05          3.50535636E+02          3.49542813E+02
       5000.0000          1.25182804E+05          3.56855348E+02          3.55840961E+02
       5100.0000          1.26947906E+05          3.63159285E+02          3.62123361E+02
       5200.0000          1.28708446E+05          3.69447437E+02          3.68390002E+02
       5300.0000          1.30545926E+05          3.75729639E+02          3.74651339E+02
       5400.0000          1.32296559E+05          3.82003260E+02          3.80903411E+02
       5500.0000          1.34043045E+05          3.88259736E+02          3.87138378E+02
       5600.0000          1.35785506E+05          3.94498069E+02          3.93355253E+02
       5700.0000          1.37601739E+05          4.00736890E+02          3.99573215E+02
       5800.0000          1.39335335E+05          4.06954026E+02          4.05768905E+02
       5900.0000          1.41065261E+05          4.13173324E+02          4.11966694E+02
       6000.0000          1.42866828E+05          4.19378329E+02          4.18150868E+02
       6100.0000          1.44588578E+05          4.25570399E+02          4.24321485E+02
       6200.0000          1.46380869E+05          4.31750228E+02          4.30480526E+02
       6300.0000          1.48094866E+05          4.37931043E+02          4.36639856E+02
       6400.0000          1.49878286E+05          4.44087526E+02          4.42775588E+02
       6500.0000          1.51584923E+05          4.50234957E+02          4.48901637E+02
       6600.0000          1.53359851E+05          4.56378482E+02          4.55024391E+02
       6700.0000          1.55059497E+05          4.62513350E+02          4.61137863E+02
       6800.0000          1.56826291E+05          4.68640889E+02          4.67244631E+02
       6900.0000          1.58519287E+05          4.74756786E+02          4.73339160E+02
       7000.0000          1.60278281E+05          4.80872292E+02          4.79433879E+02
       7100.0000          1.62033385E+05          4.86979242E+02          4.85520048E+02
       7200.0000          1.63716457E+05          4.93066042E+02          4.91585530E+02
       7300.0000          1.65464225E+05          4.99155678E+02          4.97654405E+02
       7400.0000          1.67208318E+05          5.05216891E+02          5.03694986E+02
       7500.0000          1.68882133E+05          5.11300295E+02          5.09756977E+02
       7600.0000          1.70619312E+05          5.17352239E+02          5.15788264E+02
       7700.0000          1.72353014E+05          5.23397124E+02          5.21812498E+02
       7800.0000          1.74018179E+05          5.29457516E+02          5.27851506E+02
       7900.0000          1.75745355E+05          5.35496300E+02          5.33869599E+02
       8000.0000          1.77469236E+05          5.41522617E+02          5.39875263E+02
       8100.0000          1.79189877E+05          5.47547322E+02          5.45879289E+02
       8200.0000          1.80907333E+05          5.53565495E+02          5.51876785E+02
       8300.0000          1.82558597E+05          5.59571072E+02          5.57861140E+02
       8400.0000          1.84270103E+05          5.65570080E+02          5.63839519E+02
       8500.0000          1.85978584E+05          5.71555110E+02          5.69803971E+02
       8600.0000          1.87684088E+05          5.77560420E+02          5.75788545E+02
       8700.0000          1.89386664E+05          5.83542730E+02          5.81750227E+02
       8800.0000          1.91086359E+05          5.89501878E+02          5.87688856E+02
       8900.0000          1.92783217E+05          5.95483248E+02          5.93649539E+02
       9000.0000          1.94477284E+05          6.01432026E+02          5.99577798E+02
       9100.0000          1.96108444E+05          6.07401979E+02          6.05526497E+02
       9200.0000          1.97797337E+05          6.13350151E+02          6.11454091E+02
       9300.0000          1.99483568E+05          6.19282976E+02          6.17366405E+02
       9400.0000          2.01167179E+05          6.25234463E+02          6.23297234E+02
       9500.0000          2.02848208E+05          6.31169569E+02          6.29211754E+02
       9600.0000          2.04526696E+05          6.37086629E+02          6.35108310E+02
       9700.0000          2.06202678E+05          6.43007664E+02          6.41008788E+02
       9800.0000          2.07876192E+05          6.48926375E+02          6.46906927E+02
       9900.0000          2.09547275E+05          6.54836570E+02          6.52796576E+02
      10000.0000          2.11215962E+05          6.60739172E+02          6.58678652E+02
      11000.0000          2.27832916E+05          7.19481509E+02          7.17216586E+02
      12000.0000          2.44238459E+05          7.77712655E+02          7.75244095E+02
      13000.0000          2.60558824E+05          8.35498228E+02          8.32827714E+02
      14000.0000          2.76655682E+05          8.92872485E+02          8.90000118E+02
      15000.0000          2.92646557E+05          9.49887344E+02          9.46814126E+02
      16000.0000          3.08541254E+05          1.00658308E+03          1.00330989E+03
      17000.0000          3.24302842E+05          1.06289274E+03          1.05942052E+03
      18000.0000          3.39941898E+05          1.11898105E+03          1.11530980E+03
      19000.0000          3.55511139E+05          1.17471430E+03          1.17084548E+03
      20000.0000          3.70973155E+05          1.23023790E+03          1.22617161E+03
      21000.0000          3.86334945E+05          1.28552820E+03          1.28126480E+03
      22000.0000          4.01644164E+05          1.34053438E+03          1.33607508E+03
      23000.0000          4.16823220E+05          1.39541065E+03          1.39075478E+03
      24000.0000          4.31958892E+05          1.44995316E+03          1.44510240E+03
