#Energy      C-K-shell   N-K-shell   O-K-shell   Valence  Total
        640.0000          6.39017532E+04          1.47717557E+05          1.07033809E+05          6.11956594E+05          2.99440250E+04
        650.0000          6.64581686E+04          1.54123797E+05          1.11409890E+05          6.36573318E+05          3.11700054E+04
        660.0000          6.94711959E+04          1.59660992E+05          1.15633785E+05          6.62987536E+05          3.24527379E+04
        670.0000          7.20570638E+04          1.66500617E+05          1.20514158E+05          6.89608368E+05          3.37475823E+04
        680.0000          7.49902389E+04          1.72737853E+05          1.24803987E+05          7.16556298E+05          3.50479783E+04
        690.0000          7.79765450E+04          1.78999370E+05          1.29056078E+05          7.44773697E+05          3.63606741E+04
        700.0000          8.13808587E+04          1.85603118E+05          1.33887889E+05          7.73229280E+05          3.78244078E+04
        710.0000          8.43140210E+04          1.92976392E+05          1.39095577E+05          8.02495071E+05          3.92498269E+04
        720.0000          8.73974791E+04          1.99863102E+05          1.43254896E+05          8.32469233E+05          4.06054892E+04
        730.0000          9.06706142E+04          2.07004805E+05          1.47740089E+05          8.63902897E+05          4.20416813E+04
        740.0000          9.43303384E+04          2.15097191E+05          1.52561525E+05          8.94607269E+05          4.36249813E+04
        750.0000          9.76305378E+04          2.22064837E+05          1.57826299E+05          9.28448542E+05          4.51283263E+04
        760.0000          1.01004818E+05          2.29422325E+05          1.62627809E+05          9.60342787E+05          4.66209242E+04
        770.0000          1.04903561E+05          2.37201122E+05          1.68178313E+05          9.93250113E+05          4.83062333E+04
        780.0000          1.08510060E+05          2.45701841E+05          1.73056627E+05          1.02853084E+06          4.99091031E+04
        790.0000          1.12247812E+05          2.53514767E+05          1.78797971E+05          1.06368901E+06          5.15824675E+04
        800.0000          1.16417175E+05          2.62598491E+05          1.84504970E+05          1.09958333E+06          5.33981617E+04
        810.0000          1.20312085E+05          2.70477942E+05          1.90816585E+05          1.13724459E+06          5.51607606E+04
        820.0000          1.24355694E+05          2.80016789E+05          1.96190083E+05          1.17458855E+06          5.69439658E+04
        830.0000          1.28873233E+05          2.88556761E+05          2.02754605E+05          1.21432539E+06          5.88905299E+04
        840.0000          1.32829734E+05          2.98754660E+05          2.09773633E+05          1.25142751E+06          6.08206146E+04
        850.0000          1.37614638E+05          3.07435579E+05          2.14947636E+05          1.29171001E+06          6.27122566E+04
        860.0000          1.41734070E+05          3.16822850E+05          2.22079314E+05          1.33209056E+06          6.46604677E+04
        870.0000          1.46176920E+05          3.27445396E+05          2.28211286E+05          1.37448198E+06          6.66470252E+04
        880.0000          1.51182666E+05          3.36794997E+05          2.35713661E+05          1.41693789E+06          6.88143019E+04
        890.0000          1.55618719E+05          3.48028579E+05          2.41933281E+05          1.45900057E+06          7.08312561E+04
        900.0000          1.60927374E+05          3.57397596E+05          2.48644349E+05          1.50531741E+06          7.30027833E+04
        910.0000          1.65382366E+05          3.69073351E+05          2.56268113E+05          1.54877430E+06          7.51658304E+04
        920.0000          1.70321210E+05          3.79303417E+05          2.63239710E+05          1.59447787E+06          7.73176666E+04
        930.0000          1.75852401E+05          3.91655191E+05          2.71264914E+05          1.64180667E+06          7.97742594E+04
        940.0000          1.80913455E+05          4.01904258E+05          2.77934785E+05          1.69338987E+06          8.19392905E+04
        950.0000          1.86721261E+05          4.14633283E+05          2.86185282E+05          1.73990717E+06          8.44856519E+04
        960.0000          1.91998291E+05          4.25516244E+05          2.93321230E+05          1.79055800E+06          8.67589908E+04
        970.0000          1.98142285E+05          4.37109644E+05          3.01714934E+05          1.83970484E+06          8.93448566E+04
        980.0000          2.03184122E+05          4.50188603E+05          3.09380860E+05          1.88912110E+06          9.17048863E+04
        990.0000          2.09530336E+05          4.62219486E+05          3.18109212E+05          1.94173121E+06          9.43874240E+04
       1000.0000          2.14913044E+05          4.76036259E+05          3.25703156E+05          1.99437928E+06          9.68484123E+04
       1100.0000          2.81592022E+05          6.15368785E+05          4.18645307E+05          2.58817562E+06          1.25765468E+05
       1200.0000          3.59055025E+05          7.83015594E+05          5.28261122E+05          3.28305583E+06          1.59749521E+05
       1300.0000          4.52709611E+05          9.75563863E+05          6.54922891E+05          4.08194945E+06          1.99766352E+05
       1400.0000          5.59976280E+05          1.19802786E+06          7.99587328E+05          5.01051861E+06          2.45656768E+05
       1500.0000          6.80911148E+05          1.45528573E+06          9.65162120E+05          6.08609942E+06          2.97958251E+05
       1600.0000          8.21602352E+05          1.74566529E+06          1.15777775E+06          7.29735458E+06          3.58327783E+05
       1700.0000          9.78533516E+05          2.07433303E+06          1.36685582E+06          8.64648461E+06          4.25300250E+05
       1800.0000          1.15730539E+06          2.44033980E+06          1.60222398E+06          1.01565391E+07          5.00889991E+05
       1900.0000          1.35510028E+06          2.85450387E+06          1.86927918E+06          1.18698360E+07          5.85655285E+05
       2000.0000          1.57769810E+06          3.31967733E+06          2.15746141E+06          1.37415297E+07          6.79648528E+05
       2100.0000          1.82552010E+06          3.81820108E+06          2.48402722E+06          1.58076206E+07          7.83990758E+05
       2200.0000          2.09164662E+06          4.35908329E+06          2.82417665E+06          1.80920455E+07          8.95370036E+05
       2300.0000          2.38921760E+06          4.97875159E+06          3.20725291E+06          2.05662633E+07          1.02059848E+06
       2400.0000          2.71744001E+06          5.62207334E+06          3.62999650E+06          2.32428349E+07          1.15691184E+06
       2500.0000          3.07390028E+06          6.33643883E+06          4.08677980E+06          2.62066918E+07          1.30550591E+06
       2600.0000          3.45996743E+06          7.11121335E+06          4.57895728E+06          2.93679576E+07          1.46609490E+06
       2700.0000          3.86044346E+06          7.95440405E+06          5.10029299E+06          3.27820869E+07          1.63578910E+06
       2800.0000          4.32398788E+06          8.91053498E+06          5.66747665E+06          3.65401168E+07          1.82712727E+06
       2900.0000          4.80009481E+06          9.82747361E+06          6.28307172E+06          4.04936053E+07          2.02454621E+06
       3000.0000          5.32193700E+06          1.08985523E+07          6.92275070E+06          4.48155743E+07          2.24003428E+06
