#Energy      Li   F  Total
       4700.0000          4.16630105E+02          1.23568407E+02          9.53025921E+01
       4800.0000          4.25315205E+02          1.26056689E+02          9.72371411E+01
       4900.0000          4.33994894E+02          1.28542641E+02          9.91700042E+01
       5000.0000          4.42669187E+02          1.31026289E+02          1.01101200E+02
       5100.0000          4.51338101E+02          1.33507664E+02          1.03030746E+02
       5200.0000          4.60001649E+02          1.35986789E+02          1.04958659E+02
       5300.0000          4.68659844E+02          1.38463691E+02          1.06884955E+02
       5400.0000          4.77312700E+02          1.40938392E+02          1.08809649E+02
       5500.0000          4.85960230E+02          1.43410917E+02          1.10732757E+02
       5600.0000          4.94602446E+02          1.45881287E+02          1.12654292E+02
       5700.0000          5.03239361E+02          1.48349523E+02          1.14574268E+02
       5800.0000          5.11870985E+02          1.50815645E+02          1.16492697E+02
       5900.0000          5.20497331E+02          1.53279673E+02          1.18409593E+02
       6000.0000          5.29118409E+02          1.55741624E+02          1.20324966E+02
       6100.0000          5.37734230E+02          1.58201517E+02          1.22238829E+02
       6200.0000          5.46344805E+02          1.60659370E+02          1.24151193E+02
       6300.0000          5.54950143E+02          1.63115198E+02          1.26062069E+02
       6400.0000          5.63550256E+02          1.65569018E+02          1.27971466E+02
       6500.0000          5.72145151E+02          1.68020844E+02          1.29879394E+02
       6600.0000          5.80734840E+02          1.70470693E+02          1.31785864E+02
       6700.0000          5.89319330E+02          1.72918577E+02          1.33690885E+02
       6800.0000          5.97898632E+02          1.75364512E+02          1.35594464E+02
       6900.0000          6.06472754E+02          1.77808510E+02          1.37496612E+02
       7000.0000          6.15041704E+02          1.80250584E+02          1.39397336E+02
       7100.0000          6.23605492E+02          1.82690747E+02          1.41296645E+02
       7200.0000          6.32164125E+02          1.85129012E+02          1.43194546E+02
       7300.0000          6.40717612E+02          1.87565389E+02          1.45091047E+02
       7400.0000          6.49265961E+02          1.89999890E+02          1.46986156E+02
       7500.0000          6.57809179E+02          1.92432526E+02          1.48879879E+02
       7600.0000          6.66347275E+02          1.94863308E+02          1.50772224E+02
       7700.0000          6.74880256E+02          1.97292247E+02          1.52663196E+02
       7800.0000          6.83408129E+02          1.99719352E+02          1.54552804E+02
       7900.0000          6.91930902E+02          2.02144634E+02          1.56441053E+02
       8000.0000          7.00448583E+02          2.04568101E+02          1.58327950E+02
       8100.0000          7.08961177E+02          2.06989763E+02          1.60213500E+02
       8200.0000          7.17468693E+02          2.09409630E+02          1.62097710E+02
       8300.0000          7.25971137E+02          2.11827709E+02          1.63980585E+02
       8400.0000          7.34468516E+02          2.14244011E+02          1.65862130E+02
       8500.0000          7.42960837E+02          2.16658542E+02          1.67742352E+02
       8600.0000          7.51448106E+02          2.19071311E+02          1.69621255E+02
       8700.0000          7.59930331E+02          2.21482326E+02          1.71498845E+02
       8800.0000          7.68407517E+02          2.23891594E+02          1.73375127E+02
       8900.0000          7.76879670E+02          2.26299125E+02          1.75250105E+02
       9000.0000          7.85346798E+02          2.28704923E+02          1.77123785E+02
       9100.0000          7.93808907E+02          2.31108998E+02          1.78996171E+02
       9200.0000          8.02266002E+02          2.33511355E+02          1.80867268E+02
       9300.0000          8.10718090E+02          2.35912002E+02          1.82737081E+02
       9400.0000          8.19165176E+02          2.38310946E+02          1.84605613E+02
       9500.0000          8.27607268E+02          2.40708192E+02          1.86472870E+02
       9600.0000          8.36044370E+02          2.43103748E+02          1.88338854E+02
       9700.0000          8.44476488E+02          2.45497620E+02          1.90203571E+02
       9800.0000          8.52903629E+02          2.47889814E+02          1.92067025E+02
       9900.0000          8.61325798E+02          2.50280335E+02          1.93929219E+02
      10000.0000          8.69743001E+02          2.52669190E+02          1.95790158E+02
      11000.0000          9.53643103E+02          2.76467316E+02          2.14331287E+02
      12000.0000          1.03705250E+03          3.00104517E+02          2.32750631E+02
      13000.0000          1.11997620E+03          3.23585154E+02          2.51051103E+02
