#Energy      Li-K-shell   F-K-shell   Valence  Total
         89.0000          5.55531711E+02          1.00000000E+30          5.34690694E+00          5.29593439E+00
         90.0000          5.31593552E+02          1.00000000E+30          5.31691613E+00          5.26426378E+00
         91.0000          5.09476096E+02          1.00000000E+30          5.28938935E+00          5.23503909E+00
         92.0000          4.88997081E+02          1.00000000E+30          5.26416184E+00          5.20809553E+00
         93.0000          4.69992018E+02          1.00000000E+30          5.24108184E+00          5.18328086E+00
         94.0000          4.52310570E+02          1.00000000E+30          5.22000953E+00          5.16045395E+00
         95.0000          4.35838668E+02          1.00000000E+30          5.20081596E+00          5.13948701E+00
         96.0000          4.20456819E+02          1.00000000E+30          5.18338211E+00          5.12025966E+00
         97.0000          4.06068511E+02          1.00000000E+30          5.16759806E+00          5.10266195E+00
         98.0000          3.92586465E+02          1.00000000E+30          5.15336219E+00          5.08659205E+00
         99.0000          3.79934686E+02          1.00000000E+30          5.14058047E+00          5.07195605E+00
        100.0000          3.68042344E+02          1.00000000E+30          5.12916584E+00          5.05866651E+00
        110.0000          2.79919081E+02          1.00000000E+30          5.07498973E+00          4.98461760E+00
        120.0000          2.26441889E+02          1.00000000E+30          5.09619965E+00          4.98403127E+00
        130.0000          1.91448719E+02          1.00000000E+30          5.16316618E+00          5.02757781E+00
        140.0000          1.67365221E+02          1.00000000E+30          5.25952075E+00          5.09927397E+00
        150.0000          1.50195768E+02          1.00000000E+30          5.37559107E+00          5.18984364E+00
        160.0000          1.37640342E+02          1.00000000E+30          5.50534129E+00          5.29360747E+00
        170.0000          1.28285721E+02          1.00000000E+30          5.64483391E+00          5.40691845E+00
        180.0000          1.21219981E+02          1.00000000E+30          5.78252606E+00          5.51924301E+00
        190.0000          1.15832326E+02          1.00000000E+30          5.93857285E+00          5.64895810E+00
        200.0000          1.11701351E+02          1.00000000E+30          6.09576804E+00          5.78032410E+00
        210.0000          1.08529132E+02          1.00000000E+30          6.25383464E+00          5.91310074E+00
