#Energy      Ga   Sb  Total
        260.0000          3.96961311E+01          1.00655330E+02          2.84687252E+01
        270.0000          3.96329339E+01          9.86594499E+01          2.82746117E+01
        280.0000          3.96010750E+01          9.68321305E+01          2.81064749E+01
        290.0000          3.95971219E+01          9.51557238E+01          2.79615082E+01
        300.0000          3.96181059E+01          9.36149387E+01          2.78372874E+01
        310.0000          3.96614474E+01          9.21964616E+01          2.77317086E+01
        320.0000          3.97248942E+01          9.08886468E+01          2.76429369E+01
        330.0000          3.98064724E+01          8.96812644E+01          2.75693658E+01
        340.0000          3.99044450E+01          8.85652920E+01          2.75095824E+01
        350.0000          4.00172774E+01          8.75327420E+01          2.74623402E+01
        360.0000          4.01436099E+01          8.65765179E+01          2.74265345E+01
        370.0000          4.02822333E+01          8.56902938E+01          2.74011841E+01
        380.0000          4.04320690E+01          8.48684131E+01          2.73854137E+01
        390.0000          4.05921524E+01          8.41058024E+01          2.73784406E+01
        400.0000          4.07616183E+01          8.33978985E+01          2.73795629E+01
        410.0000          4.09396885E+01          8.27405864E+01          2.73881493E+01
        420.0000          4.11256618E+01          8.21301456E+01          2.74036304E+01
        430.0000          4.13189042E+01          8.15632041E+01          2.74254915E+01
        440.0000          4.15188421E+01          8.10366991E+01          2.74532663E+01
        450.0000          4.17249544E+01          8.05478420E+01          2.74865312E+01
        460.0000          4.19367679E+01          8.00940890E+01          2.75249007E+01
        470.0000          4.21538510E+01          7.96731148E+01          2.75680231E+01
        480.0000          4.23758101E+01          7.92827898E+01          2.76155771E+01
        490.0000          4.26022852E+01          7.89211600E+01          2.76672683E+01
        500.0000          4.28329467E+01          7.85864296E+01          2.77228269E+01
        510.0000          4.30674923E+01          7.82769451E+01          2.77820047E+01
        520.0000          4.33056442E+01          7.79911818E+01          2.78445734E+01
        530.0000          4.35471470E+01          7.77277316E+01          2.79103224E+01
        532.9990          4.36201912E+01          7.76528749E+01          2.79306309E+01
        533.0010          4.36202400E+01          7.76528257E+01          2.79306446E+01
        540.0000          4.37917653E+01          7.74852921E+01          2.79790572E+01
        541.9990          4.38410188E+01          7.74392405E+01          2.79931393E+01
        542.0010          4.38410681E+01          7.74391948E+01          2.79931535E+01
        550.0000          4.40392820E+01          7.72626567E+01          2.80505981E+01
        560.0000          4.42894966E+01          7.70587067E+01          2.81247784E+01
        570.0000          4.45422236E+01          7.68724027E+01          2.82014437E+01
        580.0000          4.47972913E+01          7.67027783E+01          2.82804505E+01
        590.0000          4.50545407E+01          7.65489336E+01          2.83616653E+01
        600.0000          4.53138239E+01          7.64100300E+01          2.84449640E+01
        610.0000          4.55750038E+01          7.62852844E+01          2.85302306E+01
        620.0000          4.58379530E+01          7.61739656E+01          2.86173572E+01
        630.0000          4.61025526E+01          7.60753895E+01          2.87062426E+01
        640.0000          4.63686921E+01          7.59889157E+01          2.87967924E+01
        650.0000          4.66362683E+01          7.59139438E+01          2.88889182E+01
        660.0000          4.69051851E+01          7.58499109E+01          2.89825370E+01
        670.0000          4.71753526E+01          7.57962883E+01          2.90775710E+01
        680.0000          4.74466866E+01          7.57525790E+01          2.91739472E+01
        690.0000          4.77191087E+01          7.57183156E+01          2.92715969E+01
        700.0000          4.79925452E+01          7.56930581E+01          2.93704555E+01
        710.0000          4.82669272E+01          7.56763917E+01          2.94704622E+01
        720.0000          4.85421901E+01          7.56679256E+01          2.95715595E+01
        730.0000          4.88182732E+01          7.56672907E+01          2.96736935E+01
        740.0000          4.90951197E+01          7.56741384E+01          2.97768131E+01
        750.0000          4.93726760E+01          7.56881394E+01          2.98808701E+01
        760.0000          4.96508919E+01          7.57089820E+01          2.99858189E+01
        770.0000          4.99297201E+01          7.57363714E+01          3.00916165E+01
        770.9990          4.99576070E+01          7.57394565E+01          3.01022307E+01
        771.0010          4.99576628E+01          7.57394627E+01          3.01022519E+01
        780.0000          5.02091162E+01          7.57700283E+01          3.01982219E+01
        790.0000          5.04890384E+01          7.58096879E+01          3.03055966E+01
        800.0000          5.07694472E+01          7.58550992E+01          3.04137039E+01
        810.0000          5.10503054E+01          7.59060239E+01          3.05225090E+01
        816.9990          5.12471267E+01          7.59448244E+01          3.05990592E+01
        817.0010          5.12471829E+01          7.59448358E+01          3.05990811E+01
        820.0000          5.13315781E+01          7.59622358E+01          3.06319790E+01
        830.0000          5.16132321E+01          7.60235200E+01          3.07420827E+01
        840.0000          5.18952364E+01          7.60896720E+01          3.08527901E+01
        850.0000          5.21775614E+01          7.61604975E+01          3.09640731E+01
        860.0000          5.24601794E+01          7.62358116E+01          3.10759047E+01
        870.0000          5.27430641E+01          7.63154381E+01          3.11882594E+01
        880.0000          5.30261906E+01          7.63992091E+01          3.13011127E+01
        890.0000          5.33095356E+01          7.64869647E+01          3.14144415E+01
        900.0000          5.35930768E+01          7.65785522E+01          3.15282236E+01
        910.0000          5.38767932E+01          7.66738261E+01          3.16424380E+01
        920.0000          5.41606649E+01          7.67726474E+01          3.17570644E+01
        930.0000          5.44446731E+01          7.68748834E+01          3.18720837E+01
        940.0000          5.47288001E+01          7.69804071E+01          3.19874776E+01
        948.9990          5.49845734E+01          7.70780783E+01          3.20916262E+01
        949.0010          5.49846303E+01          7.70781003E+01          3.20916494E+01
        950.0000          5.50130289E+01          7.70890975E+01          3.21032285E+01
        960.0000          5.52973435E+01          7.72008385E+01          3.22193197E+01
        970.0000          5.55817288E+01          7.73155191E+01          3.23357352E+01
        980.0000          5.58661705E+01          7.74330333E+01          3.24524597E+01
        990.0000          5.61506549E+01          7.75532792E+01          3.25694786E+01
       1000.0000          5.64351691E+01          7.76761596E+01          3.26867778E+01
       1100.0000          5.92795468E+01          7.90310866E+01          3.38725005E+01
       1118.9990          5.98193490E+01          7.93108281E+01          3.40998783E+01
       1119.0010          5.98194058E+01          7.93108579E+01          3.40999023E+01
       1145.9990          6.05859215E+01          7.97187191E+01          3.44238939E+01
       1146.0010          6.05859783E+01          7.97187498E+01          3.44239179E+01
       1200.0000          6.21167242E+01          8.05671357E+01          3.50745106E+01
       1300.0000          6.49410943E+01          8.22328159E+01          3.62855688E+01
       1301.9990          6.49973975E+01          8.22671684E+01          3.63098334E+01
       1302.0010          6.49974539E+01          8.22672028E+01          3.63098576E+01
       1400.0000          6.77493784E+01          8.39923094E+01          3.75007477E+01
       1500.0000          7.05397331E+01          8.58200970E+01          3.87166367E+01
       1600.0000          7.33112174E+01          8.76976293E+01          3.99308491E+01
       1700.0000          7.60634635E+01          8.96111945E+01          4.11417045E+01
       1800.0000          7.87964707E+01          9.15505123E+01          4.23480189E+01
       1900.0000          8.15104721E+01          9.35077825E+01          4.35489630E+01
       2000.0000          8.42058476E+01          9.54770270E+01          4.47439635E+01
       2100.0000          8.68830663E+01          9.74536262E+01          4.59326342E+01
       2200.0000          8.95426488E+01          9.94339861E+01          4.71147266E+01
       2300.0000          9.21851408E+01          1.01415296E+02          4.82900943E+01
       2400.0000          9.48110966E+01          1.03395349E+02          4.94586662E+01
       2500.0000          9.74210674E+01          1.05372410E+02          5.06204281E+01
       2600.0000          1.00015594E+02          1.07345109E+02          5.17754073E+01
       2700.0000          1.02595202E+02          1.09312372E+02          5.29236623E+01
       2800.0000          1.05160397E+02          1.11273354E+02          5.40652743E+01
       2900.0000          1.07711669E+02          1.13227396E+02          5.52003412E+01
       3000.0000          1.10249482E+02          1.15173986E+02          5.63289724E+01
       3100.0000          1.12774282E+02          1.17112736E+02          5.74512856E+01
       3200.0000          1.15286496E+02          1.19043350E+02          5.85674037E+01
       3300.0000          1.17786526E+02          1.20965616E+02          5.96774528E+01
       3400.0000          1.20274760E+02          1.22879382E+02          6.07815604E+01
       3500.0000          1.22751564E+02          1.24784550E+02          6.18798543E+01
       3600.0000          1.25217287E+02          1.26681065E+02          6.29724615E+01
       3700.0000          1.27672261E+02          1.28568907E+02          6.40595075E+01
       3800.0000          1.30116802E+02          1.30448082E+02          6.51411158E+01
       3900.0000          1.32551212E+02          1.32318622E+02          6.62174076E+01
       4000.0000          1.34975777E+02          1.34180577E+02          6.72885012E+01
       4100.0000          1.37390771E+02          1.36034010E+02          6.83545121E+01
       4136.9990          1.38281921E+02          1.36717617E+02          6.87476599E+01
       4137.0010          1.38281969E+02          1.36717654E+02          6.87476811E+01
       4200.0000          1.39796453E+02          1.37878998E+02          6.94155528E+01
       4300.0000          1.42193073E+02          1.39715629E+02          7.04717326E+01
       4384.9990          1.44223228E+02          1.41270246E+02          7.13657324E+01
       4385.0010          1.44223275E+02          1.41270283E+02          7.13657534E+01
       4400.0000          1.44580867E+02          1.41543996E+02          7.15231576E+01
       4500.0000          1.46960061E+02          1.43364200E+02          7.25699311E+01
       4600.0000          1.49330873E+02          1.45176345E+02          7.36121528E+01
       4700.0000          1.51693508E+02          1.46980539E+02          7.46499195E+01
       4702.9990          1.51764239E+02          1.47034526E+02          7.46809743E+01
       4703.0010          1.51764286E+02          1.47034562E+02          7.46809951E+01
       4800.0000          1.54048164E+02          1.48776894E+02          7.56833252E+01
       4900.0000          1.56395031E+02          1.50565520E+02          7.67124606E+01
       5000.0000          1.58734290E+02          1.52346532E+02          7.77374138E+01
       5100.0000          1.61066115E+02          1.54120042E+02          7.87582697E+01
       5200.0000          1.63390671E+02          1.55886164E+02          7.97751110E+01
       5300.0000          1.65708120E+02          1.57645011E+02          8.07880175E+01
       5400.0000          1.68018615E+02          1.59396694E+02          8.17970662E+01
       5500.0000          1.70322302E+02          1.61141324E+02          8.28023322E+01
       5600.0000          1.72619323E+02          1.62879012E+02          8.38038878E+01
       5700.0000          1.74909816E+02          1.64609865E+02          8.48018031E+01
       5800.0000          1.77193909E+02          1.66333989E+02          8.57961461E+01
       5900.0000          1.79471731E+02          1.68051489E+02          8.67869826E+01
       6000.0000          1.81743401E+02          1.69762469E+02          8.77743764E+01
       6100.0000          1.84009038E+02          1.71467030E+02          8.87583893E+01
       6200.0000          1.86268754E+02          1.73165270E+02          8.97390812E+01
       6300.0000          1.88522658E+02          1.74857287E+02          9.07165102E+01
       6400.0000          1.90770854E+02          1.76543177E+02          9.16907327E+01
       6500.0000          1.93013444E+02          1.78223032E+02          9.26618032E+01
       6600.0000          1.95250527E+02          1.79896945E+02          9.36297748E+01
       6700.0000          1.97482196E+02          1.81565004E+02          9.45946990E+01
       6800.0000          1.99708544E+02          1.83227298E+02          9.55566257E+01
       6900.0000          2.01929658E+02          1.84883912E+02          9.65156036E+01
       7000.0000          2.04145625E+02          1.86534930E+02          9.74716796E+01
       7100.0000          2.06356526E+02          1.88180434E+02          9.84248996E+01
       7200.0000          2.08562443E+02          1.89820504E+02          9.93753081E+01
       7300.0000          2.10763453E+02          1.91455218E+02          1.00322948E+02
       7400.0000          2.12959632E+02          1.93084654E+02          1.01267862E+02
       7500.0000          2.15151052E+02          1.94708885E+02          1.02210091E+02
       7600.0000          2.17337785E+02          1.96327986E+02          1.03149674E+02
       7700.0000          2.19519898E+02          1.97942027E+02          1.04086651E+02
       7800.0000          2.21697459E+02          1.99551079E+02          1.05021058E+02
       7900.0000          2.23870533E+02          2.01155210E+02          1.05952933E+02
